,rainfall_mm,temp_c,humidity_pct,year,week
2021-01-01,0.0,13.61,43.79,2020,51
2021-01-02,0.0,13.9,42.38,2020,51
2021-01-03,0.0,15.05,42.59,2020,51
2021-01-04,0.0,16.34,47.81,2020,52
2021-01-05,0.0,16.47,53.05,2020,52
2021-01-06,0.0,16.78,49.02,2020,52
2021-01-07,0.0,16.32,46.39,2020,52
2021-01-08,0.0,14.75,50.04,2020,52
2021-01-09,0.0,15.62,45.75,2020,52
2021-01-10,0.0,15.08,53.32,2020,52
2021-01-11,0.0,13.52,57.73,2021,1
2021-01-12,0.0,11.34,58.81,2021,1
2021-01-13,0.0,10.14,48.68,2021,1
2021-01-14,0.0,9.99,50.49,2021,1
2021-01-15,0.0,11.25,49.4,2021,1
2021-01-16,0.0,11.39,47.46,2021,1
2021-01-17,0.0,11.26,42.62,2021,1
2021-01-18,0.0,13.44,44.3,2021,2
2021-01-19,0.0,11.86,58.94,2021,2
2021-01-20,0.0,10.99,63.9,2021,2
2021-01-21,0.0,10.22,51.77,2021,2
2021-01-22,0.0,9.77,48.31,2021,2
2021-01-23,0.0,11.77,46.58,2021,2
2021-01-24,0.0,11.86,44.55,2021,2
2021-01-25,0.0,11.45,39.58,2021,3
2021-01-26,0.0,10.88,41.59,2021,3
2021-01-27,0.0,11.11,36.25,2021,3
2021-01-28,0.0,11.18,34.39,2021,3
2021-01-29,0.0,10.83,36.02,2021,3
2021-01-30,0.0,9.35,38.81,2021,3
2021-01-31,0.0,9.87,37.07,2021,3
2021-02-01,0.0,9.99,37.82,2021,4
2021-02-02,0.0,11.22,37.15,2021,4
2021-02-03,0.0,12.5,37.7,2021,4
2021-02-04,0.0,13.24,35.31,2021,4
2021-02-05,0.05,13.24,41.7,2021,4
2021-02-06,0.54,11.12,61.75,2021,4
2021-02-07,0.0,11.36,49.07,2021,4
2021-02-08,0.06,13.14,37.35,2021,5
2021-02-09,0.0,13.89,36.77,2021,5
2021-02-10,0.0,13.47,43.25,2021,5
2021-02-11,0.0,13.69,45.12,2021,5
2021-02-12,0.0,14.32,44.64,2021,5
2021-02-13,0.0,14.05,46.9,2021,5
2021-02-14,0.02,13.9,47.12,2021,5
2021-02-15,0.18,13.83,46.11,2021,6
2021-02-16,0.15,13.95,43.1,2021,6
2021-02-17,0.07,14.36,42.17,2021,6
2021-02-18,0.56,13.56,51.53,2021,6
2021-02-19,1.05,13.8,52.54,2021,6
2021-02-20,0.0,15.09,42.98,2021,6
2021-02-21,0.0,15.76,37.0,2021,6
2021-02-22,0.0,16.16,37.73,2021,7
2021-02-23,0.0,16.26,41.98,2021,7
2021-02-24,0.0,16.3,39.75,2021,7
2021-02-25,0.0,16.54,33.04,2021,7
2021-02-26,0.02,17.66,32.77,2021,7
2021-02-27,0.07,17.54,36.46,2021,7
2021-02-28,0.02,18.19,39.86,2021,7
2021-03-01,0.03,18.1,31.2,2021,8
2021-03-02,0.0,15.7,23.76,2021,8
2021-03-03,0.0,15.83,27.76,2021,8
2021-03-04,0.0,16.14,31.89,2021,8
2021-03-05,0.23,16.79,29.86,2021,8
2021-03-06,1.42,16.79,31.23,2021,8
2021-03-07,0.0,17.23,31.4,2021,8
2021-03-08,0.01,16.93,33.96,2021,9
2021-03-09,0.35,17.99,34.19,2021,9
2021-03-10,0.86,18.67,34.54,2021,9
2021-03-11,1.22,18.71,36.93,2021,9
2021-03-12,0.04,19.3,30.74,2021,9
2021-03-13,0.21,18.7,34.38,2021,9
2021-03-14,0.1,17.85,46.11,2021,9
2021-03-15,0.0,18.38,37.27,2021,10
2021-03-16,0.09,18.86,31.89,2021,10
2021-03-17,0.0,19.45,30.21,2021,10
2021-03-18,0.08,19.45,33.96,2021,10
2021-03-19,0.06,20.78,30.88,2021,10
2021-03-20,0.01,20.56,33.76,2021,10
2021-03-21,0.0,19.56,36.26,2021,10
2021-03-22,0.0,20.23,31.79,2021,11
2021-03-23,0.0,21.47,29.62,2021,11
2021-03-24,0.0,20.77,32.35,2021,11
2021-03-25,0.0,19.03,28.21,2021,11
2021-03-26,0.0,19.75,25.31,2021,11
2021-03-27,0.0,20.93,25.25,2021,11
2021-03-28,0.0,20.99,30.23,2021,11
2021-03-29,0.16,21.03,36.52,2021,12
2021-03-30,2.15,21.27,38.73,2021,12
2021-03-31,4.36,22.48,28.48,2021,12
2021-04-01,2.0,20.49,23.18,2021,12
2021-04-02,0.16,19.9,18.84,2021,12
2021-04-03,0.0,19.14,18.92,2021,12
2021-04-04,0.0,19.63,17.19,2021,12
2021-04-05,0.0,20.75,16.91,2021,13
2021-04-06,0.0,21.96,19.5,2021,13
2021-04-07,0.03,23.2,22.63,2021,13
2021-04-08,0.02,23.08,24.11,2021,13
2021-04-09,0.06,22.63,21.88,2021,13
2021-04-10,0.2,22.28,19.92,2021,13
2021-04-11,0.06,22.46,16.32,2021,13
2021-04-12,0.0,22.89,17.25,2021,14
2021-04-13,0.01,23.56,23.04,2021,14
2021-04-14,0.04,24.4,23.99,2021,14
2021-04-15,0.02,23.77,26.04,2021,14
2021-04-16,11.07,23.16,37.26,2021,14
2021-04-17,2.15,22.43,37.84,2021,14
2021-04-18,1.65,22.03,34.53,2021,14
2021-04-19,1.06,21.78,34.96,2021,15
2021-04-20,0.01,23.42,26.36,2021,15
2021-04-21,4.75,22.75,34.48,2021,15
2021-04-22,8.83,20.64,55.44,2021,15
2021-04-23,0.01,21.86,38.66,2021,15
2021-04-24,0.0,23.4,31.96,2021,15
2021-04-25,0.0,23.96,24.1,2021,15
2021-04-26,0.0,23.58,20.77,2021,16
2021-04-27,0.0,24.3,24.69,2021,16
2021-04-28,0.13,24.52,27.35,2021,16
2021-04-29,1.68,24.14,35.52,2021,16
2021-04-30,0.7,23.7,42.92,2021,16
2021-05-01,3.01,22.03,51.92,2021,16
2021-05-02,6.88,21.73,57.58,2021,16
2021-05-03,0.91,22.17,47.76,2021,17
2021-05-04,6.0,19.56,63.17,2021,17
2021-05-05,6.01,19.18,67.32,2021,17
2021-05-06,3.46,20.31,64.38,2021,17
2021-05-07,9.07,21.51,62.97,2021,17
2021-05-08,0.78,22.24,52.69,2021,17
2021-05-09,2.26,21.11,54.58,2021,17
2021-05-10,3.35,21.74,52.44,2021,18
2021-05-11,4.81,21.11,57.16,2021,18
2021-05-12,17.84,19.25,66.46,2021,18
2021-05-13,2.19,19.84,59.5,2021,18
2021-05-14,0.06,21.27,55.07,2021,18
2021-05-15,0.02,23.55,46.11,2021,18
2021-05-16,0.08,24.48,41.97,2021,18
2021-05-17,0.05,25.32,38.16,2021,19
2021-05-18,0.09,25.14,36.35,2021,19
2021-05-19,5.3,22.66,54.52,2021,19
2021-05-20,15.84,21.67,74.07,2021,19
2021-05-21,1.44,23.42,71.01,2021,19
2021-05-22,0.01,24.16,62.64,2021,19
2021-05-23,0.09,24.84,54.1,2021,19
2021-05-24,0.22,26.1,47.92,2021,20
2021-05-25,1.75,25.06,54.94,2021,20
2021-05-26,9.98,23.22,74.1,2021,20
2021-05-27,47.1,22.57,83.21,2021,20
2021-05-28,35.01,22.24,82.53,2021,20
2021-05-29,16.07,22.89,77.62,2021,20
2021-05-30,4.89,23.19,79.31,2021,20
2021-05-31,4.4,22.91,81.58,2021,21
2021-06-01,3.44,23.08,75.71,2021,21
2021-06-02,0.11,22.53,70.3,2021,21
2021-06-03,0.0,23.98,62.29,2021,21
2021-06-04,0.38,24.42,65.75,2021,21
2021-06-05,0.64,24.89,68.56,2021,21
2021-06-06,0.79,24.33,72.23,2021,21
2021-06-07,1.27,25.02,70.33,2021,22
2021-06-08,6.2,24.89,69.31,2021,22
2021-06-09,13.46,23.27,81.73,2021,22
2021-06-10,10.14,22.07,84.89,2021,22
2021-06-11,13.46,22.61,83.68,2021,22
2021-06-12,13.16,22.71,83.36,2021,22
2021-06-13,5.6,22.26,86.23,2021,22
2021-06-14,21.37,22.95,87.03,2021,23
2021-06-15,17.7,22.34,89.74,2021,23
2021-06-16,7.36,22.82,89.36,2021,23
2021-06-17,2.22,23.02,88.31,2021,23
2021-06-18,0.73,22.67,83.4,2021,23
2021-06-19,2.76,21.96,86.89,2021,23
2021-06-20,4.32,22.0,86.35,2021,23
2021-06-21,3.52,22.75,87.68,2021,24
2021-06-22,3.67,23.29,89.12,2021,24
2021-06-23,10.21,22.71,94.18,2021,24
2021-06-24,6.6,23.21,87.97,2021,24
2021-06-25,9.41,22.53,91.62,2021,24
2021-06-26,21.15,22.12,89.83,2021,24
2021-06-27,3.15,22.64,88.46,2021,24
2021-06-28,2.48,23.2,87.89,2021,25
2021-06-29,9.31,22.3,95.2,2021,25
2021-06-30,17.09,22.11,91.83,2021,25
2021-07-01,36.43,22.52,90.97,2021,25
2021-07-02,31.06,22.8,92.28,2021,25
2021-07-03,21.33,22.99,91.66,2021,25
2021-07-04,5.67,22.45,89.8,2021,25
2021-07-05,5.51,22.98,89.81,2021,26
2021-07-06,15.07,22.91,92.5,2021,26
2021-07-07,4.01,22.49,94.15,2021,26
2021-07-08,21.46,22.6,92.9,2021,26
2021-07-09,7.15,22.94,91.8,2021,26
2021-07-10,20.01,22.43,94.74,2021,26
2021-07-11,2.72,22.35,88.34,2021,26
2021-07-12,5.71,22.75,88.48,2021,27
2021-07-13,23.06,23.55,86.21,2021,27
2021-07-14,21.33,22.74,92.09,2021,27
2021-07-15,3.17,22.86,90.29,2021,27
2021-07-16,6.83,22.56,91.13,2021,27
2021-07-17,10.99,21.94,93.34,2021,27
2021-07-18,2.92,22.51,92.02,2021,27
2021-07-19,21.01,22.85,93.12,2021,28
2021-07-20,23.74,23.21,87.89,2021,28
2021-07-21,10.13,22.91,89.92,2021,28
