station_id,Longitude,Latitude,Elevation
1020,85.63564,27.69382,1358
1022,85.37883,27.59292,1527
1024,85.5655,27.61612,1543
1025,85.63338,27.91245,1284
1029,85.32577,27.65175,1334
1030,85.35625,27.70382,1337
1035,85.4769,27.74437,1436
1039,85.32415,27.72864,1329
1049,85.52855,27.57225,1442
1052,85.42397,27.67668,1315
1059,85.42676,27.71606,1502
1060,85.32656,27.60326,1478
1062,85.70658,27.68337,1194
1063,85.77861,27.68766,1565
1071,85.3578,27.7805,1428
1073,85.29672,27.64377,1309
1074,85.42779,27.77262,1658
1075,85.35404,27.57682,1594
1076,85.25548,27.70094,1477
1077,85.43119,27.75007,1384
1078,85.6325,27.90143,1347
1079,85.27716,27.75788,1393
1080,85.36971,27.65932,1305
