year,week,district,age_cases
2024,16,Kathmandu,44
2024,16,Parsa,43
2024,16,Kailali,35
2024,16,Lalitpur,25
2024,16,Kapilvastu,24
2024,18,PARSA,51
2024,18,KAPILBASTU,46
2024,18,KATHMANDU,45
2024,18,KAILALI,35
2024,18,RUPANDEHI,33
2024,19,KAILALI,61
2024,19,PARSA,55
2024,19,KATHMANDU,47
2024,19,KAPILBASTU,38
2024,19,RUPANDEHI,35
2024,20,KATHMANDU,61
2024,20,RUPANDEHI,42
2024,20,PARSA,40
2024,20,KAPILBASTU,38
2024,20,KAILALI,32
2024,21,KATHMANDU,69
2024,21,PARSA,50
2024,21,KAPILBASTU,38
2024,21,RUPANDEHI,36
2024,21,LALITPUR,26
2024,22,KATHMANDU,74
2024,22,PARSA,50
2024,22,KAPILBASTU,34
2024,22,KAILALI,32
2024,22,LALITPUR,25
2024,23,KATHMANDU,78
2024,23,PARSA,48
2024,23,MAHOTTARI,48
2024,23,LALITPUR,34
2024,23,PALPA,33
2024,24,KATHMANDU,95
2024,24,PARSA,49
2024,24,LALITPUR,37
2024,24,KAPILBASTU,25
2024,24,CHITAWAN,25
2024,25,KATHMANDU,81
2024,25,PARSA,40
2024,25,LALITPUR,37
2024,25,KAILALI,25
2024,25,KASKI,25
2024,26,KATHMANDU,69
2024,26,LALITPUR,41
2024,26,PARSA,34
2024,26,BHAKTAPUR,25
2024,26,KAILALI,22
2024,27,KATHMANDU,69
2024,27,LALITPUR,34
2024,27,PARSA,34
2024,27,PALPA,23
2024,27,BHAKTAPUR,23
2024,28,KATHMANDU,68
2024,28,PARSA,32
2024,28,KAILALI,29
2024,28,PALPA,22
2024,28,LALITPUR,22
2024,29,KATHMANDU,72
2024,29,KAILALI,36
2024,29,LALITPUR,36
2024,29,MAKWANPUR,30
2024,29,PARSA,30
2024,30,KATHMANDU,63
2024,30,PARSA,30
2024,30,LALITPUR,28
2024,30,KAILALI,26
2024,30,BHAKTAPUR,23
2024,31,KATHMANDU,100
2024,31,LALITPUR,37
2024,31,BAJURA,34
2024,31,KAILALI,30
2024,31,PARSA,25
2024,32,KATHMANDU,87
2024,32,LALITPUR,45
2024,32,BHAKTAPUR,38
2024,32,PARSA,26
2024,32,DANG,25
2024,33,KATHMANDU,64
2024,33,LALITPUR,38
2024,33,BHAKTAPUR,26
2024,33,PARSA,25
2024,33,RUPANDEHI,23
2024,34,KATHMANDU,45
2024,34,BANKE,24
2024,34,DANG,22
2024,34,RUPANDEHI,19
2024,34,PARSA,19
2024,35,KATHMANDU,54
2024,35,LALITPUR,37
2024,35,PARSA,36
2024,35,DARCHULA,32
2024,35,KAILALI,24
2024,36,KATHMANDU,51
2024,36,BANKE,47
2024,36,LALITPUR,33
2024,36,BAJURA,17
2024,36,KAPILBASTU,17
2024,37,BANKE,59
2024,37,KATHMANDU,58
2024,37,JHAPA,39
2024,37,KAILALI,24
2024,37,LALITPUR,24
2024,38,KATHMANDU,44
2024,38,BANKE,39
2024,38,KAILALI,31
2024,38,PARSA,23
2024,38,CHITAWAN,17
2024,39,KATHMANDU,36
2024,39,BANKE,23
2024,39,LALITPUR,21
2024,39,PARSA,21
2024,39,KAILALI,19
2024,40,KATHMANDU,32
2024,40,PARSA,30
2024,40,RUKUM WEST,26
2024,40,MAKWANPUR,19
2024,40,MYAGDI,17
2024,41,KATHMANDU,21
2024,41,SUNSARI,20
2024,41,GULMI,16
2024,41,PARSA,15
2024,41,MAKWANPUR,14
2024,42,KATHMANDU,29
2024,42,PARSA,22
2024,42,BARA,19
2024,42,KAILALI,16
2024,42,DAILEKH,13
2024,43,KATHMANDU,17
2024,43,KAILALI,15
2024,43,PALPA,12
2024,43,BHAKTAPUR,12
2024,43,BAJURA,11
2024,44,ARGHAKHANCHI,56
2024,44,PALPA,34
2024,44,PARSA,23
2024,44,SUNSARI,13
2024,44,KAILALI,12
2024,45,KAILALI,28
2024,45,PARSA,21
2024,45,PALPA,19
2024,45,RUPANDEHI,18
2024,45,KATHMANDU,16
2024,46,KAILALI,22
2024,46,KATHMANDU,22
2024,46,PALPA,15
2024,46,RUKUM WEST,13
2024,46,MAHOTTARI,13
2024,47,PARSA,29
2024,47,SUNSARI,14
2024,47,KAILALI,13
2024,47,PALPA,13
