,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,14.18,26.15
2021-01-02,0.1,14.46,28.53
2021-01-03,12.34,15.32,47.48
2021-01-04,0.51,13.99,57.88
2021-01-05,1.02,15.28,50.69
2021-01-06,0.88,13.66,67.34
2021-01-07,0.0,13.94,45.66
2021-01-08,0.0,14.04,28.75
2021-01-09,0.0,15.67,33.27
2021-01-10,0.0,15.54,31.72
2021-01-11,0.0,13.95,31.85
2021-01-12,0.0,12.37,35.03
2021-01-13,0.0,11.16,38.59
2021-01-14,0.0,10.47,43.31
2021-01-15,0.0,11.46,41.4
2021-01-16,0.0,12.63,35.08
2021-01-17,0.0,12.11,31.99
2021-01-18,0.0,13.03,31.28
2021-01-19,0.0,13.38,43.33
2021-01-20,0.0,11.89,47.79
2021-01-21,0.0,12.16,30.61
2021-01-22,0.0,11.49,33.25
2021-01-23,0.0,12.44,30.37
2021-01-24,0.0,11.63,35.19
2021-01-25,0.0,10.91,36.38
2021-01-26,0.0,10.66,31.86
2021-01-27,0.0,11.44,26.76
2021-01-28,0.0,11.29,27.94
2021-01-29,0.0,10.23,31.37
2021-01-30,0.0,10.06,30.62
2021-01-31,0.0,10.34,30.65
2021-02-01,0.0,11.12,31.46
2021-02-02,0.0,12.17,30.65
2021-02-03,0.01,12.87,30.99
2021-02-04,0.4,12.41,44.85
2021-02-05,1.36,10.39,67.86
2021-02-06,0.07,10.63,56.5
2021-02-07,0.0,12.89,33.31
2021-02-08,0.0,14.43,28.84
2021-02-09,0.0,14.93,33.39
2021-02-10,0.0,14.75,36.77
2021-02-11,0.0,14.42,33.06
2021-02-12,0.0,14.9,35.31
2021-02-13,0.0,14.63,39.24
2021-02-14,0.0,14.3,40.5
2021-02-15,0.06,14.28,40.46
2021-02-16,0.11,14.85,34.25
2021-02-17,0.02,13.88,31.5
2021-02-18,0.0,13.51,34.73
2021-02-19,0.0,13.7,40.04
2021-02-20,0.0,14.94,34.75
2021-02-21,0.0,15.76,36.77
2021-02-22,0.0,16.53,39.44
2021-02-23,0.0,17.06,35.51
2021-02-24,0.0,17.47,30.86
2021-02-25,0.0,17.7,29.24
2021-02-26,0.03,18.85,29.11
2021-02-27,0.0,18.39,37.31
2021-02-28,0.0,18.33,33.57
2021-03-01,0.01,16.85,23.63
2021-03-02,0.0,16.22,21.65
2021-03-03,0.0,16.4,26.61
2021-03-04,0.0,17.1,25.22
2021-03-05,0.0,17.38,23.99
