,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,10.54,21.69
2021-01-02,0.17,10.65,26.69
2021-01-03,9.32,11.02,49.6
2021-01-04,1.03,9.93,60.47
2021-01-05,2.5,9.93,62.18
2021-01-06,3.84,8.48,78.86
2021-01-07,0.0,9.09,41.4
2021-01-08,0.0,9.89,27.76
2021-01-09,0.0,11.1,37.14
2021-01-10,0.0,10.84,28.1
2021-01-11,0.0,10.44,24.64
2021-01-12,0.0,10.11,27.45
2021-01-13,0.0,9.82,30.8
2021-01-14,0.0,9.72,33.23
2021-01-15,0.0,10.23,33.05
2021-01-16,0.0,10.87,27.53
2021-01-17,0.0,10.31,27.26
2021-01-18,0.0,10.07,28.87
2021-01-19,0.0,9.39,46.64
2021-01-20,0.0,8.53,43.55
2021-01-21,0.0,9.76,25.19
2021-01-22,0.0,10.0,27.23
2021-01-23,0.0,9.74,29.64
2021-01-24,0.0,8.01,34.97
2021-01-25,0.0,7.33,30.89
2021-01-26,0.0,7.51,23.45
2021-01-27,0.0,8.19,22.13
2021-01-28,0.0,7.47,26.45
2021-01-29,0.0,6.59,31.71
2021-01-30,0.0,6.73,30.22
2021-01-31,0.0,7.72,28.65
2021-02-01,0.0,8.57,31.97
2021-02-02,0.0,9.33,29.47
2021-02-03,0.15,9.28,31.52
2021-02-04,1.69,6.94,65.78
2021-02-05,1.05,6.61,65.55
2021-02-06,0.11,6.47,57.19
2021-02-07,0.02,9.83,31.93
2021-02-08,0.0,11.63,28.94
2021-02-09,0.0,12.38,32.07
2021-02-10,0.0,12.17,35.26
2021-02-11,0.0,11.58,32.35
2021-02-12,0.0,11.49,36.01
2021-02-13,0.0,11.63,40.02
2021-02-14,0.0,10.9,40.86
2021-02-15,0.0,10.9,38.83
2021-02-16,0.01,10.77,34.88
2021-02-17,0.0,10.3,33.54
2021-02-18,0.0,9.99,40.66
2021-02-19,0.0,10.51,43.72
2021-02-20,0.0,11.71,36.35
2021-02-21,0.0,12.94,39.2
2021-02-22,0.0,13.95,38.64
2021-02-23,0.0,14.38,35.26
2021-02-24,0.0,14.21,30.88
2021-02-25,0.0,14.4,28.8
2021-02-26,0.25,15.08,31.61
2021-02-27,0.32,14.09,45.17
2021-02-28,0.0,13.39,37.53
2021-03-01,0.0,12.5,24.63
2021-03-02,0.0,12.95,22.17
2021-03-03,0.0,13.64,26.76
2021-03-04,0.0,13.42,26.79
2021-03-05,0.0,13.73,25.45
2021-03-06,0.0,14.18,26.85
2021-03-07,0.54,13.75,36.79
2021-03-08,2.52,13.69,46.91
2021-03-09,0.0,14.63,37.59
2021-03-10,0.02,15.14,35.24
2021-03-11,0.0,14.69,39.09
2021-03-12,0.0,15.21,34.23
2021-03-13,0.02,15.37,40.64
2021-03-14,0.0,15.03,36.93
2021-03-15,0.0,15.59,29.36
2021-03-16,0.0,15.59,31.86
2021-03-17,0.0,15.69,31.66
2021-03-18,0.0,15.74,30.11
2021-03-19,0.0,14.65,30.31
2021-03-20,0.01,15.95,31.52
2021-03-21,0.0,16.3,35.11
2021-03-22,0.42,16.32,36.81
2021-03-23,0.24,16.73,35.38
2021-03-24,0.5,15.15,37.32
2021-03-25,0.04,14.71,32.68
2021-03-26,0.0,16.53,25.32
2021-03-27,0.0,17.52,28.14
2021-03-28,0.0,16.98,36.61
2021-03-29,0.0,17.69,37.9
2021-03-30,0.0,18.79,26.93
2021-03-31,0.0,18.24,19.26
2021-04-01,0.0,16.51,11.97
2021-04-02,0.0,15.06,13.09
2021-04-03,0.0,14.74,12.39
2021-04-04,0.0,16.72,13.0
2021-04-05,0.0,18.07,19.29
2021-04-06,0.02,18.56,27.63
2021-04-07,0.45,18.98,27.81
2021-04-08,0.0,18.67,23.69
2021-04-09,0.0,17.6,16.99
2021-04-10,0.0,18.53,13.98
2021-04-11,0.0,18.63,16.48
2021-04-12,0.0,18.82,24.66
2021-04-13,0.0,19.96,25.2
2021-04-14,0.0,20.58,24.5
2021-04-15,0.01,20.56,29.4
2021-04-16,0.1,21.0,25.74
2021-04-17,5.56,16.91,48.15
2021-04-18,1.84,16.53,49.19
2021-04-19,0.04,17.94,34.64
2021-04-20,0.85,18.27,30.53
2021-04-21,16.82,15.43,61.18
2021-04-22,9.76,13.75,66.53
2021-04-23,4.74,15.06,49.52
2021-04-24,2.11,16.66,47.29
2021-04-25,0.0,18.51,35.56
2021-04-26,0.0,20.01,30.1
2021-04-27,0.0,20.46,33.8
2021-04-28,0.22,20.95,38.64
2021-04-29,1.72,20.61,42.37
2021-04-30,0.22,20.22,44.32
2021-05-01,0.45,20.67,42.23
2021-05-02,2.49,19.66,47.07
2021-05-03,5.06,19.25,51.06
2021-05-04,12.35,18.77,57.42
2021-05-05,8.38,16.93,66.36
2021-05-06,4.82,17.95,59.03
2021-05-07,1.21,18.98,53.01
2021-05-08,1.04,17.71,57.98
2021-05-09,1.1,17.19,63.93
2021-05-10,1.57,16.47,69.64
2021-05-11,4.25,15.22,75.61
2021-05-12,8.56,17.11,66.61
2021-05-13,9.19,15.06,79.6
2021-05-14,0.24,17.35,64.87
2021-05-15,0.0,19.5,51.33
2021-05-16,0.0,20.63,44.14
2021-05-17,0.03,21.49,39.47
2021-05-18,1.52,18.97,47.48
2021-05-19,18.66,16.86,71.11
2021-05-20,44.6,17.01,86.61
2021-05-21,2.25,18.76,71.61
2021-05-22,0.06,19.56,52.13
2021-05-23,0.43,19.86,51.34
2021-05-24,0.74,19.97,51.9
2021-05-25,0.58,20.85,52.22
2021-05-26,0.0,21.67,45.7
2021-05-27,0.04,21.8,39.02
2021-05-28,7.24,20.96,53.43
2021-05-29,4.32,19.87,76.38
2021-05-30,1.94,20.15,75.76
2021-05-31,5.04,20.64,67.3
2021-06-01,4.16,20.56,57.25
2021-06-02,0.07,19.68,56.39
2021-06-03,0.42,20.91,56.36
2021-06-04,1.43,21.9,53.83
2021-06-05,0.57,22.8,54.63
2021-06-06,0.81,22.51,60.04
2021-06-07,0.26,21.86,62.12
2021-06-08,0.08,23.41,60.9
2021-06-09,4.89,23.95,63.18
2021-06-10,41.75,19.71,90.26
2021-06-11,8.07,19.83,87.65
2021-06-12,11.78,19.31,88.83
2021-06-13,7.68,20.79,80.41
2021-06-14,24.14,20.18,85.59
2021-06-15,28.76,20.34,80.16
2021-06-16,3.92,20.58,76.47
2021-06-17,21.19,20.58,77.91
2021-06-18,25.54,19.53,83.14
2021-06-19,37.11,19.13,82.59
2021-06-20,8.22,19.78,81.4
2021-06-21,0.67,21.19,80.36
2021-06-22,1.77,21.55,70.18
2021-06-23,3.45,21.76,68.37
2021-06-24,2.0,20.9,63.45
2021-06-25,11.35,20.87,69.12
2021-06-26,1.87,21.14,65.3
2021-06-27,3.7,20.95,74.51
2021-06-28,0.05,21.24,81.16
2021-06-29,0.0,21.83,74.05
2021-06-30,0.0,23.74,61.6
2021-07-01,0.35,23.24,65.01
2021-07-02,1.91,22.56,68.53
2021-07-03,0.18,22.1,69.24
2021-07-04,0.61,21.31,69.65
2021-07-05,0.19,21.83,76.98
2021-07-06,0.0,22.35,74.16
2021-07-07,0.13,23.05,70.87
2021-07-08,1.26,22.83,76.09
2021-07-09,2.38,20.83,85.24
2021-07-10,2.46,21.56,80.85
2021-07-11,2.61,20.27,88.18
2021-07-12,7.5,20.18,86.62
2021-07-13,4.32,20.44,85.36
2021-07-14,1.74,21.16,83.45
2021-07-15,1.42,21.26,85.53
2021-07-16,1.82,21.03,89.98
2021-07-17,8.54,21.22,89.51
2021-07-18,11.62,20.66,92.23
2021-07-19,16.84,20.27,89.4
2021-07-20,29.11,20.26,90.37
2021-07-21,19.83,20.49,89.31
2021-07-22,22.58,20.6,89.24
2021-07-23,6.29,21.09,84.79
2021-07-24,3.86,21.88,83.43
2021-07-25,11.04,22.21,88.11
2021-07-26,9.78,21.48,91.15
2021-07-27,9.14,21.91,90.73
2021-07-28,11.13,20.87,89.18
2021-07-29,18.48,20.38,90.38
2021-07-30,3.78,20.85,86.38
2021-07-31,0.7,21.04,84.94
2021-08-01,1.43,20.85,91.08
2021-08-02,0.49,21.47,86.05
2021-08-03,0.56,21.58,83.45
2021-08-04,1.61,21.62,86.27
2021-08-05,2.62,20.71,88.66
2021-08-06,1.57,21.18,83.57
2021-08-07,4.61,20.83,87.82
2021-08-08,7.19,20.71,88.84
2021-08-09,6.58,20.66,86.69
2021-08-10,8.06,21.08,87.31
2021-08-11,2.69,21.5,86.43
2021-08-12,10.53,21.49,88.44
2021-08-13,10.06,20.86,90.5
2021-08-14,4.28,20.81,88.52
2021-08-15,8.51,21.48,83.77
2021-08-16,18.02,21.27,83.88
2021-08-17,0.55,21.42,82.42
2021-08-18,7.5,20.93,82.51
2021-08-19,9.01,20.38,87.8
2021-08-20,16.59,19.65,92.23
2021-08-21,6.19,19.97,87.16
2021-08-22,1.58,19.8,92.18
2021-08-23,2.54,19.81,92.46
2021-08-24,7.81,19.54,94.86
2021-08-25,5.89,19.72,92.88
2021-08-26,4.38,20.16,88.72
2021-08-27,19.9,20.54,92.16
2021-08-28,4.65,19.86,94.78
2021-08-29,3.51,18.8,89.24
2021-08-30,18.98,19.12,89.48
2021-08-31,3.51,19.44,85.77
2021-09-01,2.38,19.53,85.26
2021-09-02,0.48,19.87,85.19
2021-09-03,0.06,19.51,78.42
2021-09-04,0.46,19.85,82.61
2021-09-05,1.97,20.58,85.09
2021-09-06,3.94,20.62,87.28
2021-09-07,7.8,19.21,88.84
2021-09-08,5.04,18.43,89.65
2021-09-09,4.4,19.34,88.05
2021-09-10,3.65,19.64,85.9
2021-09-11,5.5,19.97,80.91
2021-09-12,3.71,19.51,78.88
2021-09-13,5.44,20.01,77.84
2021-09-14,1.54,20.11,76.5
2021-09-15,3.06,19.65,85.06
2021-09-16,2.81,18.85,88.8
2021-09-17,0.61,19.33,82.53
2021-09-18,0.03,19.77,87.61
2021-09-19,0.12,20.35,88.85
2021-09-20,1.23,20.57,86.53
2021-09-21,3.47,19.32,90.98
2021-09-22,1.81,18.58,91.44
2021-09-23,2.03,18.55,80.43
2021-09-24,4.0,19.02,80.31
2021-09-25,2.65,19.16,86.54
2021-09-26,0.27,18.79,88.09
2021-09-27,0.41,19.31,83.86
2021-09-28,1.2,17.87,91.31
2021-09-29,0.82,18.26,76.46
2021-09-30,0.6,18.53,81.69
2021-10-01,0.19,18.52,88.52
2021-10-02,0.18,19.27,88.48
2021-10-03,0.64,18.93,88.71
2021-10-04,0.07,18.98,80.91
2021-10-05,0.01,18.41,72.89
2021-10-06,0.0,18.22,73.61
2021-10-07,0.0,18.37,82.44
2021-10-08,0.0,18.36,82.51
2021-10-09,0.0,18.44,72.68
2021-10-10,0.0,18.14,63.61
2021-10-11,0.0,18.37,57.39
2021-10-12,0.0,18.62,55.58
2021-10-13,0.0,18.6,60.57
2021-10-14,0.0,18.79,59.36
2021-10-15,0.0,19.09,53.72
2021-10-16,0.34,18.63,51.12
2021-10-17,16.06,18.73,63.11
2021-10-18,124.02,15.11,91.23
2021-10-19,57.66,15.27,95.32
2021-10-20,65.82,16.57,87.65
2021-10-21,0.06,15.8,80.41
2021-10-22,0.01,15.46,69.82
2021-10-23,0.0,14.89,62.98
2021-10-24,0.0,14.17,68.5
2021-10-25,0.0,13.72,67.74
2021-10-26,0.0,13.09,60.33
2021-10-27,0.0,13.03,57.73
2021-10-28,0.0,13.14,58.33
2021-10-29,0.0,13.38,61.53
2021-10-30,0.0,13.56,57.06
2021-10-31,0.0,12.63,60.33
2021-11-01,0.0,12.25,58.7
2021-11-02,0.0,11.01,52.35
2021-11-03,0.0,10.6,50.59
2021-11-04,0.0,10.49,51.95
2021-11-05,0.0,11.32,50.91
2021-11-06,0.0,12.09,50.23
2021-11-07,0.0,12.21,48.08
2021-11-08,0.0,11.84,45.47
2021-11-09,0.0,12.46,47.46
2021-11-10,0.0,12.59,52.73
2021-11-11,0.0,12.45,52.86
2021-11-12,0.0,12.22,46.9
2021-11-13,0.0,12.36,46.63
2021-11-14,0.0,12.28,47.29
2021-11-15,0.0,11.2,40.9
2021-11-16,0.0,10.88,43.18
2021-11-17,0.0,12.04,43.26
2021-11-18,0.0,13.59,42.61
2021-11-19,0.0,13.6,42.77
2021-11-20,0.0,13.09,50.2
2021-11-21,0.0,12.55,54.46
2021-11-22,0.0,11.5,45.83
2021-11-23,0.0,11.08,50.11
2021-11-24,0.0,10.89,56.11
2021-11-25,0.0,10.28,58.28
2021-11-26,0.0,9.91,59.01
2021-11-27,0.0,9.77,57.6
2021-11-28,0.0,10.24,48.73
2021-11-29,0.0,10.93,43.17
2021-11-30,0.0,11.53,42.17
2021-12-01,0.01,11.66,41.04
2021-12-02,8.36,11.62,61.26
2021-12-03,4.05,10.25,82.69
2021-12-04,0.0,11.79,64.84
2021-12-05,0.16,11.3,63.61
2021-12-06,2.04,8.86,80.94
2021-12-07,0.11,8.78,59.23
2021-12-08,0.0,10.18,46.74
2021-12-09,0.0,8.9,52.14
2021-12-10,0.0,7.56,49.13
2021-12-11,0.0,7.15,44.87
2021-12-12,0.0,8.21,50.54
2021-12-13,0.0,7.79,47.29
2021-12-14,0.0,7.37,44.71
2021-12-15,0.0,7.22,42.78
2021-12-16,0.0,6.45,38.56
2021-12-17,0.0,5.24,56.03
2021-12-18,0.0,4.78,57.13
2021-12-19,0.0,5.15,40.74
2021-12-20,0.0,6.93,37.13
2021-12-21,0.0,7.28,40.58
2021-12-22,0.0,6.88,44.58
2021-12-23,0.0,7.03,47.73
2021-12-24,0.0,6.75,55.29
2021-12-25,0.0,6.24,56.37
2021-12-26,0.0,5.79,58.06
2021-12-27,0.01,5.83,69.67
2021-12-28,2.43,5.14,69.18
2021-12-29,2.03,3.44,80.08
2021-12-30,0.17,4.71,64.36
2021-12-31,0.0,5.72,51.22
2022-01-01,0.0,6.47,43.84
2022-01-02,0.0,7.2,45.54
2022-01-03,0.0,7.83,47.08
2022-01-04,0.14,9.19,47.09
2022-01-05,5.89,6.7,81.76
2022-01-06,2.27,7.01,78.05
2022-01-07,0.09,7.41,74.19
2022-01-08,9.14,5.83,74.86
2022-01-09,8.06,5.28,75.07
2022-01-10,10.26,5.87,74.03
2022-01-11,0.53,6.16,74.55
2022-01-12,0.3,5.28,77.02
2022-01-13,0.0,4.75,58.7
2022-01-14,0.0,4.86,46.71
2022-01-15,0.0,4.63,44.37
2022-01-16,0.0,6.1,45.58
2022-01-17,0.0,8.16,53.0
2022-01-18,0.0,8.09,65.01
2022-01-19,0.15,5.85,66.71
2022-01-20,0.89,5.77,80.15
2022-01-21,0.89,5.54,83.92
2022-01-22,2.19,3.63,81.88
2022-01-23,5.02,3.86,79.16
2022-01-24,6.99,4.34,87.62
2022-01-25,0.93,4.56,83.87
2022-01-26,1.09,3.73,83.06
2022-01-27,0.0,3.62,76.5
2022-01-28,0.0,5.02,60.16
2022-01-29,0.0,7.37,55.95
2022-01-30,0.0,8.27,53.31
2022-01-31,0.0,7.47,59.93
2022-02-01,0.0,5.76,60.25
2022-02-02,0.27,7.61,57.32
2022-02-03,18.33,4.15,84.68
2022-02-04,15.66,0.47,93.11
2022-02-05,0.15,1.59,66.95
2022-02-06,0.09,5.6,62.33
2022-02-07,0.35,7.39,68.26
2022-02-08,1.54,6.8,70.36
2022-02-09,6.76,4.62,76.99
2022-02-10,0.0,5.56,69.39
2022-02-11,0.12,5.8,56.39
2022-02-12,0.0,7.51,48.62
2022-02-13,0.0,8.01,59.26
2022-02-14,0.0,7.89,62.44
2022-02-15,0.0,8.01,70.04
2022-02-16,0.0,7.88,62.25
2022-02-17,0.0,8.03,61.55
2022-02-18,0.0,7.89,51.33
2022-02-19,0.0,7.49,54.12
2022-02-20,0.03,7.08,61.7
2022-02-21,0.0,7.13,58.22
2022-02-22,0.02,9.54,56.58
2022-02-23,1.23,9.46,70.32
2022-02-24,0.16,8.75,67.24
2022-02-25,0.04,7.55,67.18
2022-02-26,6.12,5.89,75.21
2022-02-27,0.51,8.24,65.3
2022-02-28,0.0,8.96,47.54
2022-03-01,0.0,11.26,48.1
2022-03-02,0.0,10.65,55.33
2022-03-03,0.03,10.67,50.51
2022-03-04,0.01,10.54,57.18
2022-03-05,0.0,11.94,49.12
2022-03-06,0.0,13.57,51.24
2022-03-07,0.0,13.19,55.49
2022-03-08,0.0,12.97,49.66
2022-03-09,0.0,13.51,45.57
2022-03-10,0.0,13.92,51.34
2022-03-11,0.0,14.45,55.59
2022-03-12,0.0,14.67,54.06
2022-03-13,0.0,15.48,58.44
2022-03-14,0.0,16.32,56.92
2022-03-15,0.0,17.22,58.32
2022-03-16,0.56,17.61,60.62
2022-03-17,0.11,18.11,58.67
2022-03-18,0.0,18.75,61.14
2022-03-19,0.0,18.78,53.57
