,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,5.24,30.53
2021-01-02,0.05,5.08,35.76
2021-01-03,10.55,6.26,56.52
2021-01-04,2.57,4.05,70.41
2021-01-05,1.26,4.68,71.5
2021-01-06,1.55,3.58,86.82
2021-01-07,0.0,3.23,50.67
2021-01-08,0.0,4.02,31.96
2021-01-09,0.0,5.49,38.91
2021-01-10,0.0,5.14,29.21
2021-01-11,0.0,5.38,26.14
2021-01-12,0.0,5.95,28.36
2021-01-13,0.0,6.09,32.38
2021-01-14,0.0,7.5,31.3
2021-01-15,0.0,7.9,31.64
2021-01-16,0.0,7.34,28.17
2021-01-17,0.0,6.6,29.81
2021-01-18,0.0,5.24,34.68
2021-01-19,0.0,4.47,55.2
2021-01-20,0.0,3.47,54.58
2021-01-21,0.0,5.21,27.73
2021-01-22,0.0,7.14,25.85
2021-01-23,0.0,5.42,34.08
2021-01-24,0.0,2.96,42.14
2021-01-25,0.0,2.16,38.74
2021-01-26,0.0,2.24,29.74
2021-01-27,0.0,2.81,28.12
2021-01-28,0.0,1.81,33.53
2021-01-29,0.0,0.85,40.09
2021-01-30,0.0,1.52,38.83
2021-01-31,0.0,3.07,34.62
2021-02-01,0.0,3.84,37.51
2021-02-02,0.0,4.1,35.4
2021-02-03,0.04,3.71,36.88
2021-02-04,0.47,1.93,71.15
2021-02-05,1.71,1.09,79.99
2021-02-06,0.09,1.07,73.84
2021-02-07,0.0,4.68,31.9
2021-02-08,0.0,7.33,28.08
2021-02-09,0.0,8.05,33.79
2021-02-10,0.0,7.0,42.46
2021-02-11,0.0,6.5,37.85
2021-02-12,0.0,6.56,42.2
2021-02-13,0.0,6.93,46.44
2021-02-14,0.0,6.03,50.93
2021-02-15,0.08,5.43,49.59
2021-02-16,0.11,5.3,45.79
2021-02-17,0.01,4.57,43.18
2021-02-18,0.0,3.87,50.16
2021-02-19,0.0,5.02,51.1
2021-02-20,0.0,6.69,41.6
2021-02-21,0.0,8.44,45.43
2021-02-22,0.0,9.52,45.23
2021-02-23,0.0,9.49,43.0
2021-02-24,0.0,8.81,38.84
2021-02-25,0.0,8.74,36.11
2021-02-26,0.1,9.58,36.89
2021-02-27,0.03,8.76,52.95
2021-02-28,0.0,8.14,42.86
2021-03-01,0.01,7.14,30.22
2021-03-02,0.0,7.61,28.26
2021-03-03,0.0,8.14,33.83
2021-03-04,0.0,7.54,35.32
2021-03-05,0.0,7.81,33.65
2021-03-06,0.0,8.69,34.84
2021-03-07,0.45,7.95,49.39
2021-03-08,5.57,6.97,68.25
2021-03-09,0.0,8.4,49.17
2021-03-10,0.44,8.61,46.57
2021-03-11,0.02,8.87,50.43
2021-03-12,0.02,9.54,41.99
2021-03-13,0.17,9.83,47.74
2021-03-14,0.0,9.58,43.92
2021-03-15,0.0,10.08,37.88
2021-03-16,0.02,10.04,39.34
2021-03-17,0.01,10.13,39.78
2021-03-18,0.01,10.14,37.86
2021-03-19,0.03,9.49,36.13
2021-03-20,0.08,10.27,38.39
2021-03-21,0.0,11.0,43.29
2021-03-22,0.12,11.03,45.03
2021-03-23,0.46,11.17,44.18
2021-03-24,1.4,9.47,49.36
2021-03-25,0.04,9.21,41.59
2021-03-26,0.0,11.26,31.74
2021-03-27,0.0,12.23,34.7
2021-03-28,0.0,10.95,48.02
2021-03-29,0.0,11.49,51.22
2021-03-30,0.01,12.63,36.17
2021-03-31,0.0,12.42,28.84
2021-04-01,0.04,10.45,19.05
2021-04-02,0.0,9.33,19.04
2021-04-03,0.0,8.53,18.68
2021-04-04,0.0,10.51,19.91
2021-04-05,0.0,12.21,26.39
2021-04-06,0.02,12.97,34.92
2021-04-07,0.55,12.71,41.0
2021-04-08,0.0,12.75,33.6
2021-04-09,0.0,12.01,24.65
2021-04-10,0.0,12.61,19.01
2021-04-11,0.0,12.62,24.35
2021-04-12,0.0,12.54,35.32
2021-04-13,0.0,13.82,34.77
2021-04-14,0.0,14.18,32.87
2021-04-15,0.01,12.97,45.59
2021-04-16,0.12,14.74,37.26
2021-04-17,7.35,10.4,60.15
2021-04-18,0.96,10.64,56.81
2021-04-19,0.01,12.33,40.56
2021-04-20,1.42,12.94,35.25
2021-04-21,13.86,8.88,70.53
2021-04-22,14.51,8.11,77.04
2021-04-23,1.41,9.55,55.4
2021-04-24,1.13,11.06,53.78
2021-04-25,0.0,12.77,37.34
2021-04-26,0.0,14.3,32.78
2021-04-27,0.0,14.82,40.13
2021-04-28,0.07,14.42,49.27
2021-04-29,0.3,14.3,50.62
2021-04-30,0.21,14.05,55.01
2021-05-01,0.59,15.03,49.82
2021-05-02,2.21,14.43,53.51
2021-05-03,5.98,13.57,60.93
2021-05-04,8.07,13.15,68.02
2021-05-05,10.58,11.46,78.54
2021-05-06,3.76,12.41,71.86
2021-05-07,1.12,13.43,63.91
2021-05-08,0.13,12.43,66.91
2021-05-09,1.07,12.11,72.98
2021-05-10,1.94,11.75,78.8
2021-05-11,4.5,11.36,79.18
2021-05-12,10.45,11.47,80.1
2021-05-13,5.3,10.65,84.79
2021-05-14,0.41,12.08,73.52
2021-05-15,0.0,13.9,62.49
2021-05-16,0.0,15.15,53.45
2021-05-17,0.02,16.13,45.5
2021-05-18,0.68,13.81,54.09
2021-05-19,5.92,12.47,75.66
2021-05-20,20.97,13.95,85.32
2021-05-21,5.29,14.43,73.43
2021-05-22,0.16,14.94,55.36
2021-05-23,0.25,15.31,54.76
2021-05-24,0.27,15.0,58.53
2021-05-25,0.38,15.45,56.46
2021-05-26,0.33,16.32,52.06
2021-05-27,0.07,16.83,42.8
2021-05-28,15.31,16.17,58.83
2021-05-29,7.32,15.68,79.56
2021-05-30,2.05,15.81,81.52
2021-05-31,2.3,16.0,72.91
2021-06-01,3.04,15.13,67.98
2021-06-02,0.03,14.83,63.4
2021-06-03,0.35,15.82,64.81
2021-06-04,0.54,16.86,60.25
2021-06-05,0.49,17.86,59.36
2021-06-06,0.97,17.17,70.54
2021-06-07,0.21,16.96,70.84
2021-06-08,0.06,18.64,65.09
2021-06-09,3.65,19.21,68.73
2021-06-10,20.78,16.51,89.2
2021-06-11,4.81,16.34,86.84
2021-06-12,8.99,15.72,88.61
2021-06-13,11.75,17.15,79.59
2021-06-14,14.63,16.17,86.69
2021-06-15,25.38,15.86,83.63
2021-06-16,4.46,16.4,78.05
2021-06-17,22.07,15.46,79.84
2021-06-18,14.25,15.4,85.73
2021-06-19,21.05,15.21,86.1
2021-06-20,9.48,16.14,85.06
2021-06-21,1.48,17.7,82.42
2021-06-22,2.24,17.87,76.76
2021-06-23,8.8,17.4,73.11
2021-06-24,2.03,16.71,68.99
2021-06-25,8.62,16.33,74.37
2021-06-26,5.93,16.53,70.78
2021-06-27,9.46,17.36,76.64
2021-06-28,0.09,17.91,82.14
2021-06-29,0.01,18.44,79.64
2021-06-30,0.14,18.55,73.84
2021-07-01,1.13,17.88,76.77
2021-07-02,2.83,17.76,77.09
2021-07-03,0.33,17.8,74.4
2021-07-04,1.04,17.19,75.42
2021-07-05,0.34,18.06,80.97
2021-07-06,0.0,18.62,79.74
2021-07-07,0.5,18.91,78.57
2021-07-08,2.76,18.58,81.98
2021-07-09,1.4,17.45,87.74
2021-07-10,2.68,17.99,80.91
2021-07-11,1.44,16.65,87.02
2021-07-12,4.52,16.28,87.46
2021-07-13,2.18,16.77,85.5
2021-07-14,1.26,17.72,82.16
2021-07-15,1.49,17.59,87.19
2021-07-16,2.94,17.65,91.36
2021-07-17,5.38,17.82,91.11
2021-07-18,8.15,17.22,92.72
2021-07-19,13.57,17.09,87.83
2021-07-20,15.87,17.18,89.97
2021-07-21,8.65,17.05,88.83
2021-07-22,14.68,17.29,89.91
2021-07-23,8.06,17.25,86.68
2021-07-24,5.83,18.57,83.84
2021-07-25,15.42,18.97,88.99
2021-07-26,9.02,18.21,90.95
2021-07-27,7.43,18.43,89.46
2021-07-28,9.22,17.22,85.56
2021-07-29,14.91,17.46,91.29
2021-07-30,5.17,17.23,87.36
2021-07-31,1.3,17.58,86.82
2021-08-01,0.89,17.51,90.85
2021-08-02,0.08,18.31,83.5
2021-08-03,0.16,18.14,82.15
2021-08-04,1.58,18.18,85.22
2021-08-05,3.63,17.3,88.73
2021-08-06,1.37,17.78,83.42
2021-08-07,4.05,17.64,88.12
2021-08-08,7.64,16.92,90.06
2021-08-09,4.9,16.89,87.77
2021-08-10,4.67,17.77,85.43
2021-08-11,2.68,17.76,87.05
2021-08-12,3.88,18.31,88.13
2021-08-13,5.08,17.93,89.71
2021-08-14,4.33,17.33,89.7
2021-08-15,8.25,17.76,85.57
2021-08-16,9.98,17.47,83.85
2021-08-17,0.7,17.7,81.43
2021-08-18,7.94,17.78,83.3
2021-08-19,6.05,16.9,86.93
2021-08-20,12.39,16.25,92.0
2021-08-21,6.4,16.65,87.02
2021-08-22,2.36,16.58,92.5
2021-08-23,3.51,16.2,93.19
2021-08-24,10.0,16.27,94.53
2021-08-25,4.03,16.76,91.79
2021-08-26,4.26,16.91,90.9
2021-08-27,21.4,17.58,92.18
2021-08-28,4.74,15.81,95.38
2021-08-29,3.72,14.99,88.92
2021-08-30,16.77,15.62,89.77
2021-08-31,5.86,15.78,85.74
2021-09-01,0.66,16.13,86.11
2021-09-02,1.79,16.61,87.42
2021-09-03,0.15,16.28,78.11
2021-09-04,0.4,16.86,82.17
2021-09-05,0.34,17.33,86.44
2021-09-06,5.06,17.16,86.0
2021-09-07,9.55,15.62,89.24
2021-09-08,9.02,15.09,90.33
2021-09-09,2.17,15.93,87.49
2021-09-10,3.35,15.69,86.33
2021-09-11,6.0,15.83,82.62
2021-09-12,4.68,15.4,84.29
2021-09-13,8.9,15.58,83.76
2021-09-14,2.6,16.32,79.7
2021-09-15,4.74,15.67,87.82
2021-09-16,3.97,15.1,88.97
2021-09-17,1.87,15.54,84.38
2021-09-18,0.06,16.52,87.01
2021-09-19,0.34,17.23,88.76
2021-09-20,2.57,16.93,86.05
2021-09-21,4.37,15.71,89.8
2021-09-22,1.11,14.86,94.78
2021-09-23,3.28,14.67,83.78
2021-09-24,4.0,15.32,83.6
2021-09-25,5.55,15.18,88.61
2021-09-26,0.72,15.05,87.44
2021-09-27,2.31,15.52,85.82
2021-09-28,1.84,13.97,93.47
2021-09-29,0.18,14.42,81.21
2021-09-30,0.31,15.09,83.51
2021-10-01,0.52,14.91,90.45
2021-10-02,0.06,15.39,90.06
2021-10-03,0.75,15.54,89.53
2021-10-04,0.18,15.2,80.62
2021-10-05,0.1,14.07,74.77
2021-10-06,0.0,14.01,75.04
2021-10-07,0.16,14.99,79.96
2021-10-08,0.2,14.76,81.49
2021-10-09,0.01,14.25,75.78
2021-10-10,0.01,13.43,67.42
2021-10-11,0.0,13.75,62.1
2021-10-12,0.0,14.01,61.29
2021-10-13,0.0,13.76,67.98
2021-10-14,0.0,13.65,67.65
2021-10-15,0.0,13.96,64.58
2021-10-16,0.99,13.47,60.31
2021-10-17,12.31,14.4,68.3
2021-10-18,65.87,11.7,92.59
2021-10-19,43.71,12.07,94.89
2021-10-20,33.07,13.01,86.38
2021-10-21,0.31,11.55,75.14
2021-10-22,0.03,11.69,67.29
2021-10-23,0.02,10.62,70.1
2021-10-24,0.13,9.68,72.59
2021-10-25,0.0,9.01,68.42
2021-10-26,0.0,8.44,69.6
2021-10-27,0.0,7.95,67.98
2021-10-28,0.0,8.29,61.87
2021-10-29,0.0,8.72,64.54
2021-10-30,0.0,8.6,64.6
2021-10-31,0.0,8.49,68.61
2021-11-01,0.0,7.79,65.13
2021-11-02,0.0,6.31,66.76
2021-11-03,0.0,5.55,59.18
2021-11-04,0.0,5.5,56.69
2021-11-05,0.0,6.7,55.29
2021-11-06,0.0,7.42,53.21
2021-11-07,0.0,7.35,50.47
2021-11-08,0.0,7.2,48.51
2021-11-09,0.0,8.15,48.8
2021-11-10,0.0,8.56,52.32
2021-11-11,0.0,8.59,51.52
2021-11-12,0.0,8.05,48.84
2021-11-13,0.0,7.98,46.54
2021-11-14,0.0,8.01,47.56
2021-11-15,0.0,6.73,43.04
2021-11-16,0.0,6.16,44.94
2021-11-17,0.0,8.15,42.71
2021-11-18,0.0,9.41,45.39
2021-11-19,0.0,8.68,51.03
2021-11-20,0.0,7.97,55.18
2021-11-21,0.0,8.0,59.22
2021-11-22,0.0,6.43,50.54
2021-11-23,0.0,6.8,50.55
2021-11-24,0.0,6.89,58.7
2021-11-25,0.0,5.76,67.42
2021-11-26,0.0,5.61,67.6
2021-11-27,0.0,5.18,67.27
2021-11-28,0.0,5.62,54.76
2021-11-29,0.0,6.36,44.75
2021-11-30,0.0,7.32,39.81
2021-12-01,0.02,7.91,41.43
2021-12-02,14.88,7.06,71.41
2021-12-03,4.46,6.11,88.58
2021-12-04,0.0,6.66,63.52
2021-12-05,0.08,6.41,60.46
2021-12-06,2.53,3.99,86.58
2021-12-07,0.09,3.48,61.97
2021-12-08,0.0,5.23,48.89
2021-12-09,0.0,3.86,56.38
2021-12-10,0.0,2.8,47.97
2021-12-11,0.0,2.29,46.99
2021-12-12,0.0,3.87,48.46
2021-12-13,0.0,3.68,43.73
2021-12-14,0.0,2.74,46.06
2021-12-15,0.0,1.87,49.63
2021-12-16,0.0,1.25,46.51
2021-12-17,0.0,0.66,56.32
2021-12-18,0.0,0.07,60.9
2021-12-19,0.0,0.29,47.42
2021-12-20,0.0,2.02,44.8
2021-12-21,0.0,2.39,46.8
2021-12-22,0.0,1.91,52.07
2021-12-23,0.0,2.52,51.81
2021-12-24,0.0,1.61,66.27
2021-12-25,0.0,0.97,70.02
2021-12-26,0.0,0.54,73.51
2021-12-27,0.01,0.9,83.22
2021-12-28,2.19,0.33,76.57
2021-12-29,6.33,-0.7,85.95
2021-12-30,0.49,-0.42,78.61
2021-12-31,0.0,0.36,58.37
2022-01-01,0.0,1.38,51.66
2022-01-02,0.0,2.14,52.66
2022-01-03,0.0,2.45,53.41
2022-01-04,0.06,4.24,52.04
2022-01-05,4.6,2.4,83.82
2022-01-06,3.97,2.54,82.57
2022-01-07,0.07,2.7,80.17
2022-01-08,4.13,0.29,82.39
2022-01-09,3.11,1.09,73.23
2022-01-10,5.0,1.51,77.13
2022-01-11,0.17,1.21,80.88
2022-01-12,0.01,0.28,76.57
2022-01-13,0.0,-0.79,59.42
2022-01-14,0.0,-0.46,53.76
2022-01-15,0.0,-0.3,50.38
2022-01-16,0.0,1.35,46.71
2022-01-17,0.0,4.06,54.93
2022-01-18,0.0,2.7,77.33
2022-01-19,0.09,1.5,67.19
2022-01-20,0.39,1.2,83.76
2022-01-21,0.42,0.8,87.36
2022-01-22,0.73,-0.65,85.23
2022-01-23,3.31,-0.14,83.96
2022-01-24,5.5,-0.17,89.77
2022-01-25,0.79,-0.36,87.36
2022-01-26,0.97,-1.26,86.03
2022-01-27,0.0,-1.78,81.69
2022-01-28,0.0,1.05,54.99
2022-01-29,0.0,3.62,50.49
2022-01-30,0.0,4.03,50.99
2022-01-31,0.0,3.1,64.19
2022-02-01,0.0,0.91,71.88
2022-02-02,0.29,3.31,58.35
2022-02-03,18.02,-0.12,90.58
2022-02-04,23.5,-2.25,98.68
2022-02-05,0.09,-4.42,73.39
2022-02-06,0.0,-0.23,63.23
2022-02-07,0.28,3.3,67.49
2022-02-08,1.19,1.34,77.89
2022-02-09,4.63,-0.78,81.55
2022-02-10,0.08,0.5,75.78
2022-02-11,0.05,0.19,59.7
2022-02-12,0.0,1.78,52.98
2022-02-13,0.0,2.32,63.97
2022-02-14,0.0,2.51,67.47
2022-02-15,0.0,2.97,77.04
2022-02-16,0.0,2.08,76.15
2022-02-17,0.0,2.18,71.96
2022-02-18,0.04,1.84,61.41
2022-02-19,0.01,1.48,65.76
2022-02-20,0.16,0.93,75.1
2022-02-21,0.0,1.52,62.2
2022-02-22,0.01,4.73,61.87
2022-02-23,2.33,4.16,83.13
2022-02-24,0.05,3.24,78.59
2022-02-25,0.07,2.11,79.31
2022-02-26,4.58,0.42,83.34
2022-02-27,0.91,2.44,76.82
2022-02-28,0.0,3.02,53.27
2022-03-01,0.02,5.56,53.14
2022-03-02,0.0,4.44,64.22
2022-03-03,0.02,4.86,58.49
2022-03-04,0.01,4.93,62.45
2022-03-05,0.0,5.75,53.39
2022-03-06,0.0,8.94,50.74
2022-03-07,0.0,8.47,60.57
2022-03-08,0.0,7.6,57.58
2022-03-09,0.0,7.71,52.32
2022-03-10,0.0,8.0,58.26
2022-03-11,0.0,8.72,62.94
2022-03-12,0.0,9.6,57.99
2022-03-13,0.0,10.85,61.42
2022-03-14,0.0,12.29,58.4
2022-03-15,0.1,12.65,62.52
2022-03-16,0.3,12.94,68.97
2022-03-17,0.01,13.54,60.45
2022-03-18,0.0,14.17,64.17
2022-03-19,0.0,13.51,63.43
2022-03-20,0.0,12.35,63.72
2022-03-21,0.0,11.9,58.4
2022-03-22,0.03,12.48,55.51
2022-03-23,0.13,11.52,64.17
2022-03-24,0.01,11.18,57.32
2022-03-25,0.0,10.48,60.5
2022-03-26,0.0,11.82,51.71
2022-03-27,0.0,13.07,46.19
2022-03-28,0.0,13.28,44.39
2022-03-29,0.0,13.87,40.93
2022-03-30,0.06,13.63,38.31
2022-03-31,0.0,13.64,35.44
2022-04-01,0.0,14.55,39.77
2022-04-02,0.03,14.41,45.32
2022-04-03,0.0,13.58,39.88
2022-04-04,0.0,13.99,33.84
2022-04-05,0.0,14.25,34.99
2022-04-06,0.0,14.34,35.07
2022-04-07,0.03,13.87,36.55
2022-04-08,0.03,14.3,40.18
2022-04-09,1.16,14.76,41.51
2022-04-10,1.5,14.43,41.94
2022-04-11,0.02,15.32,39.5
2022-04-12,0.0,15.57,39.05
2022-04-13,0.91,15.45,41.2
2022-04-14,4.89,13.43,49.29
2022-04-15,0.43,12.01,45.96
2022-04-16,0.56,12.49,43.07
2022-04-17,0.0,13.38,41.43
2022-04-18,0.0,15.47,33.85
2022-04-19,0.03,15.41,34.57
2022-04-20,0.01,15.71,38.28
2022-04-21,0.04,15.01,44.62
2022-04-22,1.29,14.2,49.46
2022-04-23,0.0,14.2,38.38
2022-04-24,0.0,14.28,31.4
2022-04-25,0.0,15.13,33.53
2022-04-26,0.17,15.35,38.31
2022-04-27,0.03,16.23,38.02
2022-04-28,0.06,16.48,36.3
2022-04-29,0.26,16.84,37.26
2022-04-30,5.01,16.11,43.8
2022-05-01,4.97,15.0,53.37
2022-05-02,4.96,14.25,62.66
2022-05-03,0.9,15.12,64.43
2022-05-04,2.25,15.42,62.86
2022-05-05,3.18,14.12,64.23
2022-05-06,0.82,13.66,70.33
2022-05-07,0.51,14.55,61.89
2022-05-08,2.46,14.25,61.78
2022-05-09,1.09,14.3,70.3
2022-05-10,4.81,14.98,77.82
2022-05-11,1.27,15.4,77.54
2022-05-12,10.91,15.31,83.78
2022-05-13,5.03,15.75,67.96
2022-05-14,0.02,17.37,45.3
2022-05-15,0.02,17.33,38.24
2022-05-16,0.22,17.42,41.38
2022-05-17,3.96,15.57,53.66
2022-05-18,0.21,15.31,56.09
2022-05-19,0.17,16.36,54.07
2022-05-20,4.53,15.59,58.91
2022-05-21,0.81,15.82,49.01
2022-05-22,3.07,13.73,60.82
2022-05-23,1.42,12.84,65.3
2022-05-24,3.73,12.57,66.15
2022-05-25,7.68,12.44,70.91
2022-05-26,0.08,14.07,63.0
2022-05-27,0.14,14.83,70.42
2022-05-28,0.3,15.06,76.94
2022-05-29,0.04,16.11,66.39
2022-05-30,0.05,16.3,57.98
2022-05-31,0.06,16.81,45.07
2022-06-01,0.61,17.27,46.6
2022-06-02,0.03,17.65,40.43
2022-06-03,0.0,17.95,34.94
2022-06-04,0.0,18.68,29.86
