,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.92,35.84
2021-01-02,0.01,18.26,33.63
2021-01-03,3.53,20.19,47.13
2021-01-04,1.66,22.37,46.9
2021-01-05,0.1,22.22,42.07
2021-01-06,0.01,22.08,45.86
2021-01-07,0.01,19.66,52.73
2021-01-08,0.0,18.32,50.99
2021-01-09,0.0,20.08,45.45
2021-01-10,0.0,19.01,51.23
2021-01-11,0.0,15.27,54.79
2021-01-12,0.0,13.39,46.97
2021-01-13,0.0,13.44,42.07
2021-01-14,0.0,14.3,40.36
2021-01-15,0.0,15.3,36.93
2021-01-16,0.0,14.94,38.17
2021-01-17,0.0,15.4,33.1
2021-01-18,0.0,17.17,33.3
2021-01-19,0.0,17.63,40.54
2021-01-20,0.0,15.4,48.75
2021-01-21,0.0,13.91,42.76
2021-01-22,0.0,15.79,34.09
2021-01-23,0.0,16.67,30.72
2021-01-24,0.0,17.23,34.6
2021-01-25,0.0,16.19,39.79
2021-01-26,0.0,14.61,40.02
2021-01-27,0.0,14.43,38.47
2021-01-28,0.0,15.13,34.79
2021-01-29,0.0,14.64,34.45
2021-01-30,0.0,13.96,33.99
2021-01-31,0.0,15.03,30.66
2021-02-01,0.0,15.5,31.55
2021-02-02,0.0,16.85,30.38
2021-02-03,0.0,18.55,30.45
2021-02-04,0.51,19.81,30.64
2021-02-05,0.38,17.15,48.81
2021-02-06,0.29,16.23,46.22
2021-02-07,0.0,16.02,40.43
2021-02-08,0.0,16.87,36.88
2021-02-09,0.0,19.09,33.89
2021-02-10,0.0,19.86,34.74
2021-02-11,0.0,19.58,33.33
2021-02-12,0.0,19.92,32.69
2021-02-13,0.0,19.56,34.71
2021-02-14,0.0,19.8,34.15
2021-02-15,0.55,20.07,33.56
2021-02-16,0.35,20.56,34.42
2021-02-17,0.16,20.21,29.52
2021-02-18,0.01,20.33,29.25
2021-02-19,0.02,20.51,33.11
2021-02-20,0.0,20.59,29.67
2021-02-21,0.0,20.61,32.43
2021-02-22,0.0,21.32,32.97
2021-02-23,0.0,22.79,28.42
2021-02-24,0.0,23.4,25.07
2021-02-25,0.0,23.44,23.48
2021-02-26,0.0,23.92,25.04
2021-02-27,0.05,24.56,28.78
2021-02-28,0.0,25.26,28.22
2021-03-01,0.09,24.19,20.23
2021-03-02,0.0,21.02,18.38
2021-03-03,0.0,23.03,18.64
2021-03-04,0.0,23.99,17.6
2021-03-05,0.0,24.39,16.0
2021-03-06,0.0,23.63,17.79
2021-03-07,0.0,25.61,16.46
2021-03-08,1.09,24.99,24.0
2021-03-09,0.01,26.64,21.94
2021-03-10,2.81,26.34,27.1
2021-03-11,0.02,26.81,26.02
2021-03-12,0.05,26.55,23.73
2021-03-13,3.17,25.43,33.18
2021-03-14,0.0,23.74,34.64
2021-03-15,0.0,24.45,26.55
2021-03-16,0.22,25.52,26.63
2021-03-17,0.0,26.0,24.16
2021-03-18,0.17,26.89,23.14
2021-03-19,0.17,27.33,24.4
2021-03-20,0.04,26.55,23.35
2021-03-21,0.0,26.6,20.01
2021-03-22,0.0,27.64,19.0
2021-03-23,0.03,28.88,20.78
2021-03-24,0.2,27.17,23.68
2021-03-25,0.05,25.44,22.03
2021-03-26,0.0,24.76,20.35
2021-03-27,0.0,26.82,20.3
2021-03-28,0.0,28.22,21.15
2021-03-29,0.02,29.32,21.13
2021-03-30,0.01,30.44,17.07
2021-03-31,0.04,28.11,13.05
2021-04-01,0.83,25.23,9.44
2021-04-02,0.0,25.9,8.26
2021-04-03,0.0,25.63,7.83
2021-04-04,0.0,26.49,7.94
2021-04-05,0.0,28.51,9.22
2021-04-06,0.0,30.18,11.25
2021-04-07,0.05,31.84,13.53
2021-04-08,0.0,30.71,14.39
2021-04-09,0.0,29.48,10.72
2021-04-10,0.0,29.08,8.54
2021-04-11,0.0,28.83,10.86
2021-04-12,0.0,29.91,13.72
2021-04-13,0.0,30.68,16.92
2021-04-14,0.09,31.69,15.72
2021-04-15,0.32,32.32,17.87
2021-04-16,0.0,32.41,17.06
2021-04-17,2.15,30.57,21.09
2021-04-18,1.42,29.78,26.42
2021-04-19,0.07,30.16,20.41
2021-04-20,0.02,31.47,16.65
2021-04-21,7.34,27.63,40.51
2021-04-22,6.91,26.37,47.22
2021-04-23,0.18,28.29,33.21
2021-04-24,0.01,30.05,25.05
2021-04-25,0.0,28.83,21.48
2021-04-26,0.0,30.63,17.96
2021-04-27,0.0,32.05,17.52
2021-04-28,0.0,34.05,17.12
2021-04-29,0.44,33.2,19.81
2021-04-30,0.35,32.78,24.35
2021-05-01,0.97,32.72,25.22
2021-05-02,0.54,31.83,25.5
2021-05-03,6.05,30.62,34.41
2021-05-04,3.12,29.86,39.24
2021-05-05,16.76,27.77,48.79
2021-05-06,8.04,29.61,43.65
2021-05-07,2.14,30.25,42.4
2021-05-08,1.01,30.2,39.04
2021-05-09,7.41,29.52,42.68
2021-05-10,2.54,29.55,44.22
2021-05-11,9.36,29.01,48.25
2021-05-12,24.42,27.26,55.22
2021-05-13,5.67,26.67,52.67
2021-05-14,0.36,28.38,45.8
2021-05-15,0.02,31.24,37.62
2021-05-16,0.11,31.92,32.88
2021-05-17,0.49,32.46,29.91
2021-05-18,1.78,28.99,39.69
2021-05-19,20.05,26.99,62.29
2021-05-20,46.25,25.42,78.84
2021-05-21,6.77,27.84,66.27
2021-05-22,1.04,29.62,50.02
2021-05-23,0.01,29.77,46.14
2021-05-24,0.0,29.52,41.96
2021-05-25,0.03,31.96,41.79
2021-05-26,6.03,31.84,49.43
2021-05-27,18.85,29.58,57.65
2021-05-28,61.66,26.7,80.64
2021-05-29,44.95,26.67,80.55
2021-05-30,3.26,29.03,69.22
2021-05-31,17.2,30.12,64.78
2021-06-01,2.3,31.04,55.27
2021-06-02,1.74,29.39,59.03
2021-06-03,0.03,30.55,56.89
2021-06-04,1.01,31.2,56.33
2021-06-05,1.06,30.83,58.42
2021-06-06,4.41,30.59,64.53
2021-06-07,1.57,31.23,59.7
2021-06-08,2.45,30.12,62.97
2021-06-09,7.8,30.71,66.72
2021-06-10,11.23,29.42,71.21
2021-06-11,4.35,28.8,77.3
2021-06-12,16.61,28.78,77.37
2021-06-13,44.64,28.26,81.31
2021-06-14,59.99,27.82,84.91
2021-06-15,61.93,26.86,84.56
2021-06-16,18.43,28.52,78.94
2021-06-17,16.69,27.59,81.15
2021-06-18,14.5,27.31,85.58
2021-06-19,13.78,26.48,89.39
2021-06-20,10.76,26.97,87.06
2021-06-21,1.66,28.69,81.28
2021-06-22,2.77,29.49,76.2
2021-06-23,19.11,29.55,78.5
2021-06-24,17.27,28.27,81.08
2021-06-25,23.38,28.35,78.58
2021-06-26,7.75,27.77,83.42
2021-06-27,9.14,28.02,84.5
2021-06-28,13.49,28.57,82.33
2021-06-29,0.49,28.84,79.48
2021-06-30,18.34,30.15,71.18
2021-07-01,13.81,31.31,66.55
2021-07-02,13.09,30.69,69.44
2021-07-03,23.79,29.93,75.16
2021-07-04,7.73,29.11,75.15
2021-07-05,12.96,29.28,78.43
2021-07-06,0.47,29.85,76.89
2021-07-07,1.79,30.7,72.44
2021-07-08,14.06,29.41,83.66
2021-07-09,3.29,28.31,85.04
2021-07-10,7.25,28.37,85.82
2021-07-11,1.09,27.55,85.81
2021-07-12,14.14,27.5,87.57
2021-07-13,1.86,28.7,82.02
2021-07-14,1.76,28.19,85.52
2021-07-15,0.97,28.33,84.01
2021-07-16,32.23,28.48,84.84
2021-07-17,33.48,26.19,93.71
2021-07-18,46.76,26.92,90.57
2021-07-19,20.25,27.53,87.73
2021-07-20,74.38,27.88,86.44
2021-07-21,27.7,26.84,91.88
2021-07-22,15.51,27.2,91.25
2021-07-23,9.55,29.83,77.9
2021-07-24,7.13,29.97,79.72
2021-07-25,13.68,29.01,86.65
2021-07-26,19.48,28.61,83.76
2021-07-27,11.13,29.02,83.63
2021-07-28,20.08,28.7,86.73
2021-07-29,10.3,28.05,86.82
2021-07-30,8.48,27.81,87.11
2021-07-31,4.37,29.07,79.74
2021-08-01,3.68,28.13,86.91
2021-08-02,1.45,27.72,88.7
2021-08-03,0.66,27.78,88.25
2021-08-04,2.5,26.98,89.77
2021-08-05,2.14,27.86,84.19
2021-08-06,1.69,28.61,83.35
2021-08-07,4.67,29.12,82.1
2021-08-08,26.25,28.15,87.94
2021-08-09,7.17,28.26,89.04
2021-08-10,9.19,28.21,88.09
2021-08-11,6.82,27.88,89.75
2021-08-12,10.28,27.52,89.25
