,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,14.77,35.77
2021-01-02,0.17,17.7,37.65
2021-01-03,3.56,19.94,57.99
2021-01-04,0.46,21.38,54.82
2021-01-05,0.89,21.37,45.91
2021-01-06,0.07,21.63,51.37
2021-01-07,0.08,19.28,61.77
2021-01-08,0.0,18.61,58.43
2021-01-09,0.0,20.72,49.8
2021-01-10,0.0,19.58,56.07
2021-01-11,0.0,15.22,56.16
2021-01-12,0.0,12.9,47.51
2021-01-13,0.0,12.05,47.32
2021-01-14,0.0,13.04,42.85
2021-01-15,0.0,13.94,39.77
2021-01-16,0.0,13.47,40.64
2021-01-17,0.0,14.2,35.92
2021-01-18,0.0,16.44,35.61
2021-01-19,0.0,17.79,40.44
2021-01-20,0.0,15.41,48.97
2021-01-21,0.0,13.64,46.6
2021-01-22,0.0,15.86,34.24
2021-01-23,0.0,16.8,30.15
2021-01-24,0.0,17.22,35.29
2021-01-25,0.0,16.25,42.54
2021-01-26,0.0,14.56,41.76
2021-01-27,0.0,14.31,41.48
2021-01-28,0.0,14.8,36.09
2021-01-29,0.0,14.31,34.35
2021-01-30,0.0,12.92,37.52
2021-01-31,0.0,13.93,33.58
2021-02-01,0.0,15.14,32.15
2021-02-02,0.0,16.84,31.43
2021-02-03,0.0,19.23,28.84
2021-02-04,0.53,20.23,31.04
2021-02-05,0.91,18.12,50.86
2021-02-06,0.1,16.74,44.59
2021-02-07,0.02,15.95,43.08
2021-02-08,0.0,16.67,39.22
2021-02-09,0.0,18.71,36.7
2021-02-10,0.0,20.66,32.43
2021-02-11,0.0,19.91,32.2
2021-02-12,0.0,19.69,33.19
2021-02-13,0.0,19.54,34.41
2021-02-14,0.0,19.79,31.03
2021-02-15,0.0,20.28,30.98
2021-02-16,0.0,21.27,32.21
2021-02-17,0.0,20.83,29.3
2021-02-18,0.02,21.64,23.87
2021-02-19,0.06,21.41,27.45
2021-02-20,0.0,20.93,28.3
2021-02-21,0.0,20.45,33.44
2021-02-22,0.0,21.22,31.77
2021-02-23,0.0,22.77,26.94
2021-02-24,0.0,24.07,22.67
2021-02-25,0.0,24.1,22.64
2021-02-26,0.0,24.88,25.22
2021-02-27,0.0,25.63,28.47
2021-02-28,0.0,26.46,27.68
2021-03-01,0.0,25.29,17.86
2021-03-02,0.0,21.87,19.15
2021-03-03,0.0,22.88,19.04
2021-03-04,0.0,25.36,16.32
2021-03-05,0.0,25.32,15.59
2021-03-06,0.0,24.63,17.01
2021-03-07,0.0,26.65,14.29
2021-03-08,0.57,25.72,22.93
2021-03-09,0.06,27.92,22.04
2021-03-10,0.01,27.89,22.5
2021-03-11,0.0,28.24,23.42
2021-03-12,0.0,26.76,25.12
2021-03-13,0.73,25.97,32.6
2021-03-14,0.0,24.78,28.98
2021-03-15,0.0,25.51,22.75
2021-03-16,0.0,26.95,23.61
2021-03-17,0.0,27.08,23.56
2021-03-18,0.0,28.16,20.42
2021-03-19,0.0,28.05,22.25
2021-03-20,0.0,27.32,21.99
2021-03-21,0.0,27.56,19.62
2021-03-22,0.0,28.86,17.88
2021-03-23,0.01,29.93,20.08
2021-03-24,0.12,28.02,23.46
2021-03-25,0.04,26.68,20.28
2021-03-26,0.0,25.45,20.75
2021-03-27,0.0,27.34,20.0
2021-03-28,0.0,29.23,20.08
2021-03-29,0.0,30.61,19.62
2021-03-30,0.0,31.46,15.42
2021-03-31,0.0,29.86,11.02
2021-04-01,0.0,26.74,6.76
2021-04-02,0.0,26.09,7.69
2021-04-03,0.0,26.74,7.19
2021-04-04,0.0,27.61,7.75
2021-04-05,0.0,30.0,8.39
2021-04-06,0.0,30.79,10.98
2021-04-07,0.03,32.72,13.01
2021-04-08,0.0,31.5,14.32
2021-04-09,0.0,30.3,9.26
2021-04-10,0.0,29.47,9.3
2021-04-11,0.0,29.66,11.81
2021-04-12,0.0,31.04,13.31
2021-04-13,0.0,31.9,16.73
2021-04-14,0.0,32.61,15.91
2021-04-15,0.0,33.07,17.42
2021-04-16,0.0,33.13,16.14
2021-04-17,1.04,30.88,22.39
2021-04-18,0.6,31.37,24.35
2021-04-19,0.49,31.79,18.93
2021-04-20,0.01,32.55,15.99
2021-04-21,8.35,27.25,45.63
2021-04-22,6.35,27.66,44.39
2021-04-23,0.13,29.59,32.44
2021-04-24,0.08,30.7,25.24
2021-04-25,0.06,29.42,23.33
2021-04-26,0.0,30.95,18.85
2021-04-27,0.0,32.78,17.64
2021-04-28,0.0,35.2,17.09
2021-04-29,0.11,33.7,20.07
2021-04-30,0.09,33.84,21.63
2021-05-01,0.36,34.2,21.46
2021-05-02,0.81,32.96,24.32
2021-05-03,5.82,32.03,31.92
2021-05-04,3.99,31.39,33.43
2021-05-05,14.37,29.34,45.75
2021-05-06,0.85,30.76,41.0
2021-05-07,6.09,31.48,41.52
2021-05-08,3.01,31.27,38.8
2021-05-09,6.15,31.26,39.16
2021-05-10,3.92,30.32,45.5
2021-05-11,8.36,30.52,45.25
2021-05-12,20.51,28.62,53.67
2021-05-13,12.14,27.18,53.52
2021-05-14,1.16,29.84,44.22
2021-05-15,0.0,32.11,38.69
2021-05-16,0.0,33.06,32.25
2021-05-17,0.31,33.5,29.24
2021-05-18,1.41,29.08,42.37
2021-05-19,15.76,27.54,62.66
2021-05-20,48.3,26.28,79.72
2021-05-21,5.83,28.72,64.74
2021-05-22,6.95,29.95,51.6
2021-05-23,0.0,30.29,47.08
2021-05-24,0.0,29.61,42.77
