,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.99,46.81
2021-01-02,0.0,17.45,41.0
2021-01-03,0.0,17.58,47.2
2021-01-04,0.02,19.25,50.64
2021-01-05,0.0,20.76,50.51
2021-01-06,0.0,21.04,46.35
2021-01-07,0.0,20.95,44.94
2021-01-08,0.0,19.43,48.97
2021-01-09,0.0,19.46,50.22
2021-01-10,0.0,18.38,60.84
2021-01-11,0.0,16.98,56.99
2021-01-12,0.0,15.41,51.13
2021-01-13,0.0,13.86,44.78
2021-01-14,0.0,13.76,47.01
2021-01-15,0.0,14.75,46.13
2021-01-16,0.0,15.33,42.33
2021-01-17,0.0,15.09,39.33
2021-01-18,0.0,16.91,41.14
2021-01-19,0.0,17.02,47.95
2021-01-20,0.0,15.73,51.15
2021-01-21,0.0,14.01,48.23
2021-01-22,0.0,14.81,43.04
2021-01-23,0.0,15.83,41.45
2021-01-24,0.0,16.29,40.01
2021-01-25,0.0,16.44,38.51
2021-01-26,0.0,15.9,38.46
2021-01-27,0.0,15.04,37.58
2021-01-28,0.0,14.37,39.11
2021-01-29,0.0,15.12,35.81
2021-01-30,0.0,14.22,35.47
2021-01-31,0.0,14.01,34.46
2021-02-01,0.0,14.34,34.14
2021-02-02,0.0,15.45,34.21
2021-02-03,0.0,17.57,32.92
2021-02-04,0.0,18.53,32.69
2021-02-05,0.17,18.76,37.68
2021-02-06,0.07,17.6,45.04
2021-02-07,0.0,16.49,40.95
2021-02-08,0.0,17.03,37.52
2021-02-09,0.0,18.48,33.71
2021-02-10,0.0,18.42,37.97
2021-02-11,0.0,18.94,38.46
2021-02-12,0.0,18.85,38.61
2021-02-13,0.0,19.07,36.76
2021-02-14,0.12,19.23,37.39
2021-02-15,1.58,19.3,37.82
2021-02-16,1.1,19.88,36.66
2021-02-17,0.51,19.96,37.17
2021-02-18,0.4,20.45,37.99
2021-02-19,0.1,20.64,38.94
2021-02-20,0.0,20.55,34.79
2021-02-21,0.0,20.9,31.56
2021-02-22,0.0,21.18,33.41
2021-02-23,0.0,21.8,34.84
2021-02-24,0.0,22.22,32.62
2021-02-25,0.0,22.17,28.44
2021-02-26,0.0,23.94,25.79
2021-02-27,0.14,23.63,29.59
2021-02-28,0.0,24.39,31.13
2021-03-01,0.28,24.59,24.15
2021-03-02,0.01,21.53,20.4
2021-03-03,0.0,21.91,22.28
2021-03-04,0.0,22.07,25.18
2021-03-05,0.09,23.69,20.78
2021-03-06,0.68,23.24,23.74
2021-03-07,0.09,24.06,22.27
2021-03-08,0.04,23.25,25.85
2021-03-09,1.62,24.49,26.42
2021-03-10,7.47,24.39,35.96
2021-03-11,0.51,25.51,32.55
2021-03-12,0.12,25.72,27.13
2021-03-13,2.94,24.53,33.49
2021-03-14,0.31,23.28,41.57
2021-03-15,0.0,24.31,29.79
2021-03-16,0.79,25.05,26.78
2021-03-17,0.03,25.82,26.07
2021-03-18,0.7,25.63,28.65
2021-03-19,0.55,27.47,25.64
2021-03-20,0.14,27.12,26.19
2021-03-21,0.0,26.45,24.43
2021-03-22,0.0,27.26,21.57
2021-03-23,0.0,28.65,20.72
2021-03-24,0.0,28.34,20.57
2021-03-25,0.0,26.2,18.48
2021-03-26,0.0,25.65,18.69
2021-03-27,0.0,26.58,18.78
2021-03-28,0.0,27.83,21.27
2021-03-29,0.11,28.86,23.29
2021-03-30,0.03,29.35,22.41
2021-03-31,2.14,29.0,18.25
2021-04-01,3.58,26.01,17.17
2021-04-02,0.12,26.84,13.28
2021-04-03,0.0,25.57,12.33
2021-04-04,0.0,26.08,10.79
2021-04-05,0.0,27.16,10.77
2021-04-06,0.0,28.42,12.96
2021-04-07,0.0,30.63,14.32
2021-04-08,0.0,30.35,15.4
2021-04-09,0.01,29.74,13.49
2021-04-10,0.1,29.72,10.32
2021-04-11,0.0,29.35,8.51
2021-04-12,0.0,29.84,10.76
2021-04-13,0.06,30.83,15.22
2021-04-14,0.38,31.67,17.59
2021-04-15,0.21,31.54,17.81
2021-04-16,8.26,30.71,27.33
2021-04-17,2.39,29.63,32.91
2021-04-18,3.41,29.0,29.35
2021-04-19,0.71,28.43,27.65
2021-04-20,0.02,30.22,21.01
2021-04-21,5.49,29.07,29.93
2021-04-22,7.98,27.44,43.94
2021-04-23,0.98,28.47,34.49
2021-04-24,0.0,30.51,26.94
2021-04-25,0.0,30.49,20.68
2021-04-26,0.0,30.21,17.92
2021-04-27,0.0,30.93,19.66
2021-04-28,0.04,31.59,21.21
2021-04-29,0.75,31.31,27.73
2021-04-30,2.05,31.33,31.82
2021-05-01,2.65,30.14,37.85
2021-05-02,4.33,30.27,37.88
2021-05-03,1.19,29.95,33.88
2021-05-04,2.23,29.0,39.36
2021-05-05,15.85,26.23,56.0
2021-05-06,13.31,27.91,52.23
2021-05-07,7.79,28.83,51.97
2021-05-08,2.28,29.18,44.58
2021-05-09,2.46,29.03,42.33
2021-05-10,2.8,28.84,43.84
2021-05-11,5.58,29.77,40.8
2021-05-12,16.95,26.47,54.49
2021-05-13,7.91,26.81,51.73
2021-05-14,0.28,28.4,45.35
2021-05-15,0.22,29.86,41.28
2021-05-16,0.63,30.92,38.03
2021-05-17,0.34,31.53,35.43
2021-05-18,0.66,31.2,33.43
2021-05-19,15.89,27.25,58.02
2021-05-20,32.99,25.31,77.13
2021-05-21,2.52,27.78,70.0
2021-05-22,0.13,29.51,57.59
2021-05-23,0.02,29.98,48.78
2021-05-24,0.01,31.25,44.72
2021-05-25,0.61,31.71,45.45
2021-05-26,3.6,29.31,63.31
2021-05-27,84.11,25.99,84.78
2021-05-28,57.3,26.78,83.96
2021-05-29,38.87,27.03,79.74
2021-05-30,6.14,27.99,80.15
2021-05-31,10.22,28.59,76.97
2021-06-01,6.2,29.43,66.07
2021-06-02,0.56,27.65,69.61
2021-06-03,0.0,28.85,66.03
2021-06-04,3.72,29.41,70.43
2021-06-05,5.61,29.68,70.13
2021-06-06,7.29,28.52,78.19
2021-06-07,4.33,29.4,72.87
2021-06-08,5.21,29.78,68.44
2021-06-09,6.37,28.97,74.01
2021-06-10,16.3,27.61,82.1
2021-06-11,4.38,28.11,81.09
2021-06-12,22.1,28.02,79.49
2021-06-13,13.27,26.64,87.76
2021-06-14,37.72,27.66,85.42
2021-06-15,91.56,26.29,92.35
2021-06-16,21.58,27.31,88.12
2021-06-17,2.68,27.67,86.86
2021-06-18,4.85,27.11,85.65
2021-06-19,10.7,26.75,87.3
2021-06-20,8.78,26.25,89.86
2021-06-21,5.88,26.65,90.27
2021-06-22,8.77,27.55,89.44
2021-06-23,29.14,27.56,91.86
2021-06-24,18.45,27.44,88.85
2021-06-25,26.32,27.96,82.86
2021-06-26,22.95,26.57,90.3
2021-06-27,6.13,26.96,87.68
2021-06-28,21.82,27.66,87.22
2021-06-29,12.45,27.01,92.97
2021-06-30,41.9,27.07,90.81
2021-07-01,43.37,27.81,86.79
2021-07-02,40.44,27.8,90.94
2021-07-03,54.44,27.83,89.22
2021-07-04,38.47,27.48,85.04
2021-07-05,19.87,27.73,86.02
2021-07-06,6.85,27.94,87.39
2021-07-07,8.44,27.18,91.91
2021-07-08,23.27,27.48,90.15
2021-07-09,6.1,27.55,90.08
2021-07-10,11.67,27.2,91.09
2021-07-11,2.07,27.27,87.56
2021-07-12,17.89,27.53,87.69
2021-07-13,6.82,28.53,84.95
2021-07-14,7.76,27.33,90.05
2021-07-15,1.53,27.69,87.23
2021-07-16,14.49,27.21,86.53
2021-07-17,38.36,25.9,92.64
2021-07-18,14.14,27.57,88.26
2021-07-19,46.57,27.72,89.39
2021-07-20,16.29,27.17,91.69
2021-07-21,31.54,27.17,88.82
2021-07-22,24.28,27.59,88.38
2021-07-23,6.94,28.97,85.66
2021-07-24,4.47,28.69,84.58
2021-07-25,7.85,28.78,85.39
2021-07-26,10.96,28.32,86.42
2021-07-27,6.16,28.02,88.44
2021-07-28,21.03,28.17,88.53
2021-07-29,15.22,27.84,88.13
2021-07-30,12.17,28.54,83.57
2021-07-31,5.75,27.45,88.2
2021-08-01,2.47,27.59,89.15
2021-08-02,7.41,27.51,89.44
2021-08-03,23.11,28.34,83.95
2021-08-04,10.94,26.46,91.51
2021-08-05,3.33,27.94,85.17
2021-08-06,4.43,29.13,80.46
2021-08-07,7.99,28.4,86.07
2021-08-08,24.15,27.62,89.09
2021-08-09,12.71,27.92,89.68
2021-08-10,5.93,27.95,89.09
2021-08-11,7.47,27.68,91.2
2021-08-12,20.08,27.05,93.08
2021-08-13,65.15,27.4,91.86
2021-08-14,24.89,27.12,93.28
2021-08-15,37.49,27.54,89.84
2021-08-16,9.27,28.17,86.29
2021-08-17,16.59,27.78,88.28
2021-08-18,12.94,27.2,87.15
2021-08-19,15.33,27.16,89.38
2021-08-20,5.88,26.57,89.67
2021-08-21,5.21,26.7,89.39
2021-08-22,28.18,27.11,87.62
2021-08-23,54.52,26.7,94.48
2021-08-24,67.0,27.08,93.73
2021-08-25,26.15,27.11,93.53
2021-08-26,44.33,26.99,94.17
2021-08-27,55.12,26.29,95.3
2021-08-28,10.72,26.74,89.31
2021-08-29,48.18,25.85,92.66
2021-08-30,16.96,25.53,91.26
2021-08-31,8.81,26.05,92.01
