,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,16.51,32.91
2021-01-02,0.03,16.6,31.0
2021-01-03,5.38,18.48,42.8
2021-01-04,0.15,19.78,46.88
2021-01-05,0.02,19.71,41.35
2021-01-06,0.05,19.03,47.43
2021-01-07,0.0,17.4,44.76
2021-01-08,0.0,17.0,33.38
2021-01-09,0.0,17.88,39.55
2021-01-10,0.0,17.47,41.78
2021-01-11,0.0,14.11,43.95
2021-01-12,0.0,12.77,44.62
2021-01-13,0.0,12.6,39.98
2021-01-14,0.0,12.21,42.93
2021-01-15,0.0,13.76,39.63
2021-01-16,0.0,14.04,37.35
2021-01-17,0.0,14.39,31.67
2021-01-18,0.0,15.75,34.39
2021-01-19,0.0,15.06,42.99
2021-01-20,0.0,13.96,48.96
2021-01-21,0.0,12.91,39.9
2021-01-22,0.0,13.59,36.5
2021-01-23,0.0,14.07,33.64
2021-01-24,0.0,14.29,36.34
2021-01-25,0.0,13.23,38.44
2021-01-26,0.0,12.16,39.25
2021-01-27,0.0,12.59,35.71
2021-01-28,0.0,13.3,32.49
2021-01-29,0.0,12.65,36.17
2021-01-30,0.0,12.19,34.7
2021-01-31,0.0,12.36,32.88
2021-02-01,0.0,12.65,33.99
2021-02-02,0.0,14.15,32.73
2021-02-03,0.0,15.34,32.64
2021-02-04,0.88,17.11,32.46
2021-02-05,0.33,13.7,54.36
2021-02-06,0.18,12.93,51.9
2021-02-07,0.0,13.96,40.37
2021-02-08,0.0,14.64,36.93
2021-02-09,0.0,16.75,34.87
2021-02-10,0.0,16.6,39.65
2021-02-11,0.0,16.68,36.06
2021-02-12,0.0,17.03,35.64
2021-02-13,0.0,16.47,38.89
2021-02-14,0.0,16.85,39.28
2021-02-15,0.07,16.84,37.9
2021-02-16,0.05,17.77,34.41
2021-02-17,0.02,17.37,30.06
2021-02-18,0.03,16.51,37.19
2021-02-19,0.0,17.56,37.68
2021-02-20,0.0,17.77,33.09
2021-02-21,0.0,17.43,36.5
2021-02-22,0.0,18.5,37.71
2021-02-23,0.0,19.85,32.99
2021-02-24,0.0,20.09,29.29
2021-02-25,0.0,20.14,27.37
2021-02-26,0.0,20.58,28.69
2021-02-27,0.01,21.15,32.36
2021-02-28,0.0,21.65,32.63
2021-03-01,0.01,20.52,22.73
2021-03-02,0.0,18.15,20.23
2021-03-03,0.0,20.14,20.91
2021-03-04,0.0,20.28,21.46
2021-03-05,0.0,20.76,19.27
2021-03-06,0.0,20.43,21.48
2021-03-07,0.0,22.19,20.81
2021-03-08,0.97,22.16,26.68
2021-03-09,0.0,22.62,25.39
2021-03-10,0.39,22.57,28.46
2021-03-11,0.0,22.78,28.25
2021-03-12,0.01,23.32,22.69
2021-03-13,1.71,22.31,32.72
2021-03-14,0.0,20.65,35.67
2021-03-15,0.0,21.35,27.08
2021-03-16,0.03,22.14,25.85
2021-03-17,0.0,23.01,24.58
2021-03-18,0.02,23.42,24.23
2021-03-19,0.02,24.42,23.51
2021-03-20,0.01,23.5,24.93
2021-03-21,0.0,23.07,23.61
2021-03-22,0.0,23.83,23.6
