,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,0.54,20.02
2021-01-02,0.06,0.34,26.67
2021-01-03,6.04,0.45,65.71
2021-01-04,3.05,-0.58,70.76
2021-01-05,2.59,-1.07,81.34
2021-01-06,4.56,-1.45,89.06
2021-01-07,0.0,-2.99,40.7
2021-01-08,0.0,-0.63,29.13
2021-01-09,0.0,-0.73,45.04
2021-01-10,0.0,-0.09,23.33
2021-01-11,0.0,0.25,22.3
2021-01-12,0.0,0.65,25.29
2021-01-13,0.0,2.51,25.3
2021-01-14,0.0,4.0,25.23
2021-01-15,0.0,3.99,29.0
2021-01-16,0.0,1.79,29.29
2021-01-17,0.0,1.74,30.44
2021-01-18,0.0,-0.23,34.22
2021-01-19,0.0,-1.97,65.97
2021-01-20,0.0,-2.14,44.75
2021-01-21,0.0,-0.75,28.12
2021-01-22,0.0,2.57,25.92
2021-01-23,0.0,-0.84,39.71
2021-01-24,0.0,-3.49,43.69
2021-01-25,0.0,-4.69,34.47
2021-01-26,0.0,-3.66,23.82
2021-01-27,0.0,-2.99,24.25
2021-01-28,0.0,-3.24,28.55
2021-01-29,0.0,-4.92,42.66
2021-01-30,0.0,-4.51,40.38
2021-01-31,0.0,-2.33,35.48
2021-02-01,0.0,-1.84,41.93
2021-02-02,0.0,-2.19,36.53
2021-02-03,0.05,-2.87,43.81
2021-02-04,2.4,-3.1,74.45
2021-02-05,0.46,-4.57,72.72
2021-02-06,0.66,-4.0,53.85
2021-02-07,0.02,-0.75,31.45
2021-02-08,0.0,1.67,30.98
2021-02-09,0.0,2.65,34.81
2021-02-10,0.0,1.1,47.41
2021-02-11,0.0,0.74,41.09
2021-02-12,0.0,0.92,46.16
2021-02-13,0.0,1.84,43.95
2021-02-14,0.0,0.74,50.75
2021-02-15,0.0,-0.28,52.1
2021-02-16,0.01,-0.95,52.03
2021-02-17,0.0,-1.12,52.46
2021-02-18,0.0,-1.62,66.71
2021-02-19,0.0,0.02,50.63
2021-02-20,0.0,2.14,38.27
2021-02-21,0.0,3.91,47.47
2021-02-22,0.0,4.78,43.09
2021-02-23,0.0,4.08,46.8
2021-02-24,0.0,2.98,41.56
2021-02-25,0.0,2.74,37.29
2021-02-26,0.08,3.91,37.64
2021-02-27,0.96,2.4,67.55
2021-02-28,0.0,1.58,44.65
2021-03-01,0.0,0.72,31.08
2021-03-02,0.0,2.23,31.59
2021-03-03,0.0,2.76,40.46
2021-03-04,0.0,1.57,42.04
2021-03-05,0.0,1.92,39.69
2021-03-06,0.0,3.04,37.41
2021-03-07,0.57,1.57,66.03
2021-03-08,3.34,1.4,79.89
2021-03-09,0.01,2.46,54.82
2021-03-10,0.0,2.45,54.87
2021-03-11,0.02,2.78,56.17
2021-03-12,0.0,3.01,53.22
2021-03-13,0.02,3.86,57.17
2021-03-14,0.0,3.87,42.48
2021-03-15,0.0,4.02,41.66
2021-03-16,0.0,3.6,47.02
2021-03-17,0.0,3.84,49.45
2021-03-18,0.0,3.76,45.13
2021-03-19,0.0,3.73,44.77
2021-03-20,0.01,4.11,48.12
2021-03-21,0.0,4.85,51.19
2021-03-22,0.67,4.34,58.91
2021-03-23,0.07,3.95,55.55
2021-03-24,0.72,2.86,58.83
2021-03-25,0.14,3.06,46.8
2021-03-26,0.02,5.82,29.04
2021-03-27,0.0,6.85,37.56
2021-03-28,0.0,4.79,61.24
2021-03-29,0.0,5.44,64.0
2021-03-30,0.0,6.06,40.42
2021-03-31,0.0,5.56,35.48
2021-04-01,0.0,4.12,21.42
2021-04-02,0.0,2.54,23.34
2021-04-03,0.0,2.57,20.03
2021-04-04,0.0,4.88,23.01
2021-04-05,0.0,5.65,41.76
2021-04-06,0.06,5.76,57.59
2021-04-07,0.54,5.59,56.13
2021-04-08,0.02,5.71,42.83
2021-04-09,0.0,5.17,30.22
2021-04-10,0.0,6.11,23.69
2021-04-11,0.0,6.13,29.73
2021-04-12,0.0,5.61,46.39
2021-04-13,0.0,7.08,42.19
2021-04-14,0.0,7.48,45.48
2021-04-15,0.0,5.52,66.95
2021-04-16,0.04,7.26,51.45
2021-04-17,4.4,4.71,71.43
2021-04-18,3.91,4.22,63.44
2021-04-19,0.04,5.3,53.56
2021-04-20,0.23,6.03,46.02
2021-04-21,10.95,4.62,78.47
2021-04-22,17.29,1.04,86.52
2021-04-23,4.21,1.39,70.67
2021-04-24,3.55,3.2,74.16
2021-04-25,0.02,5.91,51.03
2021-04-26,0.0,7.22,43.32
2021-04-27,0.0,7.62,56.61
2021-04-28,0.05,7.9,64.09
2021-04-29,2.22,6.94,71.68
2021-04-30,0.56,7.41,69.08
2021-05-01,0.22,8.34,65.9
2021-05-02,2.68,7.52,72.97
2021-05-03,1.76,7.49,75.44
2021-05-04,8.56,7.94,72.86
2021-05-05,9.18,6.33,80.79
2021-05-06,2.2,7.12,78.46
2021-05-07,3.06,7.52,73.25
2021-05-08,1.06,6.52,79.05
2021-05-09,0.3,6.32,82.19
2021-05-10,1.01,6.89,82.87
2021-05-11,2.51,7.23,80.11
2021-05-12,6.43,6.47,82.14
2021-05-13,9.33,5.43,87.28
2021-05-14,0.8,6.47,77.79
2021-05-15,0.03,7.64,70.79
2021-05-16,0.0,9.18,62.52
