,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,10.24,39.32
2021-01-02,0.0,10.59,35.56
2021-01-03,0.0,11.69,38.79
2021-01-04,0.01,12.17,49.73
2021-01-05,0.0,12.31,48.08
2021-01-06,0.0,11.38,49.32
2021-01-07,0.0,11.24,36.79
2021-01-08,0.0,11.02,37.8
2021-01-09,0.0,11.56,39.77
2021-01-10,0.0,11.44,45.22
2021-01-11,0.0,10.34,45.72
2021-01-12,0.0,8.32,53.71
2021-01-13,0.0,7.75,44.54
2021-01-14,0.0,8.1,43.15
2021-01-15,0.0,9.3,42.87
2021-01-16,0.0,8.83,42.49
2021-01-17,0.0,8.5,38.5
2021-01-18,0.0,9.89,44.53
2021-01-19,0.0,8.22,58.93
2021-01-20,0.0,7.3,65.0
2021-01-21,0.0,7.7,47.25
2021-01-22,0.0,8.03,40.05
2021-01-23,0.0,8.51,43.14
2021-01-24,0.0,7.73,41.59
2021-01-25,0.0,7.29,36.68
2021-01-26,0.0,7.42,36.21
2021-01-27,0.0,7.69,31.87
2021-01-28,0.0,7.98,27.67
2021-01-29,0.0,6.4,33.65
2021-01-30,0.0,5.15,37.8
2021-01-31,0.0,6.02,36.66
2021-02-01,0.0,5.94,38.8
2021-02-02,0.0,7.36,36.59
2021-02-03,0.0,7.99,39.57
2021-02-04,0.0,8.58,35.8
2021-02-05,0.19,8.29,47.14
2021-02-06,0.28,6.37,61.75
2021-02-07,0.0,7.64,43.83
2021-02-08,0.04,10.23,29.42
2021-02-09,0.0,10.77,33.82
2021-02-10,0.0,9.66,43.96
2021-02-11,0.0,9.88,45.29
2021-02-12,0.0,10.18,46.76
2021-02-13,0.0,10.22,47.88
2021-02-14,0.35,9.74,51.19
2021-02-15,1.67,9.24,52.15
2021-02-16,1.08,9.2,50.71
2021-02-17,0.46,9.18,48.57
2021-02-18,0.33,8.7,57.39
2021-02-19,0.24,9.3,56.56
2021-02-20,0.0,10.67,44.45
2021-02-21,0.0,11.64,39.72
2021-02-22,0.0,12.0,42.81
2021-02-23,0.0,11.9,46.6
2021-02-24,0.0,11.84,42.69
2021-02-25,0.0,12.06,35.51
2021-02-26,0.0,12.82,36.61
2021-02-27,0.14,12.46,42.94
2021-02-28,0.0,13.09,42.07
2021-03-01,0.29,13.08,33.31
2021-03-02,0.0,11.35,22.86
2021-03-03,0.0,11.43,29.18
2021-03-04,0.0,11.15,35.99
2021-03-05,0.56,11.9,32.73
2021-03-06,1.6,12.12,34.16
2021-03-07,0.06,12.09,37.0
2021-03-08,0.06,12.16,37.04
2021-03-09,5.94,13.23,38.52
2021-03-10,3.33,12.96,44.27
2021-03-11,0.71,12.94,45.54
2021-03-12,0.06,14.08,35.48
2021-03-13,0.92,13.43,39.53
2021-03-14,0.0,13.14,50.36
2021-03-15,0.05,13.75,40.82
2021-03-16,0.81,13.98,37.58
2021-03-17,0.04,13.76,39.27
2021-03-18,0.94,14.05,41.47
2021-03-19,0.38,15.15,39.43
2021-03-20,0.14,15.54,37.22
2021-03-21,0.0,15.03,40.65
2021-03-22,0.0,15.33,38.57
2021-03-23,0.0,16.36,35.18
2021-03-24,0.0,15.87,34.63
2021-03-25,0.0,14.59,30.64
2021-03-26,0.0,15.55,27.48
2021-03-27,0.0,16.1,27.57
2021-03-28,0.0,15.95,35.07
2021-03-29,0.16,16.0,42.76
2021-03-30,0.37,16.36,39.67
2021-03-31,6.03,16.86,35.0
2021-04-01,3.99,14.38,32.42
2021-04-02,0.31,13.57,25.74
2021-04-03,0.0,13.07,22.79
2021-04-04,0.0,13.98,20.46
2021-04-05,0.0,15.73,17.98
2021-04-06,0.0,16.4,22.02
2021-04-07,0.0,17.35,27.81
2021-04-08,0.0,17.31,29.08
2021-04-09,0.14,16.85,23.75
2021-04-10,0.14,16.96,20.27
2021-04-11,0.09,17.76,15.09
2021-04-12,0.0,17.44,18.29
2021-04-13,0.19,17.42,28.0
2021-04-14,0.37,18.72,28.55
2021-04-15,0.22,18.17,31.8
2021-04-16,11.26,17.08,46.28
2021-04-17,2.96,16.03,49.92
2021-04-18,3.31,16.32,43.86
2021-04-19,1.99,16.25,43.72
2021-04-20,0.02,17.41,37.54
2021-04-21,2.08,16.7,44.32
2021-04-22,7.7,15.33,59.24
2021-04-23,0.05,16.21,47.06
2021-04-24,0.0,16.95,41.37
2021-04-25,0.0,18.37,30.24
2021-04-26,0.0,18.45,24.29
2021-04-27,0.0,18.9,30.87
2021-04-28,0.14,19.18,35.29
2021-04-29,2.08,18.48,43.21
2021-04-30,1.94,18.2,51.56
2021-05-01,3.43,16.77,60.4
2021-05-02,5.97,17.15,60.79
2021-05-03,0.46,17.35,53.18
2021-05-04,2.53,15.83,64.22
2021-05-05,8.37,15.27,72.31
2021-05-06,7.31,15.7,72.65
2021-05-07,7.25,16.69,70.04
2021-05-08,0.1,17.17,60.26
2021-05-09,0.96,16.44,61.59
2021-05-10,2.89,16.77,61.33
2021-05-11,5.73,16.14,67.17
2021-05-12,11.82,14.33,75.34
2021-05-13,4.71,14.95,68.99
2021-05-14,0.16,15.98,66.86
2021-05-15,0.44,18.28,57.16
2021-05-16,0.7,19.66,48.38
2021-05-17,0.19,20.16,47.3
2021-05-18,0.61,19.67,46.53
2021-05-19,3.86,18.46,60.53
2021-05-20,15.26,17.41,79.84
2021-05-21,1.75,19.4,70.31
2021-05-22,0.07,19.86,60.83
2021-05-23,0.09,20.2,58.6
2021-05-24,0.07,20.9,53.42
2021-05-25,1.27,20.8,56.85
2021-05-26,3.93,19.92,70.6
2021-05-27,57.04,18.96,83.94
2021-05-28,25.13,18.79,86.31
2021-05-29,33.23,18.39,82.22
2021-05-30,4.95,18.85,83.39
2021-05-31,5.69,19.25,81.35
2021-06-01,3.6,18.65,84.75
2021-06-02,0.06,18.18,77.37
2021-06-03,0.0,19.17,68.12
2021-06-04,3.92,19.43,78.82
2021-06-05,6.37,20.11,80.98
2021-06-06,7.58,19.78,82.96
2021-06-07,3.1,20.03,83.43
2021-06-08,3.64,20.0,79.86
2021-06-09,6.3,19.88,84.33
2021-06-10,21.06,18.65,89.78
