,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,13.66,54.39
2021-01-02,0.0,13.11,52.67
2021-01-03,0.0,14.23,53.95
2021-01-04,0.0,15.4,58.56
2021-01-05,0.0,15.86,62.68
2021-01-06,0.0,15.72,66.91
2021-01-07,0.0,15.36,66.86
2021-01-08,0.0,14.91,69.57
2021-01-09,0.0,14.41,70.21
2021-01-10,0.0,13.9,77.75
2021-01-11,0.01,14.45,74.72
2021-01-12,0.0,12.63,69.0
2021-01-13,0.0,10.9,63.21
2021-01-14,0.0,11.01,61.85
2021-01-15,0.0,11.79,60.06
2021-01-16,0.02,11.09,57.37
2021-01-17,0.0,12.22,51.94
2021-01-18,0.0,14.0,57.58
2021-01-19,0.25,11.97,78.38
2021-01-20,0.46,11.51,75.39
2021-01-21,0.0,11.54,62.75
2021-01-22,0.0,11.79,51.35
2021-01-23,0.0,11.35,60.38
2021-01-24,0.0,11.06,63.77
2021-01-25,0.0,10.68,61.53
2021-01-26,0.0,11.26,56.38
2021-01-27,0.0,11.5,47.43
2021-01-28,0.0,11.53,42.53
2021-01-29,0.0,11.79,45.44
2021-01-30,0.0,10.67,45.03
2021-01-31,0.0,10.6,43.88
2021-02-01,0.0,10.48,45.06
2021-02-02,0.0,11.92,42.7
2021-02-03,0.0,12.91,46.49
2021-02-04,0.0,13.83,44.58
2021-02-05,0.0,14.17,45.24
2021-02-06,0.54,12.18,65.68
2021-02-07,0.1,12.21,59.47
2021-02-08,0.0,15.14,38.36
2021-02-09,0.0,15.55,38.84
2021-02-10,0.0,14.25,45.95
2021-02-11,0.0,14.61,49.11
2021-02-12,0.0,14.62,53.37
2021-02-13,0.0,14.84,54.36
2021-02-14,0.02,14.87,56.44
2021-02-15,0.03,14.79,51.91
2021-02-16,0.43,14.72,48.04
2021-02-17,0.17,14.68,47.45
2021-02-18,2.01,15.32,51.44
2021-02-19,0.56,15.4,52.2
2021-02-20,0.0,16.05,45.98
2021-02-21,0.0,16.64,41.74
2021-02-22,0.0,17.21,39.47
2021-02-23,0.0,16.92,43.06
2021-02-24,0.06,16.75,46.19
2021-02-25,0.09,16.77,41.29
2021-02-26,0.42,17.36,40.25
2021-02-27,2.14,17.28,42.72
2021-02-28,0.57,18.16,44.88
2021-03-01,0.15,19.27,36.59
2021-03-02,0.01,17.15,29.12
2021-03-03,0.01,16.83,28.02
2021-03-04,0.18,16.83,32.53
2021-03-05,0.65,17.57,33.21
2021-03-06,0.01,18.35,27.83
2021-03-07,0.11,18.05,31.9
2021-03-08,0.2,17.74,35.62
2021-03-09,1.09,18.72,38.1
2021-03-10,3.66,19.08,38.85
2021-03-11,3.03,19.3,40.55
2021-03-12,0.22,20.22,33.47
2021-03-13,0.99,19.77,35.46
2021-03-14,2.02,18.68,47.25
2021-03-15,0.01,18.98,44.75
2021-03-16,0.0,19.67,35.42
2021-03-17,0.0,20.31,33.38
2021-03-18,0.04,20.44,36.48
2021-03-19,0.0,21.52,34.77
2021-03-20,0.0,21.67,33.94
2021-03-21,0.0,21.22,32.6
2021-03-22,0.0,21.86,28.65
2021-03-23,0.03,22.84,27.8
2021-03-24,0.14,23.63,28.24
2021-03-25,0.0,21.52,24.37
2021-03-26,0.0,21.06,24.04
2021-03-27,0.0,22.16,23.95
2021-03-28,0.0,22.57,25.06
2021-03-29,0.1,23.06,24.91
2021-03-30,1.55,22.34,33.29
2021-03-31,3.31,22.89,28.6
2021-04-01,1.55,22.23,20.69
2021-04-02,0.03,21.61,17.07
2021-04-03,0.0,21.6,17.24
2021-04-04,0.0,21.54,16.07
2021-04-05,0.0,21.82,18.31
2021-04-06,0.0,22.88,21.52
2021-04-07,0.05,22.94,29.47
2021-04-08,0.81,23.58,33.42
2021-04-09,0.19,23.08,29.33
2021-04-10,0.1,24.0,20.69
2021-04-11,0.02,24.37,15.62
2021-04-12,0.0,24.54,16.39
2021-04-13,0.0,25.02,19.13
2021-04-14,0.1,25.89,21.74
2021-04-15,0.5,25.06,25.33
2021-04-16,10.85,24.06,35.73
2021-04-17,5.23,21.9,53.21
2021-04-18,1.31,21.55,50.31
2021-04-19,0.66,22.76,36.15
2021-04-20,0.01,23.54,32.92
2021-04-21,2.69,22.96,43.57
2021-04-22,14.37,20.42,65.15
2021-04-23,0.78,22.23,47.17
2021-04-24,0.02,24.02,37.67
2021-04-25,0.0,24.75,31.38
2021-04-26,0.03,24.49,28.19
2021-04-27,0.04,24.93,30.39
2021-04-28,1.43,25.1,34.48
2021-04-29,5.01,25.01,44.85
2021-04-30,1.68,24.84,49.11
2021-05-01,5.77,23.06,62.4
2021-05-02,1.69,22.63,65.81
2021-05-03,13.62,23.21,57.03
