,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.02,51.31
2021-01-02,0.0,16.29,52.7
2021-01-03,0.0,17.09,60.5
2021-01-04,0.0,18.92,61.0
2021-01-05,0.0,19.53,64.46
2021-01-06,0.0,20.23,63.42
2021-01-07,0.0,20.32,61.35
2021-01-08,0.0,19.73,62.32
2021-01-09,0.0,20.04,60.03
2021-01-10,0.0,19.87,68.43
2021-01-11,0.0,18.55,64.77
2021-01-12,0.0,15.3,58.59
2021-01-13,0.0,13.46,53.04
2021-01-14,0.0,14.03,50.12
2021-01-15,0.0,14.45,51.41
2021-01-16,0.0,14.4,50.31
2021-01-17,0.0,15.04,47.62
2021-01-18,0.0,16.54,51.79
2021-01-19,0.0,16.82,59.88
2021-01-20,0.0,16.3,58.53
2021-01-21,0.0,14.56,52.95
2021-01-22,0.0,15.37,47.09
2021-01-23,0.0,15.39,50.38
2021-01-24,0.0,16.23,49.3
2021-01-25,0.0,16.42,50.38
2021-01-26,0.0,15.68,53.57
2021-01-27,0.0,14.14,47.21
2021-01-28,0.0,13.94,46.67
2021-01-29,0.0,15.11,43.07
2021-01-30,0.0,13.25,46.94
2021-01-31,0.0,13.61,44.74
2021-02-01,0.0,14.53,40.84
2021-02-02,0.0,15.82,40.28
2021-02-03,0.0,17.94,38.78
2021-02-04,0.0,18.91,39.09
2021-02-05,0.05,19.42,41.38
2021-02-06,0.21,17.9,54.03
2021-02-07,0.02,16.76,51.71
2021-02-08,0.0,17.03,47.43
2021-02-09,0.0,17.43,45.39
2021-02-10,0.0,18.89,41.82
2021-02-11,0.0,19.31,43.77
2021-02-12,0.0,19.31,46.28
2021-02-13,0.0,19.56,44.64
2021-02-14,0.0,19.37,42.49
2021-02-15,0.0,19.48,41.06
2021-02-16,0.0,19.59,40.26
2021-02-17,0.01,21.1,41.87
2021-02-18,0.22,20.92,47.31
2021-02-19,0.52,21.65,43.51
2021-02-20,0.0,21.03,39.5
2021-02-21,0.0,20.3,38.74
2021-02-22,0.0,20.6,39.03
2021-02-23,0.0,22.29,37.7
2021-02-24,0.0,22.89,37.23
2021-02-25,0.0,22.47,34.79
2021-02-26,0.0,24.04,30.72
2021-02-27,0.02,23.66,34.95
2021-02-28,0.0,24.6,36.89
2021-03-01,0.0,25.29,30.2
2021-03-02,0.0,22.17,25.91
2021-03-03,0.0,22.53,26.06
2021-03-04,0.0,23.71,26.2
2021-03-05,0.0,23.7,28.54
2021-03-06,0.18,23.48,28.37
2021-03-07,0.01,24.49,24.82
2021-03-08,0.0,24.19,29.68
2021-03-09,0.0,24.86,31.98
2021-03-10,0.04,26.43,28.52
2021-03-11,0.4,27.04,30.09
2021-03-12,0.02,27.36,27.28
2021-03-13,0.04,25.85,31.4
2021-03-14,0.08,25.74,38.33
2021-03-15,0.0,25.41,31.22
2021-03-16,0.0,25.93,26.51
2021-03-17,0.0,26.06,26.08
2021-03-18,0.0,27.27,24.83
2021-03-19,0.0,28.03,24.75
2021-03-20,0.0,28.76,27.46
2021-03-21,0.0,28.21,22.07
2021-03-22,0.0,28.66,18.96
2021-03-23,0.0,30.65,18.0
2021-03-24,0.0,31.49,19.23
2021-03-25,0.0,29.47,14.83
2021-03-26,0.0,27.93,13.99
2021-03-27,0.0,28.06,17.0
2021-03-28,0.0,29.99,16.56
2021-03-29,0.0,30.86,18.22
2021-03-30,0.23,30.33,22.4
2021-03-31,1.38,30.34,17.85
2021-04-01,0.87,28.07,12.67
2021-04-02,0.01,27.8,11.23
2021-04-03,0.0,28.64,8.81
2021-04-04,0.0,28.0,8.01
2021-04-05,0.0,28.39,9.62
2021-04-06,0.0,29.36,14.95
2021-04-07,0.0,30.98,20.37
2021-04-08,0.07,31.12,21.22
2021-04-09,0.02,31.22,14.77
2021-04-10,0.02,31.64,11.99
2021-04-11,0.0,31.88,8.53
2021-04-12,0.0,31.09,9.24
2021-04-13,0.0,32.08,14.22
2021-04-14,0.0,33.42,14.23
2021-04-15,0.0,32.92,15.49
2021-04-16,3.44,33.31,19.27
2021-04-17,1.94,31.24,31.83
2021-04-18,0.51,30.56,33.64
2021-04-19,0.17,31.36,20.47
2021-04-20,0.0,32.3,15.76
2021-04-21,11.68,29.49,37.85
2021-04-22,6.43,28.15,50.43
2021-04-23,0.47,29.75,35.71
2021-04-24,0.01,31.7,28.71
2021-04-25,0.0,32.39,23.33
2021-04-26,0.0,31.44,20.87
2021-04-27,0.0,32.64,19.7
2021-04-28,0.0,32.57,21.66
2021-04-29,0.31,32.12,33.16
2021-04-30,0.04,32.95,32.13
2021-05-01,1.36,33.02,34.04
2021-05-02,2.2,32.45,40.7
2021-05-03,1.23,31.72,36.22
2021-05-04,4.71,30.43,41.65
2021-05-05,3.27,29.01,52.19
2021-05-06,1.14,29.98,49.92
2021-05-07,7.08,30.08,52.24
2021-05-08,4.84,30.55,48.08
2021-05-09,10.74,29.45,52.79
2021-05-10,7.27,29.8,48.56
2021-05-11,6.54,30.6,43.08
2021-05-12,17.19,28.53,52.22
2021-05-13,5.29,27.48,56.78
2021-05-14,0.1,30.39,44.36
2021-05-15,0.0,32.44,37.02
2021-05-16,0.0,33.28,35.57
2021-05-17,0.02,34.3,33.67
2021-05-18,0.21,33.11,31.04
2021-05-19,4.86,30.49,45.35
2021-05-20,31.3,27.51,71.31
2021-05-21,1.06,29.67,66.56
2021-05-22,0.06,31.77,49.73
