,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,-7.37,24.23
2021-01-02,0.0,-7.94,33.45
2021-01-03,3.27,-6.84,76.44
2021-01-04,9.58,-7.58,89.79
2021-01-05,0.09,-8.01,86.09
2021-01-06,0.08,-8.86,83.47
2021-01-07,0.0,-10.54,41.81
2021-01-08,0.0,-9.09,32.21
2021-01-09,0.0,-8.77,55.24
2021-01-10,0.0,-8.8,40.33
2021-01-11,0.0,-8.36,31.52
2021-01-12,0.0,-7.59,33.04
2021-01-13,0.0,-5.71,33.06
2021-01-14,0.0,-3.75,33.7
2021-01-15,0.0,-2.47,37.69
2021-01-16,0.0,-5.93,37.86
2021-01-17,0.0,-4.58,35.9
2021-01-18,0.0,-7.77,45.51
2021-01-19,0.0,-9.19,70.74
2021-01-20,0.0,-9.49,56.01
2021-01-21,0.0,-8.6,36.78
2021-01-22,0.0,-5.4,33.39
2021-01-23,0.0,-7.76,46.67
2021-01-24,0.0,-11.13,56.6
2021-01-25,0.0,-11.34,30.64
2021-01-26,0.0,-11.42,33.23
2021-01-27,0.0,-11.06,31.26
2021-01-28,0.0,-11.09,32.55
2021-01-29,0.0,-13.06,49.87
2021-01-30,0.0,-12.38,49.01
2021-01-31,0.0,-9.02,42.44
2021-02-01,0.0,-8.53,39.52
2021-02-02,0.0,-8.44,36.82
2021-02-03,0.0,-10.78,41.74
2021-02-04,0.04,-11.91,72.86
2021-02-05,0.47,-12.14,88.98
2021-02-06,1.26,-13.42,68.54
2021-02-07,0.0,-10.44,37.14
2021-02-08,0.0,-6.58,36.24
2021-02-09,0.0,-4.7,45.23
2021-02-10,0.0,-7.6,77.46
2021-02-11,0.0,-7.61,64.34
2021-02-12,0.0,-5.6,45.28
2021-02-13,0.0,-4.97,51.98
2021-02-14,0.06,-6.39,55.23
2021-02-15,2.38,-8.83,71.99
2021-02-16,0.88,-10.45,66.89
2021-02-17,0.53,-11.14,68.92
2021-02-18,0.02,-10.45,82.98
2021-02-19,0.0,-8.95,71.11
2021-02-20,0.0,-5.8,47.83
2021-02-21,0.0,-3.01,57.26
2021-02-22,0.0,-2.91,61.83
2021-02-23,0.0,-3.68,66.06
2021-02-24,0.0,-5.64,62.56
2021-02-25,0.0,-5.92,59.93
2021-02-26,0.01,-4.31,56.22
2021-02-27,0.15,-5.47,73.73
2021-02-28,0.0,-6.21,52.07
2021-03-01,0.29,-7.06,40.4
2021-03-02,0.03,-5.68,36.97
2021-03-03,0.0,-5.41,56.07
2021-03-04,0.0,-7.22,69.29
2021-03-05,0.0,-7.18,70.97
2021-03-06,0.0,-6.1,63.96
2021-03-07,0.38,-5.29,73.4
2021-03-08,5.3,-5.9,86.05
2021-03-09,0.94,-5.54,73.96
2021-03-10,8.6,-6.48,65.54
2021-03-11,0.74,-7.72,62.12
2021-03-12,0.13,-6.19,55.33
2021-03-13,1.78,-6.28,75.99
2021-03-14,0.0,-6.29,53.07
2021-03-15,0.35,-5.16,56.01
2021-03-16,0.44,-5.11,59.31
2021-03-17,0.16,-5.16,70.66
2021-03-18,0.5,-5.25,65.25
2021-03-19,0.6,-5.45,67.61
2021-03-20,0.21,-5.23,70.41
2021-03-21,0.0,-3.39,75.31
2021-03-22,0.0,-3.53,71.95
2021-03-23,0.35,-4.07,70.65
2021-03-24,1.19,-5.02,70.92
2021-03-25,0.05,-5.65,57.21
2021-03-26,0.0,-3.41,55.66
2021-03-27,0.0,-1.98,60.36
2021-03-28,0.01,-3.29,75.24
2021-03-29,0.08,-2.26,82.06
2021-03-30,0.09,-3.14,69.79
2021-03-31,2.68,-3.29,71.08
2021-04-01,0.68,-5.24,44.77
2021-04-02,0.0,-6.43,51.3
2021-04-03,0.0,-7.43,41.55
2021-04-04,0.0,-5.08,43.9
2021-04-05,0.0,-2.6,51.25
2021-04-06,0.01,-2.34,77.36
2021-04-07,0.35,-2.81,80.05
2021-04-08,0.0,-3.35,58.42
2021-04-09,0.0,-4.0,49.25
2021-04-10,0.0,-3.45,41.38
2021-04-11,0.0,-2.72,40.18
2021-04-12,0.0,-2.93,60.56
2021-04-13,0.0,-2.77,71.21
2021-04-14,0.34,-1.46,64.88
2021-04-15,0.46,-2.42,75.99
2021-04-16,1.05,-2.07,75.91
2021-04-17,7.55,-3.02,82.9
2021-04-18,2.01,-4.34,74.58
2021-04-19,0.03,-3.32,65.74
2021-04-20,0.5,-1.63,57.62
2021-04-21,11.34,-3.44,89.31
2021-04-22,12.07,-5.48,84.61
2021-04-23,0.05,-5.08,63.69
2021-04-24,0.03,-4.67,78.65
