,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,-6.19,35.61
2021-01-02,0.02,-6.78,51.94
2021-01-03,3.27,-5.11,72.68
2021-01-04,7.84,-6.02,89.35
2021-01-05,1.22,-5.94,92.93
2021-01-06,0.85,-6.18,92.51
2021-01-07,0.0,-8.67,61.2
2021-01-08,0.0,-7.76,37.64
2021-01-09,0.0,-7.41,54.4
2021-01-10,0.0,-7.21,35.71
2021-01-11,0.0,-6.43,28.39
2021-01-12,0.0,-5.32,29.68
2021-01-13,0.0,-2.9,25.35
2021-01-14,0.0,-1.41,23.95
2021-01-15,0.0,-1.56,35.29
2021-01-16,0.0,-4.01,32.71
2021-01-17,0.0,-3.28,36.25
2021-01-18,0.0,-6.29,52.43
2021-01-19,0.0,-7.27,65.54
2021-01-20,0.0,-7.91,52.93
2021-01-21,0.0,-6.68,26.94
2021-01-22,0.0,-4.33,33.89
2021-01-23,0.0,-7.3,54.66
2021-01-24,0.0,-9.82,68.89
2021-01-25,0.0,-10.13,56.36
2021-01-26,0.0,-10.18,44.9
2021-01-27,0.0,-9.29,32.31
2021-01-28,0.0,-10.15,39.26
2021-01-29,0.0,-11.32,58.73
2021-01-30,0.0,-10.12,46.79
2021-01-31,0.0,-7.56,40.21
2021-02-01,0.0,-7.1,44.1
2021-02-02,0.0,-7.18,43.06
2021-02-03,0.0,-8.72,55.19
2021-02-04,0.15,-9.3,85.61
2021-02-05,0.64,-9.24,87.97
2021-02-06,1.41,-9.55,61.56
2021-02-07,0.0,-6.75,26.64
2021-02-08,0.0,-4.08,29.74
2021-02-09,0.0,-3.33,41.53
2021-02-10,0.0,-4.43,60.71
2021-02-11,0.0,-4.76,48.05
2021-02-12,0.0,-3.67,50.68
2021-02-13,0.0,-3.09,47.71
2021-02-14,0.0,-4.74,66.7
2021-02-15,0.45,-5.84,66.28
2021-02-16,0.4,-6.54,72.02
2021-02-17,0.13,-7.0,63.6
2021-02-18,0.05,-6.99,62.0
2021-02-19,0.0,-5.3,46.87
2021-02-20,0.0,-2.94,37.32
2021-02-21,0.0,-0.62,48.36
2021-02-22,0.0,-0.57,49.21
2021-02-23,0.0,-2.43,63.51
2021-02-24,0.0,-3.43,59.52
2021-02-25,0.0,-3.47,47.01
2021-02-26,0.02,-2.32,47.83
2021-02-27,0.05,-3.46,76.73
2021-02-28,0.01,-4.2,55.68
2021-03-01,0.01,-5.42,48.46
2021-03-02,0.07,-3.32,36.87
2021-03-03,0.0,-3.04,49.16
2021-03-04,0.0,-4.38,57.83
2021-03-05,0.0,-4.48,55.13
2021-03-06,0.0,-3.09,49.79
2021-03-07,0.25,-3.9,76.27
2021-03-08,6.78,-3.79,86.31
2021-03-09,0.14,-3.71,65.99
2021-03-10,2.21,-4.25,67.06
2021-03-11,0.46,-3.39,69.47
2021-03-12,0.11,-3.1,62.01
2021-03-13,0.32,-2.35,59.18
2021-03-14,0.0,-2.32,45.76
2021-03-15,0.01,-2.08,51.35
2021-03-16,0.19,-2.43,60.42
2021-03-17,0.05,-2.7,66.68
2021-03-18,0.15,-2.77,62.59
2021-03-19,0.2,-2.75,55.23
2021-03-20,0.19,-1.85,56.79
2021-03-21,0.0,-0.26,58.52
2021-03-22,0.05,-1.08,68.87
2021-03-23,0.19,-1.95,70.36
2021-03-24,1.95,-3.09,71.75
2021-03-25,0.48,-2.9,57.86
2021-03-26,0.0,-0.19,32.81
2021-03-27,0.0,0.69,40.83
2021-03-28,0.0,-1.73,73.2
2021-03-29,0.03,-0.63,79.5
2021-03-30,0.0,-0.85,65.42
2021-03-31,0.07,-1.09,57.89
2021-04-01,0.5,-2.82,35.43
2021-04-02,0.0,-4.32,38.46
2021-04-03,0.0,-4.33,31.89
2021-04-04,0.0,-1.14,29.6
2021-04-05,0.0,-0.59,46.13
2021-04-06,0.02,-0.39,64.86
2021-04-07,0.64,-1.03,74.78
2021-04-08,0.03,-0.65,60.66
2021-04-09,0.0,-1.5,44.47
2021-04-10,0.0,-0.56,31.66
2021-04-11,0.0,-0.33,38.81
2021-04-12,0.0,-0.34,59.22
2021-04-13,0.0,1.35,53.31
2021-04-14,0.02,1.3,57.19
2021-04-15,0.03,0.22,74.2
2021-04-16,0.14,0.62,68.49
2021-04-17,6.92,-1.99,80.64
2021-04-18,2.02,-2.08,75.99
2021-04-19,0.05,-0.85,63.23
2021-04-20,0.64,0.44,50.32
2021-04-21,10.75,-2.21,83.17
2021-04-22,16.91,-4.27,89.03
2021-04-23,0.67,-4.71,80.37
2021-04-24,0.58,-2.72,81.08
2021-04-25,0.0,-0.54,47.8
2021-04-26,0.0,0.85,44.77
2021-04-27,0.0,1.08,61.08
2021-04-28,0.01,0.79,77.31
2021-04-29,0.1,0.98,82.59
2021-04-30,0.16,1.83,77.6
2021-05-01,0.54,3.0,70.27
2021-05-02,1.86,2.74,76.96
2021-05-03,1.56,3.22,75.24
2021-05-04,2.83,4.18,72.18
2021-05-05,7.99,2.57,81.0
2021-05-06,1.48,2.89,80.77
2021-05-07,1.16,2.71,77.52
2021-05-08,0.06,1.55,77.58
2021-05-09,0.18,1.67,80.04
2021-05-10,0.86,2.36,80.37
2021-05-11,3.79,3.76,73.65
2021-05-12,6.26,1.86,82.72
2021-05-13,3.26,1.4,81.77
2021-05-14,1.2,2.39,73.87
2021-05-15,0.15,2.98,73.09
2021-05-16,0.03,4.36,68.91
2021-05-17,0.03,4.74,65.52
2021-05-18,0.19,4.81,68.48
2021-05-19,0.96,3.87,82.42
2021-05-20,5.63,4.43,83.01
2021-05-21,2.82,4.79,77.94
2021-05-22,0.18,4.9,60.6
2021-05-23,0.28,4.88,58.3
2021-05-24,0.1,4.38,69.39
2021-05-25,0.13,4.58,67.47
2021-05-26,0.15,5.83,57.82
2021-05-27,0.39,6.37,47.63
2021-05-28,10.0,6.54,61.92
2021-05-29,9.83,6.82,78.54
2021-05-30,2.82,7.22,80.93
2021-05-31,0.51,6.51,77.47
2021-06-01,1.04,5.24,75.72
2021-06-02,0.05,4.92,68.89
2021-06-03,0.07,6.06,70.26
2021-06-04,0.11,6.66,67.53
2021-06-05,0.46,7.32,68.68
2021-06-06,1.0,7.89,75.07
2021-06-07,0.35,7.53,74.92
2021-06-08,0.1,10.73,46.27
2021-06-09,0.64,11.31,45.72
2021-06-10,4.16,10.2,72.55
2021-06-11,2.03,9.96,75.47
2021-06-12,4.18,8.0,74.41
2021-06-13,4.2,9.1,76.04
2021-06-14,10.36,7.76,84.23
2021-06-15,11.18,6.48,84.42
2021-06-16,4.08,7.11,81.3
2021-06-17,11.28,6.69,85.18
2021-06-18,8.5,7.4,85.74
2021-06-19,6.56,7.68,84.79
2021-06-20,6.98,8.57,83.31
2021-06-21,2.3,9.66,82.05
2021-06-22,0.59,9.51,77.29
2021-06-23,3.84,8.81,74.42
2021-06-24,3.6,7.83,74.69
2021-06-25,2.1,7.11,80.6
2021-06-26,1.77,8.09,76.04
2021-06-27,10.51,9.26,79.06
2021-06-28,1.0,10.88,77.39
2021-06-29,0.05,11.91,72.92
2021-06-30,0.36,11.76,77.45
2021-07-01,0.79,10.68,78.97
2021-07-02,1.67,9.79,74.31
2021-07-03,0.79,8.95,71.28
2021-07-04,1.33,8.79,69.28
2021-07-05,0.63,9.89,72.26
2021-07-06,0.15,11.76,72.28
2021-07-07,0.25,12.1,70.74
2021-07-08,2.53,11.04,76.94
2021-07-09,0.5,10.06,81.61
2021-07-10,0.97,11.67,75.87
2021-07-11,0.37,10.42,80.19
2021-07-12,1.63,9.62,81.99
2021-07-13,1.95,9.45,81.8
2021-07-14,0.44,10.6,80.39
2021-07-15,0.47,11.22,81.7
2021-07-16,2.58,12.56,78.64
2021-07-17,1.64,12.98,79.88
2021-07-18,4.32,11.71,85.28
2021-07-19,7.07,11.53,80.9
2021-07-20,6.46,11.24,83.17
2021-07-21,2.83,10.49,83.54
2021-07-22,5.83,10.43,83.63
2021-07-23,9.21,9.19,88.76
2021-07-24,4.91,11.59,81.82
2021-07-25,4.76,12.79,83.23
2021-07-26,13.1,12.88,82.06
2021-07-27,2.55,12.8,68.5
2021-07-28,6.94,11.15,77.38
2021-07-29,9.72,10.95,84.6
2021-07-30,4.27,10.04,85.08
2021-07-31,1.97,10.98,82.57
2021-08-01,0.7,10.29,86.05
2021-08-02,0.02,10.41,81.99
2021-08-03,0.03,11.02,78.42
2021-08-04,0.45,10.89,78.84
2021-08-05,2.28,10.85,84.67
2021-08-06,1.87,10.82,80.0
2021-08-07,1.35,11.15,82.16
2021-08-08,4.22,9.76,87.57
2021-08-09,2.62,10.24,84.23
2021-08-10,3.49,10.38,82.96
2021-08-11,0.76,10.66,83.64
2021-08-12,0.76,11.39,81.39
2021-08-13,1.6,11.57,79.22
2021-08-14,0.99,10.4,82.22
2021-08-15,2.98,9.56,80.73
2021-08-16,4.92,8.65,81.72
2021-08-17,1.0,9.85,80.13
2021-08-18,2.66,10.9,78.14
2021-08-19,3.63,10.54,79.21
2021-08-20,9.24,9.98,87.41
2021-08-21,4.99,9.89,82.41
2021-08-22,3.21,10.65,83.06
2021-08-23,2.21,10.95,82.91
2021-08-24,4.74,9.62,89.25
2021-08-25,2.14,10.91,83.72
2021-08-26,1.44,11.53,83.66
2021-08-27,9.28,11.21,86.3
2021-08-28,4.06,8.89,88.67
2021-08-29,3.53,7.35,86.74
2021-08-30,6.44,7.96,86.75
2021-08-31,4.41,8.19,84.37
2021-09-01,0.64,8.63,82.37
2021-09-02,3.02,8.83,84.93
2021-09-03,0.34,8.6,73.83
2021-09-04,0.31,9.02,81.03
2021-09-05,0.16,10.14,80.88
2021-09-06,1.4,10.29,77.33
2021-09-07,5.81,7.97,84.77
2021-09-08,9.94,7.35,86.67
2021-09-09,1.42,8.56,86.54
2021-09-10,1.96,7.59,85.98
2021-09-11,2.26,7.07,84.23
2021-09-12,2.28,7.14,87.55
2021-09-13,5.92,7.01,86.21
2021-09-14,4.14,7.74,81.76
2021-09-15,1.6,7.7,85.3
2021-09-16,4.3,7.72,86.55
2021-09-17,2.72,8.71,82.68
2021-09-18,0.03,9.98,72.1
2021-09-19,0.08,10.35,77.79
2021-09-20,1.01,9.05,85.13
2021-09-21,1.52,7.55,86.58
2021-09-22,0.78,6.25,87.68
2021-09-23,2.79,6.46,86.65
2021-09-24,2.01,7.09,84.95
2021-09-25,5.85,7.48,83.43
2021-09-26,1.98,7.42,86.3
2021-09-27,1.03,8.65,79.4
2021-09-28,3.38,5.79,88.56
2021-09-29,0.45,6.1,82.61
2021-09-30,0.17,8.17,80.14
2021-10-01,0.75,8.31,86.0
2021-10-02,0.07,6.74,84.13
2021-10-03,0.18,8.08,80.55
2021-10-04,0.33,6.04,77.54
2021-10-05,1.63,5.02,76.38
2021-10-06,0.07,5.96,71.12
2021-10-07,0.91,6.95,71.62
2021-10-08,1.39,6.42,76.12
2021-10-09,0.15,5.17,74.64
2021-10-10,0.53,3.94,60.78
2021-10-11,0.06,3.92,55.74
2021-10-12,0.0,3.86,72.42
2021-10-13,0.0,4.0,71.74
2021-10-14,0.0,3.6,68.39
2021-10-15,0.0,4.72,65.39
2021-10-16,0.16,4.09,53.58
2021-10-17,4.09,5.31,61.07
2021-10-18,28.91,2.42,94.18
2021-10-19,36.0,1.72,97.93
2021-10-20,24.67,1.04,87.46
2021-10-21,5.31,-3.23,70.61
2021-10-22,0.35,-0.48,67.59
2021-10-23,1.68,-1.18,76.83
2021-10-24,1.17,-2.27,80.17
2021-10-25,0.05,-2.32,78.29
2021-10-26,0.0,-2.71,80.53
2021-10-27,0.0,-3.47,79.19
2021-10-28,0.0,-3.56,59.6
2021-10-29,0.0,-3.05,64.9
2021-10-30,0.0,-2.87,72.57
2021-10-31,0.0,-2.71,67.64
2021-11-01,0.03,-3.77,70.71
2021-11-02,0.01,-4.99,76.53
2021-11-03,0.0,-5.87,72.37
2021-11-04,0.0,-5.02,65.31
2021-11-05,0.0,-3.76,59.62
2021-11-06,0.0,-3.39,58.07
2021-11-07,0.0,-3.34,54.11
2021-11-08,0.0,-3.08,49.34
2021-11-09,0.0,-1.93,47.03
2021-11-10,0.0,-1.35,48.17
2021-11-11,0.0,-1.0,47.44
2021-11-12,0.0,-1.92,49.64
2021-11-13,0.0,-1.88,48.14
2021-11-14,0.0,-2.41,50.09
2021-11-15,0.0,-4.81,53.98
2021-11-16,0.0,-4.33,48.7
2021-11-17,0.0,-2.2,46.7
2021-11-18,0.0,-1.82,53.49
2021-11-19,0.0,-2.81,63.66
2021-11-20,0.0,-2.96,67.71
2021-11-21,0.0,-3.53,75.56
2021-11-22,0.0,-4.51,52.36
2021-11-23,0.0,-4.56,50.31
2021-11-24,0.0,-3.8,61.85
2021-11-25,0.0,-4.42,68.94
2021-11-26,0.0,-4.68,66.86
2021-11-27,0.0,-4.85,68.39
2021-11-28,0.0,-4.4,58.42
2021-11-29,0.0,-4.54,51.05
2021-11-30,0.0,-3.04,35.91
2021-12-01,0.02,-1.3,36.64
2021-12-02,10.04,-2.48,84.65
2021-12-03,3.79,-3.48,95.85
2021-12-04,0.01,-4.86,67.27
2021-12-05,0.04,-5.29,72.82
2021-12-06,1.23,-6.29,92.29
2021-12-07,1.99,-7.96,65.89
2021-12-08,0.25,-6.46,59.8
2021-12-09,0.0,-7.81,71.48
2021-12-10,0.0,-9.67,59.52
2021-12-11,0.0,-9.43,47.59
2021-12-12,0.0,-7.44,50.72
2021-12-13,0.0,-7.44,47.75
2021-12-14,0.0,-9.41,54.31
2021-12-15,0.0,-10.61,64.27
2021-12-16,0.0,-11.16,50.01
2021-12-17,0.0,-11.97,72.89
2021-12-18,0.0,-11.95,82.09
2021-12-19,0.0,-13.32,53.02
2021-12-20,0.0,-9.44,39.95
2021-12-21,0.0,-8.69,55.01
2021-12-22,0.0,-9.6,54.6
2021-12-23,0.0,-8.85,60.51
2021-12-24,0.0,-10.06,75.03
2021-12-25,0.0,-10.28,74.63
2021-12-26,0.0,-9.92,82.87
2021-12-27,0.0,-9.32,85.04
2021-12-28,0.71,-10.54,83.32
2021-12-29,7.66,-9.95,94.26
2021-12-30,1.72,-11.5,87.91
2021-12-31,0.0,-12.29,64.99
2022-01-01,0.0,-11.47,68.79
2022-01-02,0.0,-10.86,71.81
2022-01-03,0.0,-10.4,61.49
2022-01-04,0.02,-7.86,69.2
2022-01-05,1.62,-7.52,94.06
2022-01-06,4.76,-7.92,88.16
2022-01-07,0.93,-8.25,91.17
2022-01-08,1.31,-10.61,88.3
2022-01-09,1.53,-10.59,90.91
2022-01-10,1.99,-10.18,91.69
2022-01-11,0.19,-10.95,87.4
2022-01-12,0.02,-12.01,83.8
2022-01-13,0.0,-14.82,69.2
2022-01-14,0.0,-13.39,64.15
2022-01-15,0.0,-14.7,58.59
2022-01-16,0.0,-11.58,47.81
2022-01-17,0.0,-7.5,65.39
2022-01-18,0.0,-7.6,84.65
2022-01-19,0.04,-9.59,73.03
2022-01-20,0.17,-8.84,88.46
2022-01-21,0.15,-9.52,87.35
2022-01-22,0.25,-11.12,87.51
2022-01-23,0.99,-10.48,90.57
2022-01-24,3.03,-10.43,90.24
2022-01-25,0.26,-11.18,88.7
2022-01-26,0.49,-12.61,87.78
2022-01-27,0.01,-13.6,81.77
2022-01-28,0.0,-12.58,53.95
2022-01-29,0.0,-9.69,56.82
2022-01-30,0.0,-9.28,62.61
2022-01-31,0.0,-9.35,81.61
2022-02-01,0.0,-10.95,59.23
2022-02-02,0.14,-8.57,64.03
2022-02-03,7.24,-8.83,93.61
2022-02-04,28.39,-11.76,97.43
2022-02-05,1.95,-16.39,77.85
2022-02-06,0.0,-14.4,73.73
2022-02-07,0.04,-10.78,89.34
2022-02-08,0.0,-13.69,89.28
2022-02-09,1.64,-13.19,96.56
2022-02-10,0.44,-13.58,90.52
2022-02-11,0.63,-17.12,69.96
2022-02-12,0.0,-15.32,69.02
2022-02-13,0.0,-12.32,79.11
2022-02-14,0.0,-12.56,81.69
2022-02-15,0.0,-10.54,92.27
2022-02-16,0.0,-11.29,91.72
2022-02-17,0.0,-11.47,85.78
2022-02-18,0.03,-11.05,71.33
2022-02-19,0.16,-10.96,78.03
2022-02-20,1.34,-11.17,87.57
2022-02-21,0.01,-12.97,60.92
2022-02-22,0.01,-7.6,70.96
2022-02-23,2.47,-6.61,90.34
2022-02-24,0.09,-8.05,83.65
2022-02-25,0.37,-9.49,88.2
2022-02-26,2.08,-10.21,89.54
2022-02-27,2.42,-9.15,88.7
2022-02-28,0.0,-9.92,56.02
2022-03-01,0.01,-6.97,70.98
2022-03-02,0.14,-7.13,81.86
2022-03-03,0.03,-6.97,77.96
2022-03-04,0.15,-6.64,76.74
2022-03-05,0.01,-5.35,52.06
2022-03-06,0.0,-2.4,55.83
2022-03-07,0.0,-2.82,68.84
2022-03-08,0.0,-3.71,64.06
2022-03-09,0.0,-4.61,56.21
2022-03-10,0.0,-4.39,68.03
2022-03-11,0.0,-3.55,62.63
2022-03-12,0.0,-1.9,49.18
2022-03-13,0.0,-0.04,47.08
2022-03-14,0.0,1.8,48.99
2022-03-15,0.03,0.91,65.82
2022-03-16,0.14,1.27,57.18
2022-03-17,0.03,2.32,40.7
2022-03-18,0.0,3.52,56.92
2022-03-19,0.0,1.88,68.24
2022-03-20,0.0,0.32,68.71
2022-03-21,0.01,0.81,70.86
2022-03-22,0.2,1.87,63.9
2022-03-23,1.06,0.48,77.61
2022-03-24,0.36,-0.95,73.28
2022-03-25,0.04,-0.52,78.02
2022-03-26,0.0,1.78,54.57
2022-03-27,0.0,3.31,50.62
2022-03-28,0.0,3.37,58.37
2022-03-29,0.01,3.78,51.37
2022-03-30,0.48,2.83,48.68
2022-03-31,0.09,2.52,40.58
2022-04-01,0.0,4.34,43.22
2022-04-02,0.22,3.63,59.51
2022-04-03,0.19,1.39,59.89
2022-04-04,0.02,2.66,47.87
2022-04-05,0.53,3.09,48.33
2022-04-06,0.07,3.09,49.74
2022-04-07,0.42,2.73,49.58
2022-04-08,0.48,3.0,57.76
2022-04-09,0.86,2.63,64.32
2022-04-10,3.36,2.68,61.6
2022-04-11,0.01,4.06,56.07
2022-04-12,0.28,4.39,52.93
2022-04-13,0.55,3.44,58.14
2022-04-14,4.2,0.92,72.73
2022-04-15,1.86,0.19,65.11
2022-04-16,0.84,-0.57,72.09
2022-04-17,0.05,1.64,62.05
2022-04-18,0.0,3.61,44.65
2022-04-19,0.29,3.42,52.64
2022-04-20,0.02,3.64,59.45
2022-04-21,0.06,3.18,62.18
2022-04-22,2.01,1.64,75.55
2022-04-23,0.03,2.47,57.0
2022-04-24,0.0,2.02,48.97
2022-04-25,0.0,2.94,49.11
2022-04-26,0.23,1.72,65.25
2022-04-27,0.08,4.8,54.88
2022-04-28,0.05,4.64,56.45
2022-04-29,0.36,4.56,59.24
2022-04-30,1.85,3.35,70.12
2022-05-01,7.1,3.19,74.71
2022-05-02,7.48,4.8,68.08
2022-05-03,0.62,4.98,72.21
2022-05-04,1.44,5.5,67.18
2022-05-05,2.38,4.5,71.32
2022-05-06,0.8,4.32,78.76
2022-05-07,0.34,4.11,76.56
2022-05-08,0.76,4.76,73.01
2022-05-09,0.44,5.51,77.47
2022-05-10,2.35,6.75,75.71
2022-05-11,1.18,6.9,75.37
2022-05-12,2.54,7.79,80.93
2022-05-13,2.15,6.65,76.12
2022-05-14,0.01,7.15,61.38
2022-05-15,0.06,7.04,55.3
2022-05-16,0.83,5.98,57.15
2022-05-17,2.51,4.13,74.9
2022-05-18,0.39,3.99,78.07
2022-05-19,0.23,6.34,69.27
2022-05-20,2.08,5.35,71.65
2022-05-21,0.7,5.35,60.3
2022-05-22,1.56,3.24,75.36
2022-05-23,0.84,3.03,76.87
2022-05-24,2.58,3.02,74.79
2022-05-25,7.95,2.11,82.91
2022-05-26,0.23,4.51,71.98
2022-05-27,0.14,6.7,75.84
2022-05-28,0.07,7.12,79.51
2022-05-29,0.03,6.98,74.58
2022-05-30,0.34,6.54,70.64
2022-05-31,0.16,6.18,59.63
2022-06-01,0.68,6.18,64.69
2022-06-02,0.3,6.38,63.03
2022-06-03,0.03,6.22,58.91
2022-06-04,0.0,6.38,48.28
2022-06-05,0.0,6.79,49.42
2022-06-06,0.53,7.72,57.58
2022-06-07,0.22,7.83,61.85
2022-06-08,0.33,8.15,62.48
2022-06-09,0.2,7.58,64.45
2022-06-10,0.1,7.08,73.01
2022-06-11,1.07,7.71,71.39
2022-06-12,0.4,8.21,69.02
2022-06-13,0.04,9.03,65.51
2022-06-14,0.19,8.95,70.94
2022-06-15,0.15,9.5,71.87
2022-06-16,0.39,8.63,75.61
2022-06-17,0.42,8.48,75.41
2022-06-18,0.42,7.98,73.83
2022-06-19,0.3,7.2,73.26
2022-06-20,0.68,6.23,75.59
2022-06-21,1.3,6.57,73.2
