,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,12.93,51.77
2021-01-02,0.0,12.92,49.56
2021-01-03,0.0,14.24,50.18
2021-01-04,0.0,15.1,54.42
2021-01-05,0.0,15.46,56.4
2021-01-06,0.0,15.42,59.9
2021-01-07,0.0,14.44,62.87
2021-01-08,0.0,13.64,69.53
2021-01-09,0.0,13.8,65.07
2021-01-10,0.01,13.09,73.45
2021-01-11,0.17,12.78,77.44
2021-01-12,0.01,11.44,71.62
2021-01-13,0.0,10.32,65.69
2021-01-14,0.0,10.56,62.68
2021-01-15,0.0,11.37,58.8
2021-01-16,0.02,10.89,55.88
2021-01-17,0.06,11.61,52.14
2021-01-18,0.01,13.14,57.85
2021-01-19,1.34,10.8,79.95
2021-01-20,2.4,10.13,79.09
2021-01-21,0.06,10.06,64.9
2021-01-22,0.0,10.43,54.86
2021-01-23,0.0,10.93,60.79
2021-01-24,0.0,11.06,56.51
2021-01-25,0.0,10.13,56.21
2021-01-26,0.0,10.88,51.37
2021-01-27,0.0,11.25,42.16
2021-01-28,0.0,11.15,39.26
2021-01-29,0.0,11.37,40.42
2021-01-30,0.0,9.4,44.72
2021-01-31,0.0,9.44,43.85
2021-02-01,0.0,9.57,45.54
2021-02-02,0.0,11.28,40.38
2021-02-03,0.0,12.13,44.55
2021-02-04,0.0,12.87,43.15
2021-02-05,0.0,12.77,45.84
2021-02-06,0.29,11.2,61.43
2021-02-07,0.29,11.07,56.53
2021-02-08,0.0,13.2,37.2
2021-02-09,0.0,14.33,35.95
2021-02-10,0.0,13.29,45.44
2021-02-11,0.0,13.39,48.3
2021-02-12,0.0,13.09,54.57
2021-02-13,0.0,13.26,57.06
2021-02-14,0.02,13.49,59.63
2021-02-15,0.18,13.34,53.09
2021-02-16,0.42,12.8,51.05
2021-02-17,0.12,13.19,48.69
2021-02-18,1.59,13.7,53.62
2021-02-19,0.07,13.78,53.46
2021-02-20,0.0,14.32,46.1
2021-02-21,0.0,15.25,40.03
2021-02-22,0.0,15.7,40.36
2021-02-23,0.0,15.4,43.67
2021-02-24,0.05,15.09,48.89
2021-02-25,0.08,15.06,44.43
2021-02-26,1.31,15.6,43.02
2021-02-27,5.57,15.32,47.26
2021-02-28,4.23,15.87,50.68
2021-03-01,0.48,16.54,45.16
2021-03-02,0.15,15.58,31.65
2021-03-03,0.22,15.22,31.19
2021-03-04,1.41,14.63,36.97
2021-03-05,2.46,15.13,39.12
2021-03-06,0.09,15.59,34.38
2021-03-07,0.2,15.46,37.89
2021-03-08,0.48,15.55,42.1
2021-03-09,1.21,16.55,43.37
2021-03-10,6.2,17.01,43.47
2021-03-11,5.38,16.69,48.0
2021-03-12,0.27,17.65,39.68
2021-03-13,1.15,17.84,37.99
2021-03-14,6.14,16.37,54.09
2021-03-15,0.08,16.98,50.31
2021-03-16,0.09,17.63,41.05
2021-03-17,0.03,17.89,38.4
2021-03-18,0.59,18.08,41.9
2021-03-19,0.01,18.99,41.3
2021-03-20,0.01,19.43,38.83
2021-03-21,0.02,19.05,37.58
2021-03-22,0.01,19.26,34.22
2021-03-23,0.25,20.17,33.47
2021-03-24,1.24,20.86,34.54
2021-03-25,0.03,19.12,30.12
2021-03-26,0.0,19.25,27.67
2021-03-27,0.0,20.14,27.08
2021-03-28,0.0,20.26,27.92
2021-03-29,0.78,20.05,30.53
2021-03-30,2.23,18.9,44.35
2021-03-31,3.56,19.82,35.92
2021-04-01,1.53,19.18,26.83
2021-04-02,0.43,18.88,19.93
2021-04-03,0.07,19.27,19.74
2021-04-04,0.09,18.77,19.67
2021-04-05,0.02,18.92,24.87
2021-04-06,0.0,20.52,25.79
2021-04-07,0.03,20.71,35.11
2021-04-08,1.44,21.05,40.99
2021-04-09,0.93,20.63,37.16
2021-04-10,0.98,21.48,26.5
2021-04-11,0.38,21.71,20.27
2021-04-12,0.15,22.23,19.24
2021-04-13,0.26,22.15,23.18
2021-04-14,0.35,22.73,26.48
2021-04-15,0.67,22.04,30.98
2021-04-16,15.55,21.28,43.09
2021-04-17,8.83,18.7,65.86
2021-04-18,6.81,18.93,57.0
2021-04-19,4.2,19.82,42.79
2021-04-20,0.14,20.57,41.89
2021-04-21,1.35,20.84,48.74
2021-04-22,22.01,18.61,68.67
2021-04-23,0.14,20.12,48.87
