,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,16.75,56.45
2021-01-02,0.0,16.86,54.55
2021-01-03,0.0,18.11,53.52
2021-01-04,0.0,18.24,60.89
2021-01-05,0.0,19.38,62.34
2021-01-06,0.0,19.51,66.56
2021-01-07,0.0,19.35,67.85
2021-01-08,0.0,18.74,69.66
2021-01-09,0.0,19.16,64.51
2021-01-10,0.0,18.42,73.55
2021-01-11,0.03,18.59,73.47
2021-01-12,0.01,16.75,63.3
2021-01-13,0.0,15.18,56.06
2021-01-14,0.0,14.93,52.44
2021-01-15,0.0,14.87,57.78
2021-01-16,0.01,14.99,53.03
2021-01-17,0.03,15.79,54.44
2021-01-18,0.0,17.68,61.15
2021-01-19,0.36,16.62,73.46
2021-01-20,1.76,15.51,72.19
2021-01-21,0.47,14.98,62.66
2021-01-22,0.0,14.96,58.66
2021-01-23,0.0,15.75,57.89
2021-01-24,0.0,15.75,57.2
2021-01-25,0.0,14.97,59.86
2021-01-26,0.0,15.96,51.85
2021-01-27,0.0,15.62,46.46
2021-01-28,0.0,15.53,42.78
2021-01-29,0.0,16.49,42.43
2021-01-30,0.0,14.92,42.78
2021-01-31,0.0,14.55,42.97
2021-02-01,0.0,15.13,41.22
2021-02-02,0.0,16.12,39.92
2021-02-03,0.0,17.45,43.65
2021-02-04,0.0,18.66,42.56
2021-02-05,0.0,18.69,44.8
2021-02-06,0.14,16.99,60.27
2021-02-07,0.1,16.72,58.03
2021-02-08,0.0,17.68,44.33
2021-02-09,0.0,18.33,42.08
2021-02-10,0.0,18.57,42.82
2021-02-11,0.0,19.39,43.58
2021-02-12,0.0,19.11,48.35
2021-02-13,0.0,19.05,50.63
2021-02-14,0.01,19.37,51.41
2021-02-15,0.03,19.86,43.09
2021-02-16,0.17,19.19,43.8
2021-02-17,0.03,19.43,44.75
2021-02-18,0.92,20.54,53.47
2021-02-19,0.02,21.14,47.55
2021-02-20,0.0,21.31,39.59
2021-02-21,0.0,20.97,38.37
2021-02-22,0.0,21.32,36.58
2021-02-23,0.0,21.45,38.21
2021-02-24,0.04,21.71,41.59
2021-02-25,0.08,21.92,37.31
2021-02-26,0.71,21.97,38.79
2021-02-27,2.23,22.52,39.48
2021-02-28,1.41,23.51,41.53
2021-03-01,0.64,23.8,38.72
2021-03-02,0.02,22.35,28.97
2021-03-03,0.07,22.0,26.09
2021-03-04,0.25,22.07,29.98
2021-03-05,0.62,22.62,32.46
2021-03-06,0.13,23.22,28.88
2021-03-07,0.12,22.92,31.2
2021-03-08,0.4,22.86,37.67
2021-03-09,0.39,23.38,39.3
2021-03-10,2.16,24.01,39.02
2021-03-11,4.68,24.37,40.32
2021-03-12,0.27,24.75,36.16
2021-03-13,0.72,24.92,33.08
2021-03-14,5.7,23.94,44.84
2021-03-15,0.01,24.25,40.47
2021-03-16,0.02,24.69,33.88
2021-03-17,0.0,25.42,30.99
2021-03-18,0.1,25.45,33.44
2021-03-19,0.02,26.61,32.2
2021-03-20,0.0,26.84,31.27
2021-03-21,0.01,26.89,27.07
2021-03-22,0.0,27.21,24.07
2021-03-23,0.01,27.51,26.28
2021-03-24,0.28,29.48,23.91
2021-03-25,0.04,27.48,19.83
2021-03-26,0.0,26.44,19.39
2021-03-27,0.0,27.35,19.7
2021-03-28,0.0,28.21,20.62
2021-03-29,2.1,28.11,23.96
2021-03-30,1.04,27.09,32.82
2021-03-31,0.95,27.38,32.1
2021-04-01,1.24,27.0,22.86
2021-04-02,0.14,27.04,15.21
2021-04-03,0.0,27.15,14.56
2021-04-04,0.02,26.73,14.52
2021-04-05,0.01,26.58,21.16
2021-04-06,0.0,27.87,24.21
2021-04-07,0.0,28.05,31.54
2021-04-08,0.93,29.03,36.77
2021-04-09,2.5,28.37,38.43
