,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,3.15,32.92
2021-01-02,0.01,3.03,37.33
2021-01-03,6.07,4.31,53.92
2021-01-04,8.67,2.09,68.78
2021-01-05,0.35,2.29,76.91
2021-01-06,0.47,2.38,86.89
2021-01-07,0.0,1.4,52.81
2021-01-08,0.0,2.34,31.74
2021-01-09,0.0,3.89,39.49
2021-01-10,0.0,3.19,32.58
2021-01-11,0.0,3.48,28.33
2021-01-12,0.0,3.48,32.12
2021-01-13,0.0,4.45,32.74
2021-01-14,0.0,6.09,31.54
2021-01-15,0.0,6.15,34.16
2021-01-16,0.0,5.25,32.38
2021-01-17,0.0,4.98,31.98
2021-01-18,0.0,3.04,39.4
2021-01-19,0.0,1.72,61.6
2021-01-20,0.0,1.16,62.81
2021-01-21,0.0,3.1,29.97
2021-01-22,0.0,4.11,30.8
2021-01-23,0.0,2.67,39.12
2021-01-24,0.0,0.35,48.57
2021-01-25,0.0,-0.38,45.4
2021-01-26,0.0,-0.21,34.2
2021-01-27,0.0,0.61,29.15
2021-01-28,0.0,0.42,32.64
2021-01-29,0.0,-1.05,41.92
2021-01-30,0.0,-0.69,41.41
2021-01-31,0.0,1.09,37.23
2021-02-01,0.0,1.91,39.12
2021-02-02,0.0,2.26,36.33
2021-02-03,0.0,1.24,39.22
2021-02-04,0.09,0.18,66.38
2021-02-05,1.04,-1.05,83.76
2021-02-06,1.22,-1.05,71.52
2021-02-07,0.0,2.79,32.0
2021-02-08,0.0,4.8,28.2
2021-02-09,0.0,5.69,36.02
2021-02-10,0.0,4.41,48.45
2021-02-11,0.0,4.24,41.21
2021-02-12,0.0,4.46,44.33
2021-02-13,0.0,5.21,46.16
2021-02-14,0.11,3.98,55.03
2021-02-15,0.75,3.17,54.67
2021-02-16,0.38,2.73,53.39
2021-02-17,0.12,2.18,47.05
2021-02-18,0.01,1.1,58.91
2021-02-19,0.0,2.72,55.85
2021-02-20,0.0,4.3,44.72
2021-02-21,0.0,6.83,44.52
2021-02-22,0.0,7.58,46.95
2021-02-23,0.0,6.78,48.6
2021-02-24,0.0,6.05,45.5
2021-02-25,0.0,5.99,40.59
2021-02-26,0.01,6.84,39.34
2021-02-27,0.05,5.89,60.75
2021-02-28,0.0,5.48,51.3
2021-03-01,0.09,4.63,36.77
2021-03-02,0.01,5.35,31.64
2021-03-03,0.0,5.54,37.41
2021-03-04,0.0,4.73,41.88
2021-03-05,0.0,4.93,39.03
2021-03-06,0.0,6.21,38.6
2021-03-07,0.65,4.98,59.63
2021-03-08,6.81,4.25,75.81
2021-03-09,2.26,5.66,54.08
2021-03-10,1.13,5.22,53.22
2021-03-11,0.13,6.02,51.75
2021-03-12,0.07,6.7,43.4
2021-03-13,0.55,7.07,50.76
2021-03-14,0.0,6.88,47.93
2021-03-15,0.09,7.43,41.44
2021-03-16,0.19,7.15,43.07
2021-03-17,0.09,7.21,46.14
2021-03-18,0.17,7.31,44.43
2021-03-19,0.19,7.04,39.81
2021-03-20,0.16,7.49,43.22
2021-03-21,0.0,8.64,48.77
2021-03-22,0.02,8.49,49.71
2021-03-23,0.5,8.0,50.51
2021-03-24,1.81,6.46,55.4
