,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.94,29.85
2021-01-02,1.24,18.25,34.79
2021-01-03,5.55,19.54,60.44
2021-01-04,0.47,20.7,51.89
2021-01-05,1.49,21.31,43.99
2021-01-06,0.83,19.86,58.9
2021-01-07,0.01,18.76,57.29
2021-01-08,0.0,18.58,53.23
2021-01-09,0.0,19.45,48.97
2021-01-10,0.0,18.62,51.71
2021-01-11,0.0,14.33,55.93
2021-01-12,0.0,12.6,48.58
2021-01-13,0.0,12.57,44.94
2021-01-14,0.0,13.98,40.48
2021-01-15,0.0,14.59,36.98
2021-01-16,0.0,14.63,35.71
2021-01-17,0.0,14.77,32.84
2021-01-18,0.0,16.86,31.17
2021-01-19,0.0,18.23,38.45
2021-01-20,0.0,15.43,46.2
2021-01-21,0.0,13.54,45.43
2021-01-22,0.0,15.66,32.2
2021-01-23,0.0,16.69,26.67
2021-01-24,0.0,17.32,30.57
2021-01-25,0.0,16.35,38.0
2021-01-26,0.0,15.25,37.04
2021-01-27,0.0,15.26,33.25
2021-01-28,0.0,15.77,29.19
2021-01-29,0.0,15.05,29.0
2021-01-30,0.0,13.97,30.13
2021-01-31,0.0,15.15,25.99
2021-02-01,0.0,16.48,25.25
2021-02-02,0.0,17.66,25.64
2021-02-03,0.01,19.39,24.29
2021-02-04,1.23,20.14,31.01
2021-02-05,0.39,17.92,50.94
2021-02-06,0.01,16.94,41.76
2021-02-07,0.0,16.64,37.6
2021-02-08,0.0,17.84,33.22
2021-02-09,0.0,19.45,31.71
2021-02-10,0.0,20.93,28.2
2021-02-11,0.0,20.2,26.91
2021-02-12,0.0,20.92,28.33
2021-02-13,0.0,20.22,31.27
2021-02-14,0.0,20.18,26.96
2021-02-15,0.0,20.53,29.61
2021-02-16,0.0,21.71,25.31
2021-02-17,0.0,21.41,21.07
2021-02-18,0.0,21.22,22.36
2021-02-19,0.01,21.22,25.76
2021-02-20,0.0,21.14,28.01
2021-02-21,0.0,20.96,31.18
2021-02-22,0.0,22.0,30.15
2021-02-23,0.0,23.18,25.67
2021-02-24,0.0,24.0,21.74
2021-02-25,0.0,24.71,20.12
2021-02-26,0.04,24.97,25.4
2021-02-27,0.0,25.7,27.51
2021-02-28,0.0,26.09,26.66
2021-03-01,0.0,24.09,17.19
2021-03-02,0.0,21.55,19.62
2021-03-03,0.0,22.95,19.14
2021-03-04,0.0,24.6,16.58
2021-03-05,0.0,25.07,15.39
2021-03-06,0.0,24.47,17.42
2021-03-07,0.05,26.01,15.15
2021-03-08,0.59,25.49,24.71
2021-03-09,0.0,27.27,23.12
2021-03-10,0.0,27.24,24.28
2021-03-11,0.0,27.47,23.91
2021-03-12,0.0,25.21,27.3
2021-03-13,0.01,25.41,34.45
2021-03-14,0.0,24.86,27.21
2021-03-15,0.0,25.6,21.87
2021-03-16,0.0,26.57,23.07
2021-03-17,0.0,27.02,21.69
2021-03-18,0.0,27.63,19.98
2021-03-19,0.0,26.85,21.74
2021-03-20,0.0,27.15,20.64
2021-03-21,0.0,27.6,20.08
2021-03-22,0.03,28.46,19.29
2021-03-23,0.01,28.91,20.8
2021-03-24,0.11,26.76,24.77
2021-03-25,0.03,25.7,21.49
2021-03-26,0.0,24.71,21.93
2021-03-27,0.0,27.45,19.99
2021-03-28,0.0,28.65,21.39
2021-03-29,0.0,29.92,20.64
2021-03-30,0.0,30.88,15.83
2021-03-31,0.0,29.23,11.45
2021-04-01,0.0,26.09,7.09
