,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,6.9,36.88
2021-01-02,0.01,7.2,40.33
2021-01-03,7.51,7.95,60.35
2021-01-04,7.77,5.97,67.34
2021-01-05,0.16,7.5,64.06
2021-01-06,0.19,7.14,77.29
2021-01-07,0.0,6.26,50.19
2021-01-08,0.0,6.69,34.3
2021-01-09,0.0,8.19,39.37
2021-01-10,0.0,7.38,36.91
2021-01-11,0.0,6.88,33.81
2021-01-12,0.0,6.03,41.27
2021-01-13,0.0,6.4,42.46
2021-01-14,0.0,6.84,45.58
2021-01-15,0.0,7.68,47.56
2021-01-16,0.0,7.43,42.53
2021-01-17,0.0,7.5,37.39
2021-01-18,0.0,6.89,40.92
2021-01-19,0.0,5.52,60.27
2021-01-20,0.0,4.43,65.27
2021-01-21,0.0,5.58,38.99
2021-01-22,0.0,6.77,34.77
2021-01-23,0.0,6.56,38.86
2021-01-24,0.0,4.83,45.56
2021-01-25,0.0,3.73,46.26
2021-01-26,0.0,3.93,38.02
2021-01-27,0.0,4.59,32.82
2021-01-28,0.0,4.35,35.13
2021-01-29,0.0,2.82,44.73
2021-01-30,0.0,2.67,45.3
2021-01-31,0.0,3.85,41.62
2021-02-01,0.0,3.89,45.03
2021-02-02,0.0,5.06,44.01
2021-02-03,0.0,5.05,43.03
2021-02-04,0.13,4.48,61.75
2021-02-05,0.85,2.6,82.31
2021-02-06,1.1,2.81,70.71
2021-02-07,0.0,5.25,44.36
2021-02-08,0.0,7.75,35.51
2021-02-09,0.0,8.47,41.87
2021-02-10,0.0,7.22,52.91
2021-02-11,0.0,6.73,48.67
2021-02-12,0.0,7.37,48.59
2021-02-13,0.0,7.4,54.68
2021-02-14,0.05,6.97,58.66
2021-02-15,1.19,6.42,57.66
2021-02-16,0.38,6.37,51.2
2021-02-17,0.25,5.38,47.45
2021-02-18,0.0,4.26,60.75
2021-02-19,0.0,5.63,58.85
2021-02-20,0.0,7.28,51.47
2021-02-21,0.0,8.32,50.78
2021-02-22,0.0,9.36,56.02
2021-02-23,0.0,9.14,53.92
2021-02-24,0.0,9.27,46.27
2021-02-25,0.0,9.22,42.79
