,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,16.31,27.19
2021-01-02,0.88,17.66,34.6
2021-01-03,11.65,18.99,57.86
2021-01-04,0.05,19.27,52.95
2021-01-05,2.55,19.78,47.17
2021-01-06,3.91,17.29,67.58
2021-01-07,0.0,17.77,52.72
2021-01-08,0.01,17.85,45.71
2021-01-09,0.02,19.07,43.44
2021-01-10,0.0,18.78,42.83
2021-01-11,0.0,15.39,45.01
2021-01-12,0.0,13.7,43.51
2021-01-13,0.0,12.88,42.0
2021-01-14,0.0,12.88,41.52
2021-01-15,0.0,13.43,39.38
2021-01-16,0.0,14.81,34.55
2021-01-17,0.0,14.07,32.73
2021-01-18,0.0,15.81,32.31
2021-01-19,0.0,17.48,40.33
2021-01-20,0.0,15.56,40.93
2021-01-21,0.0,14.04,37.73
2021-01-22,0.0,14.21,35.12
2021-01-23,0.0,15.76,29.75
2021-01-24,0.0,15.72,37.07
2021-01-25,0.0,14.57,41.26
2021-01-26,0.0,14.19,38.46
2021-01-27,0.0,14.89,31.33
2021-01-28,0.0,14.78,30.24
2021-01-29,0.0,14.01,31.04
2021-01-30,0.0,14.02,29.2
2021-01-31,0.0,14.21,28.65
2021-02-01,0.0,15.14,29.65
2021-02-02,0.0,16.5,29.36
2021-02-03,0.17,17.81,30.66
2021-02-04,3.52,16.99,47.35
2021-02-05,0.57,15.65,55.64
2021-02-06,0.0,15.34,44.0
2021-02-07,0.01,15.86,37.85
2021-02-08,0.0,16.71,36.35
2021-02-09,0.0,18.13,35.3
2021-02-10,0.0,19.52,32.52
2021-02-11,0.0,18.35,31.34
2021-02-12,0.0,18.88,33.98
2021-02-13,0.0,19.01,34.46
2021-02-14,0.0,18.45,32.97
2021-02-15,0.0,18.92,32.38
2021-02-16,0.0,19.79,27.29
2021-02-17,0.0,19.58,25.55
2021-02-18,0.0,19.31,28.0
2021-02-19,0.0,18.9,33.67
2021-02-20,0.0,19.2,32.55
2021-02-21,0.0,19.78,34.99
2021-02-22,0.0,20.86,33.84
2021-02-23,0.0,21.94,28.44
2021-02-24,0.0,22.67,23.57
2021-02-25,0.0,23.35,22.59
2021-02-26,0.22,23.73,28.79
2021-02-27,0.37,23.98,32.17
2021-02-28,0.0,23.72,28.4
2021-03-01,0.0,21.69,18.95
2021-03-02,0.0,20.99,19.94
2021-03-03,0.0,22.32,20.4
2021-03-04,0.0,22.99,18.57
2021-03-05,0.0,23.37,17.84
2021-03-06,0.02,23.25,19.37
2021-03-07,0.34,24.07,20.31
2021-03-08,0.53,24.25,24.61
2021-03-09,0.0,25.56,24.21
2021-03-10,0.0,25.22,27.5
2021-03-11,0.0,25.37,26.69
2021-03-12,0.0,23.89,28.05
2021-03-13,0.0,24.65,31.83
2021-03-14,0.0,23.97,27.01
2021-03-15,0.0,24.47,22.6
2021-03-16,0.0,24.98,24.51
2021-03-17,0.0,25.55,22.77
2021-03-18,0.0,25.8,21.37
2021-03-19,0.0,24.53,24.3
2021-03-20,0.0,25.47,23.06
2021-03-21,0.0,25.99,23.63
2021-03-22,0.34,26.62,24.28
2021-03-23,0.01,26.64,24.01
2021-03-24,0.06,25.27,24.34
2021-03-25,0.0,24.01,22.64
2021-03-26,0.0,24.02,23.08
2021-03-27,0.0,26.21,22.19
2021-03-28,0.0,26.88,24.46
2021-03-29,0.0,27.87,23.72
2021-03-30,0.0,28.71,18.5
2021-03-31,0.0,27.67,12.39
2021-04-01,0.0,25.39,8.03
2021-04-02,0.0,24.8,8.13
2021-04-03,0.0,24.67,8.11
2021-04-04,0.0,26.33,9.18
2021-04-05,0.0,28.34,10.85
2021-04-06,0.0,29.11,13.65
2021-04-07,0.16,29.54,15.82
2021-04-08,0.0,28.57,15.21
2021-04-09,0.0,27.62,10.12
2021-04-10,0.0,28.12,11.05
2021-04-11,0.0,28.66,11.93
2021-04-12,0.0,29.61,16.57
2021-04-13,0.0,29.96,18.95
2021-04-14,0.0,31.33,18.78
2021-04-15,0.0,31.44,19.42
2021-04-16,0.02,31.76,16.62
2021-04-17,3.59,27.84,31.13
2021-04-18,0.41,28.07,30.31
2021-04-19,0.29,28.79,22.01
2021-04-20,0.39,28.75,20.79
2021-04-21,13.85,25.23,49.33
2021-04-22,3.71,25.04,49.17
2021-04-23,4.7,25.81,41.15
2021-04-24,0.69,26.71,37.0
2021-04-25,0.12,27.93,30.84
2021-04-26,0.0,29.08,26.21
2021-04-27,0.0,30.54,25.28
2021-04-28,0.02,31.86,25.67
2021-04-29,1.83,31.74,28.01
2021-04-30,1.26,30.68,29.96
2021-05-01,0.25,31.22,27.4
2021-05-02,1.89,30.29,29.4
2021-05-03,1.35,30.49,30.61
2021-05-04,8.7,28.97,41.83
2021-05-05,5.66,28.23,46.49
2021-05-06,4.26,28.01,46.94
2021-05-07,1.61,28.9,43.51
2021-05-08,2.61,28.7,43.59
2021-05-09,1.38,28.99,43.7
2021-05-10,1.76,27.9,49.92
2021-05-11,3.27,27.95,49.19
2021-05-12,8.98,27.53,53.7
2021-05-13,8.58,25.55,57.96
2021-05-14,0.03,27.49,50.12
2021-05-15,0.0,29.77,39.12
2021-05-16,0.0,30.76,32.2
2021-05-17,0.0,31.27,29.86
2021-05-18,2.06,27.69,42.64
2021-05-19,44.9,25.19,63.12
2021-05-20,60.88,23.55,84.38
2021-05-21,0.21,26.19,67.92
2021-05-22,0.02,28.04,48.52
2021-05-23,0.28,28.18,46.65
2021-05-24,0.35,28.58,44.01
2021-05-25,0.67,30.86,39.86
2021-05-26,0.03,30.93,35.62
2021-05-27,0.03,30.13,35.78
2021-05-28,3.49,28.9,52.76
2021-05-29,5.14,28.14,69.64
2021-05-30,3.3,29.03,63.39
2021-05-31,10.47,30.24,56.17
2021-06-01,6.51,30.07,47.67
2021-06-02,0.12,29.35,45.81
2021-06-03,0.03,30.77,43.39
2021-06-04,1.56,30.98,46.51
2021-06-05,0.37,31.69,47.71
2021-06-06,0.77,31.35,52.62
2021-06-07,0.26,30.84,50.68
2021-06-08,0.04,32.43,52.81
2021-06-09,9.78,32.19,56.36
2021-06-10,40.04,26.71,81.39
2021-06-11,12.23,27.17,80.24
2021-06-12,37.16,25.85,86.92
2021-06-13,7.18,28.32,76.68
2021-06-14,19.78,28.05,76.7
2021-06-15,20.05,28.23,75.0
2021-06-16,4.91,28.34,73.41
2021-06-17,23.25,28.67,73.46
2021-06-18,39.7,27.44,78.68
2021-06-19,47.04,26.49,78.66
2021-06-20,7.71,27.46,76.97
2021-06-21,0.14,28.36,71.77
2021-06-22,0.07,28.53,66.9
2021-06-23,1.52,29.33,66.94
2021-06-24,1.32,28.39,66.3
2021-06-25,8.23,28.53,66.19
2021-06-26,0.9,28.24,68.07
2021-06-27,0.59,28.49,71.57
2021-06-28,0.05,29.41,71.93
2021-06-29,0.0,29.78,64.96
2021-06-30,0.0,31.35,54.84
2021-07-01,0.22,32.65,51.17
2021-07-02,5.3,31.15,60.33
2021-07-03,0.78,30.65,62.1
2021-07-04,0.29,30.05,60.91
2021-07-05,0.16,30.35,64.41
2021-07-06,0.0,31.08,61.54
2021-07-07,0.0,32.4,55.81
2021-07-08,0.56,31.34,65.11
2021-07-09,2.41,28.52,77.46
2021-07-10,3.15,29.3,73.0
2021-07-11,3.24,27.6,81.44
2021-07-12,7.44,27.94,78.6
2021-07-13,4.69,27.62,79.95
2021-07-14,1.25,28.43,76.59
2021-07-15,1.24,28.88,75.03
2021-07-16,2.15,28.6,78.04
2021-07-17,10.6,28.64,78.29
2021-07-18,30.82,26.79,88.84
2021-07-19,37.77,25.49,90.86
2021-07-20,36.99,27.0,85.13
2021-07-21,30.52,26.99,87.33
2021-07-22,33.07,27.79,85.23
2021-07-23,6.03,27.83,86.01
2021-07-24,1.58,29.4,79.39
2021-07-25,9.21,28.94,83.96
2021-07-26,11.88,28.26,85.9
2021-07-27,10.53,28.09,87.97
2021-07-28,19.1,27.75,85.6
2021-07-29,19.92,27.64,85.1
2021-07-30,3.38,27.61,85.57
2021-07-31,0.41,28.23,79.86
2021-08-01,4.31,28.67,80.42
2021-08-02,1.88,28.2,84.29
2021-08-03,0.59,27.93,83.53
2021-08-04,1.23,26.98,88.23
2021-08-05,2.21,27.52,84.16
2021-08-06,1.74,28.72,76.6
2021-08-07,5.46,28.28,81.55
2021-08-08,13.36,27.8,84.4
2021-08-09,14.93,28.12,82.0
2021-08-10,9.84,27.65,87.29
2021-08-11,2.27,27.58,85.85
2021-08-12,13.92,27.17,85.04
2021-08-13,15.74,27.14,85.5
2021-08-14,6.05,27.11,87.04
2021-08-15,6.91,27.89,82.86
2021-08-16,17.06,27.85,80.31
2021-08-17,0.4,28.52,77.97
2021-08-18,6.08,27.71,81.76
2021-08-19,12.62,26.98,85.43
2021-08-20,19.61,25.81,90.12
2021-08-21,5.06,26.27,87.32
2021-08-22,2.14,26.04,91.05
2021-08-23,4.92,26.12,89.37
2021-08-24,6.67,26.06,91.59
2021-08-25,5.74,25.88,90.29
2021-08-26,3.21,26.74,82.77
2021-08-27,29.22,26.82,89.1
2021-08-28,15.84,26.16,91.3
2021-08-29,6.33,25.64,86.65
2021-08-30,15.92,25.75,87.29
2021-08-31,6.45,25.81,84.73
2021-09-01,6.12,26.16,83.39
2021-09-02,0.28,26.97,79.89
2021-09-03,0.24,25.73,85.7
2021-09-04,1.58,26.0,84.64
2021-09-05,2.44,26.42,83.2
2021-09-06,1.29,27.39,81.04
2021-09-07,7.97,26.59,85.68
2021-09-08,3.36,25.61,86.48
2021-09-09,8.69,26.4,85.74
2021-09-10,6.11,26.23,86.34
2021-09-11,4.86,27.07,81.55
2021-09-12,2.85,27.13,77.19
2021-09-13,5.56,27.9,71.75
2021-09-14,1.3,27.44,74.37
2021-09-15,5.41,26.33,84.15
2021-09-16,6.37,25.8,82.57
2021-09-17,1.43,25.77,80.14
2021-09-18,0.01,26.3,83.09
