,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,17.42,39.76
2021-01-02,0.0,18.53,35.44
2021-01-03,0.08,19.14,39.11
2021-01-04,1.24,20.86,48.7
2021-01-05,0.01,21.67,45.23
2021-01-06,0.0,22.67,42.69
2021-01-07,0.0,21.51,43.82
2021-01-08,0.0,19.83,39.72
2021-01-09,0.0,21.42,37.95
2021-01-10,0.0,20.29,45.43
2021-01-11,0.0,17.34,48.45
2021-01-12,0.0,14.71,45.12
2021-01-13,0.0,13.54,43.71
2021-01-14,0.0,13.98,45.83
2021-01-15,0.0,15.14,42.84
2021-01-16,0.0,15.4,40.35
2021-01-17,0.0,15.17,37.83
2021-01-18,0.0,16.73,39.14
2021-01-19,0.0,17.99,41.33
2021-01-20,0.0,16.63,44.27
2021-01-21,0.0,14.44,42.52
2021-01-22,0.0,15.17,41.43
2021-01-23,0.0,15.73,38.48
2021-01-24,0.0,16.23,39.07
2021-01-25,0.0,16.89,36.64
2021-01-26,0.0,15.55,37.78
2021-01-27,0.0,14.79,36.17
2021-01-28,0.0,15.06,35.95
2021-01-29,0.0,15.52,33.93
2021-01-30,0.0,14.36,34.63
2021-01-31,0.0,14.45,33.95
2021-02-01,0.0,14.85,33.36
2021-02-02,0.0,16.1,32.45
2021-02-03,0.0,17.88,31.82
2021-02-04,0.51,19.57,30.1
2021-02-05,0.33,18.54,40.79
2021-02-06,0.03,17.2,44.75
2021-02-07,0.0,16.86,37.26
2021-02-08,0.0,17.7,33.68
2021-02-09,0.0,18.79,32.56
2021-02-10,0.0,19.45,33.83
2021-02-11,0.0,19.49,34.52
2021-02-12,0.0,19.16,34.31
2021-02-13,0.0,19.55,32.05
2021-02-14,0.0,20.09,31.37
2021-02-15,0.47,20.2,32.53
2021-02-16,0.34,21.42,30.19
2021-02-17,0.16,21.58,26.54
2021-02-18,0.04,20.9,29.5
2021-02-19,0.01,21.99,28.93
2021-02-20,0.0,21.81,26.89
2021-02-21,0.0,21.56,27.0
2021-02-22,0.0,21.76,30.59
2021-02-23,0.0,23.09,27.31
2021-02-24,0.0,23.48,24.3
2021-02-25,0.0,24.54,21.21
2021-02-26,0.0,25.19,21.09
2021-02-27,0.04,25.41,24.67
2021-02-28,0.0,26.51,26.65
2021-03-01,0.09,26.5,17.83
2021-03-02,0.0,22.25,15.24
2021-03-03,0.0,23.21,17.15
2021-03-04,0.0,23.72,18.48
2021-03-05,0.0,25.74,14.6
2021-03-06,0.0,24.44,16.48
2021-03-07,0.0,25.89,15.63
2021-03-08,0.15,24.78,21.37
2021-03-09,0.0,26.17,20.56
2021-03-10,2.72,26.26,25.9
2021-03-11,0.14,27.29,25.78
2021-03-12,0.05,27.41,20.82
2021-03-13,4.26,25.71,32.68
2021-03-14,0.48,24.35,36.18
2021-03-15,0.0,24.76,26.35
2021-03-16,0.22,26.02,24.05
2021-03-17,0.01,26.48,23.71
2021-03-18,0.17,27.36,23.14
2021-03-19,0.17,29.2,21.35
2021-03-20,0.04,28.31,22.55
2021-03-21,0.0,27.64,19.17
2021-03-22,0.0,28.59,17.27
2021-03-23,0.01,30.02,18.54
2021-03-24,0.03,29.25,19.1
2021-03-25,0.01,27.55,17.34
2021-03-26,0.0,26.49,17.44
2021-03-27,0.0,27.43,18.32
2021-03-28,0.0,28.66,20.59
2021-03-29,0.02,29.97,20.62
2021-03-30,0.0,30.88,18.78
2021-03-31,0.09,29.59,12.63
2021-04-01,0.8,26.87,8.7
2021-04-02,0.03,26.91,8.05
2021-04-03,0.0,27.14,6.89
2021-04-04,0.0,27.88,6.53
2021-04-05,0.0,27.96,8.07
2021-04-06,0.0,30.05,10.07
2021-04-07,0.0,32.03,12.31
2021-04-08,0.0,31.72,13.63
2021-04-09,0.0,30.89,11.77
2021-04-10,0.0,30.43,7.74
2021-04-11,0.0,29.81,8.67
2021-04-12,0.0,30.6,11.28
2021-04-13,0.0,31.86,15.78
2021-04-14,0.09,32.18,14.74
2021-04-15,0.1,33.59,15.45
2021-04-16,0.24,32.24,18.94
2021-04-17,0.93,31.65,20.24
2021-04-18,1.05,31.36,21.63
2021-04-19,0.04,31.53,18.22
2021-04-20,0.0,32.9,13.68
2021-04-21,7.5,30.6,28.72
2021-04-22,2.68,28.28,40.29
2021-04-23,0.21,29.31,29.9
2021-04-24,0.0,31.6,22.5
2021-04-25,0.0,30.52,17.77
2021-04-26,0.0,31.19,15.45
2021-04-27,0.0,32.34,14.97
2021-04-28,0.0,33.39,16.61
2021-04-29,0.07,33.15,22.07
2021-04-30,0.78,33.08,26.35
2021-05-01,0.49,33.06,25.75
2021-05-02,0.19,32.36,26.93
2021-05-03,1.87,30.96,28.22
2021-05-04,1.29,30.33,34.65
2021-05-05,15.59,28.03,49.48
2021-05-06,2.27,29.8,43.94
2021-05-07,9.11,30.02,46.01
2021-05-08,1.15,30.47,39.56
2021-05-09,8.13,29.59,43.22
2021-05-10,2.7,29.7,43.49
2021-05-11,8.95,30.21,44.96
2021-05-12,22.31,28.32,51.26
2021-05-13,5.61,27.81,49.21
2021-05-14,0.07,29.12,43.3
2021-05-15,0.01,30.85,38.45
2021-05-16,0.12,32.04,34.64
2021-05-17,0.51,32.51,31.34
2021-05-18,1.15,31.66,32.04
2021-05-19,38.77,27.08,62.2
2021-05-20,39.54,25.22,81.67
2021-05-21,3.57,28.53,67.33
2021-05-22,0.03,30.34,52.42
2021-05-23,0.0,30.18,46.5
2021-05-24,0.0,30.78,42.57
2021-05-25,0.03,31.89,44.49
2021-05-26,1.57,30.62,59.38
2021-05-27,52.04,27.26,78.54
2021-05-28,62.64,26.19,86.32
2021-05-29,59.39,26.3,84.23
2021-05-30,1.98,28.78,77.04
2021-05-31,11.0,29.89,70.79
2021-06-01,12.61,30.62,63.45
2021-06-02,1.86,29.44,63.0
2021-06-03,0.03,30.81,60.94
2021-06-04,0.34,30.48,66.94
2021-06-05,1.63,30.49,64.74
2021-06-06,2.83,30.01,70.02
2021-06-07,0.8,31.06,64.77
2021-06-08,2.04,30.66,63.81
2021-06-09,10.84,30.38,70.04
2021-06-10,8.88,29.42,76.15
2021-06-11,1.31,29.66,77.03
2021-06-12,12.84,28.79,79.38
2021-06-13,32.61,27.34,87.08
2021-06-14,78.59,28.13,85.8
2021-06-15,67.04,26.83,93.17
2021-06-16,21.96,28.54,83.88
2021-06-17,9.6,27.77,87.54
2021-06-18,8.4,27.47,86.99
2021-06-19,14.85,27.29,88.22
2021-06-20,4.3,26.56,93.28
2021-06-21,0.87,27.75,89.67
2021-06-22,1.91,28.66,87.68
2021-06-23,16.52,28.58,89.88
2021-06-24,21.77,28.44,84.07
2021-06-25,20.24,28.65,81.69
2021-06-26,6.59,27.83,86.79
2021-06-27,5.11,26.73,89.49
2021-06-28,16.52,28.47,84.71
2021-06-29,2.82,28.23,86.55
2021-06-30,27.46,29.1,80.47
2021-07-01,18.26,29.16,82.2
2021-07-02,20.85,29.65,81.95
2021-07-03,25.55,28.98,84.53
2021-07-04,16.78,29.11,78.35
2021-07-05,17.73,29.4,79.99
2021-07-06,0.59,29.56,80.68
2021-07-07,10.12,29.96,80.82
2021-07-08,18.7,28.39,90.19
2021-07-09,3.5,27.83,90.46
2021-07-10,5.92,28.42,89.56
2021-07-11,3.79,27.74,88.03
2021-07-12,19.48,28.01,88.51
2021-07-13,1.1,29.11,84.08
2021-07-14,0.93,28.23,88.42
2021-07-15,1.42,28.28,86.51
2021-07-16,29.88,28.5,85.73
2021-07-17,42.9,27.13,91.77
2021-07-18,47.44,28.35,87.91
2021-07-19,25.21,28.4,86.56
2021-07-20,72.5,27.95,90.21
2021-07-21,34.59,27.94,88.09
2021-07-22,13.57,27.46,92.01
2021-07-23,3.3,30.06,81.72
2021-07-24,3.21,29.25,84.15
2021-07-25,5.41,29.33,87.11
2021-07-26,6.52,28.8,87.08
2021-07-27,20.8,29.84,82.75
2021-07-28,15.96,28.55,88.11
2021-07-29,10.1,27.9,91.16
2021-07-30,9.23,28.49,87.45
2021-07-31,7.13,28.1,87.28
2021-08-01,4.18,28.2,89.46
2021-08-02,3.39,27.94,89.93
2021-08-03,2.6,28.64,86.29
2021-08-04,2.27,27.16,91.84
2021-08-05,1.89,27.79,87.57
2021-08-06,4.49,29.17,83.04
2021-08-07,2.39,29.74,80.85
2021-08-08,26.86,28.49,89.38
2021-08-09,6.4,28.64,89.32
2021-08-10,7.21,28.88,87.15
2021-08-11,9.91,27.99,92.08
2021-08-12,16.32,27.26,93.85
2021-08-13,92.06,28.03,90.67
2021-08-14,9.91,27.85,91.84
2021-08-15,21.93,28.64,89.42
2021-08-16,3.15,29.2,84.63
2021-08-17,4.49,28.79,85.25
2021-08-18,7.51,28.38,83.57
2021-08-19,8.96,27.49,89.89
2021-08-20,13.02,27.34,90.27
2021-08-21,3.96,27.71,90.1
2021-08-22,10.86,27.57,88.55
2021-08-23,43.8,27.0,94.15
2021-08-24,55.21,27.43,93.36
2021-08-25,23.21,27.66,92.34
2021-08-26,45.69,27.4,93.88
2021-08-27,61.53,26.67,95.98
2021-08-28,5.19,28.32,82.69
2021-08-29,35.22,26.63,92.69
2021-08-30,14.79,25.88,93.14
2021-08-31,5.81,26.88,90.45
2021-09-01,4.39,28.31,84.97
2021-09-02,24.47,28.14,87.44
2021-09-03,21.09,27.08,91.33
2021-09-04,2.38,27.49,90.51
2021-09-05,1.12,28.13,88.83
2021-09-06,2.3,27.99,86.54
2021-09-07,3.09,27.31,90.33
2021-09-08,1.05,26.93,89.77
2021-09-09,1.74,27.12,90.6
2021-09-10,0.64,27.39,89.22
2021-09-11,2.29,27.45,89.47
2021-09-12,0.92,28.4,83.72
2021-09-13,1.97,27.96,88.63
2021-09-14,1.78,26.74,91.31
2021-09-15,26.28,25.2,92.32
2021-09-16,46.32,24.68,90.81
2021-09-17,15.03,25.38,90.02
2021-09-18,0.33,27.34,85.74
2021-09-19,6.84,27.6,88.09
2021-09-20,37.41,27.31,89.74
2021-09-21,7.51,27.42,86.08
2021-09-22,3.4,27.69,83.39
2021-09-23,3.46,26.33,90.82
2021-09-24,2.26,27.0,89.7
2021-09-25,1.49,28.08,83.31
2021-09-26,0.4,28.3,82.87
2021-09-27,1.1,28.01,86.69
2021-09-28,1.22,26.96,87.1
2021-09-29,2.49,26.15,89.59
2021-09-30,1.69,27.1,87.03
2021-10-01,41.33,27.43,85.95
2021-10-02,2.22,27.81,82.6
2021-10-03,12.78,26.77,91.14
2021-10-04,15.77,26.73,90.59
2021-10-05,12.33,26.48,89.82
2021-10-06,1.94,25.98,88.71
2021-10-07,1.43,25.79,89.35
2021-10-08,3.11,24.98,90.4
2021-10-09,1.49,25.54,89.49
2021-10-10,0.09,26.04,84.42
2021-10-11,0.0,26.87,81.24
2021-10-12,0.0,27.56,79.84
2021-10-13,0.0,27.41,82.07
2021-10-14,0.0,27.76,81.02
2021-10-15,0.0,28.04,78.05
2021-10-16,2.29,28.17,78.13
2021-10-17,20.96,26.02,93.67
2021-10-18,44.77,24.81,91.91
2021-10-19,16.66,24.74,87.65
2021-10-20,3.63,24.58,89.37
2021-10-21,2.19,23.21,90.49
2021-10-22,2.4,22.61,89.44
2021-10-23,0.75,22.84,86.8
2021-10-24,1.37,23.39,86.66
2021-10-25,0.0,22.81,85.14
2021-10-26,0.0,21.69,84.84
2021-10-27,0.0,21.3,86.16
2021-10-28,0.0,21.14,86.47
2021-10-29,0.0,20.85,84.8
2021-10-30,0.0,20.99,86.6
2021-10-31,0.0,20.22,86.75
2021-11-01,0.0,20.37,83.15
2021-11-02,0.0,21.4,76.27
2021-11-03,0.0,20.91,77.37
2021-11-04,0.0,19.38,72.4
2021-11-05,0.0,19.55,69.3
2021-11-06,0.0,18.19,80.28
2021-11-07,0.0,18.33,86.08
2021-11-08,0.0,19.77,80.43
2021-11-09,0.0,20.75,75.29
2021-11-10,0.0,21.14,76.46
2021-11-11,0.0,20.22,77.14
2021-11-12,0.0,19.33,78.44
2021-11-13,0.0,18.76,82.7
2021-11-14,0.0,18.72,82.56
2021-11-15,0.0,18.67,79.06
2021-11-16,0.0,18.69,75.15
2021-11-17,0.0,18.22,76.84
2021-11-18,0.0,19.28,75.64
2021-11-19,0.0,18.25,78.68
2021-11-20,0.0,18.64,78.01
2021-11-21,0.0,18.33,81.04
2021-11-22,0.0,17.06,79.15
2021-11-23,0.0,15.72,81.32
2021-11-24,0.0,16.86,82.95
2021-11-25,0.0,17.45,86.73
2021-11-26,0.0,17.46,84.92
2021-11-27,0.0,17.26,82.04
2021-11-28,0.0,17.79,73.97
2021-11-29,0.0,18.04,70.22
2021-11-30,0.0,17.06,74.49
2021-12-01,0.0,18.35,78.5
2021-12-02,0.22,19.56,73.34
2021-12-03,0.26,20.11,74.53
2021-12-04,0.0,19.9,71.34
2021-12-05,0.0,20.73,72.83
2021-12-06,0.38,20.92,77.27
2021-12-07,0.0,18.4,67.93
2021-12-08,0.01,16.9,67.37
2021-12-09,0.0,17.26,66.84
2021-12-10,0.0,16.06,73.36
2021-12-11,0.0,15.27,74.98
2021-12-12,0.0,15.13,76.97
2021-12-13,0.0,14.91,76.05
2021-12-14,0.0,16.2,68.79
2021-12-15,0.0,16.59,64.2
2021-12-16,0.0,15.49,60.24
2021-12-17,0.0,15.79,60.33
2021-12-18,0.0,13.74,63.93
2021-12-19,0.0,11.45,73.93
2021-12-20,0.0,11.3,69.46
2021-12-21,0.0,13.91,62.88
2021-12-22,0.0,14.97,62.13
2021-12-23,0.0,15.23,61.57
2021-12-24,0.0,15.57,60.9
2021-12-25,0.0,16.25,70.07
2021-12-26,0.0,15.89,74.46
2021-12-27,0.22,16.06,64.92
2021-12-28,8.91,15.24,72.3
2021-12-29,17.56,13.55,91.91
2021-12-30,5.27,14.68,87.22
2021-12-31,0.1,14.76,74.29
2022-01-01,0.0,14.05,71.79
2022-01-02,0.0,12.99,71.62
2022-01-03,0.0,12.68,71.26
2022-01-04,0.0,12.79,70.95
2022-01-05,1.17,14.74,67.94
2022-01-06,3.89,15.78,80.66
2022-01-07,0.76,15.94,79.12
2022-01-08,0.94,16.58,76.9
2022-01-09,0.1,17.19,67.41
