,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,14.14,44.55
2021-01-02,0.0,14.75,38.35
2021-01-03,0.25,16.05,39.21
2021-01-04,1.34,16.83,51.1
2021-01-05,0.0,17.18,46.11
2021-01-06,0.0,16.41,52.64
2021-01-07,0.0,16.2,40.33
2021-01-08,0.0,15.46,38.55
2021-01-09,0.0,16.16,40.07
2021-01-10,0.0,15.44,42.1
2021-01-11,0.0,13.64,49.01
2021-01-12,0.0,11.36,50.18
2021-01-13,0.0,9.56,47.67
2021-01-14,0.0,9.84,48.02
2021-01-15,0.0,11.32,46.54
2021-01-16,0.0,11.33,44.75
2021-01-17,0.0,11.43,38.95
2021-01-18,0.0,13.97,41.58
2021-01-19,0.0,12.63,50.07
2021-01-20,0.0,11.31,53.94
2021-01-21,0.0,10.35,50.25
2021-01-22,0.0,10.73,44.08
2021-01-23,0.0,11.47,42.0
2021-01-24,0.0,11.95,41.51
2021-01-25,0.0,11.56,38.11
2021-01-26,0.0,11.55,35.18
2021-01-27,0.0,11.67,33.55
2021-01-28,0.0,12.01,31.82
2021-01-29,0.0,10.98,36.26
2021-01-30,0.0,10.44,35.44
2021-01-31,0.0,10.07,34.81
2021-02-01,0.0,9.95,36.61
2021-02-02,0.0,11.07,36.37
2021-02-03,0.0,12.9,34.6
2021-02-04,0.05,13.72,33.88
2021-02-05,0.17,11.56,53.82
2021-02-06,0.06,11.03,53.83
2021-02-07,0.0,12.59,39.18
2021-02-08,0.0,14.49,30.23
2021-02-09,0.0,14.16,34.86
2021-02-10,0.0,13.8,40.92
2021-02-11,0.0,15.23,36.45
2021-02-12,0.0,14.6,38.51
2021-02-13,0.0,14.77,39.03
2021-02-14,0.2,14.2,42.82
2021-02-15,2.82,14.42,42.71
2021-02-16,1.67,14.29,44.03
2021-02-17,0.81,14.04,42.1
2021-02-18,0.08,14.2,41.46
2021-02-19,0.0,15.31,41.31
2021-02-20,0.0,16.01,35.87
2021-02-21,0.0,16.3,35.88
2021-02-22,0.0,16.86,38.24
2021-02-23,0.0,17.01,37.9
2021-02-24,0.0,17.07,33.9
2021-02-25,0.0,17.42,29.71
2021-02-26,0.0,18.91,28.14
2021-02-27,0.25,18.33,34.84
2021-02-28,0.0,18.96,32.5
2021-03-01,0.51,18.0,25.88
2021-03-02,0.0,16.06,21.95
2021-03-03,0.0,16.07,24.2
2021-03-04,0.0,16.98,25.38
2021-03-05,0.07,17.43,24.1
2021-03-06,0.13,17.79,25.66
2021-03-07,0.15,18.36,26.47
2021-03-08,0.57,17.97,30.13
2021-03-09,2.42,19.02,29.14
2021-03-10,13.78,18.53,39.32
2021-03-11,0.31,18.39,38.51
2021-03-12,0.16,19.07,32.86
2021-03-13,5.0,18.43,42.98
2021-03-14,0.0,17.92,43.49
2021-03-15,0.16,18.95,32.01
2021-03-16,1.2,18.98,32.29
2021-03-17,0.05,19.37,33.75
2021-03-18,1.08,19.34,37.48
2021-03-19,0.95,20.77,31.81
2021-03-20,0.21,20.65,32.88
2021-03-21,0.0,20.19,35.27
2021-03-22,0.0,20.52,33.63
2021-03-23,0.01,21.49,30.01
2021-03-24,0.1,20.45,29.9
2021-03-25,0.02,19.31,28.16
2021-03-26,0.0,20.51,24.63
2021-03-27,0.0,21.07,25.75
2021-03-28,0.0,21.55,30.31
2021-03-29,0.16,21.95,32.82
2021-03-30,0.05,23.25,26.66
2021-03-31,4.96,22.96,24.72
2021-04-01,2.6,20.05,23.16
2021-04-02,0.0,19.74,17.44
2021-04-03,0.0,18.43,16.53
2021-04-04,0.0,19.41,15.22
2021-04-05,0.0,20.9,15.03
2021-04-06,0.0,22.09,18.79
2021-04-07,0.02,23.73,21.96
2021-04-08,0.0,23.44,20.28
2021-04-09,0.0,22.78,17.13
2021-04-10,0.02,22.44,12.53
2021-04-11,0.0,22.71,12.3
2021-04-12,0.0,23.06,15.39
2021-04-13,0.06,23.76,22.29
2021-04-14,0.72,24.58,22.97
2021-04-15,0.86,25.13,24.09
2021-04-16,3.77,23.68,33.14
2021-04-17,5.02,22.96,35.19
2021-04-18,3.22,22.02,36.56
2021-04-19,0.15,22.1,31.9
2021-04-20,0.0,24.09,24.36
2021-04-21,3.69,22.18,38.91
2021-04-22,5.03,20.26,51.87
2021-04-23,0.03,21.87,40.0
2021-04-24,0.0,23.03,32.39
2021-04-25,0.0,23.98,22.82
2021-04-26,0.0,24.55,19.61
2021-04-27,0.0,25.2,23.13
2021-04-28,0.02,25.58,25.89
2021-04-29,0.62,25.39,32.25
2021-04-30,2.65,24.7,38.73
2021-05-01,2.12,23.76,44.58
2021-05-02,0.95,23.91,40.92
2021-05-03,1.69,23.52,38.88
2021-05-04,4.29,21.06,55.67
2021-05-05,15.9,19.5,68.27
2021-05-06,14.2,21.17,62.88
2021-05-07,3.55,23.37,51.81
2021-05-08,0.26,22.2,53.13
2021-05-09,3.09,21.77,53.37
2021-05-10,2.79,22.24,54.11
2021-05-11,5.73,22.19,55.97
2021-05-12,14.73,19.63,68.91
2021-05-13,5.3,19.28,67.3
2021-05-14,0.14,21.14,58.14
2021-05-15,0.52,23.25,49.16
2021-05-16,1.03,24.6,42.93
2021-05-17,0.45,25.41,39.96
2021-05-18,1.18,24.6,41.51
2021-05-19,12.74,22.15,63.61
2021-05-20,34.47,20.12,83.44
2021-05-21,2.19,22.54,75.48
2021-05-22,0.18,23.8,63.75
2021-05-23,0.02,24.7,54.21
2021-05-24,0.05,25.53,50.28
2021-05-25,0.26,26.02,47.87
2021-05-26,3.36,23.59,67.03
2021-05-27,81.26,21.99,83.6
2021-05-28,49.04,21.44,89.9
2021-05-29,61.67,21.29,85.14
2021-05-30,2.67,22.76,83.19
2021-05-31,12.71,23.28,82.01
2021-06-01,4.87,23.12,74.5
2021-06-02,0.05,22.12,72.77
2021-06-03,0.0,23.5,67.78
2021-06-04,5.2,23.68,73.85
2021-06-05,12.08,24.67,71.51
2021-06-06,11.59,24.12,75.8
2021-06-07,6.95,24.64,72.8
2021-06-08,3.03,24.33,72.08
2021-06-09,12.31,23.5,81.49
2021-06-10,16.73,22.43,89.75
2021-06-11,3.48,22.73,88.14
2021-06-12,29.03,22.0,86.75
2021-06-13,25.6,22.11,88.68
2021-06-14,40.83,22.85,85.56
2021-06-15,121.93,21.3,93.38
2021-06-16,22.42,22.57,91.02
2021-06-17,4.44,22.7,91.73
2021-06-18,8.13,22.68,87.15
2021-06-19,15.82,21.99,90.82
2021-06-20,11.95,21.58,93.45
2021-06-21,1.82,22.17,93.35
2021-06-22,6.12,23.1,91.85
2021-06-23,31.18,22.88,92.8
2021-06-24,25.62,22.74,90.47
2021-06-25,35.89,23.08,87.39
2021-06-26,6.28,22.56,90.39
2021-06-27,9.19,21.86,88.64
2021-06-28,40.15,23.03,90.04
2021-06-29,6.12,23.19,93.71
2021-06-30,47.26,23.22,92.01
