,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,14.05,41.12
2021-01-02,0.0,14.63,37.56
2021-01-03,0.02,15.68,37.87
2021-01-04,0.17,16.22,48.07
2021-01-05,0.0,16.8,44.33
2021-01-06,0.0,16.14,49.19
2021-01-07,0.0,15.96,38.75
2021-01-08,0.0,15.26,38.14
2021-01-09,0.0,15.74,40.52
2021-01-10,0.0,15.43,44.92
2021-01-11,0.0,13.91,47.79
2021-01-12,0.0,11.84,50.61
2021-01-13,0.0,10.22,45.0
2021-01-14,0.0,10.52,43.99
2021-01-15,0.0,11.85,43.52
2021-01-16,0.0,11.86,41.41
2021-01-17,0.0,11.89,36.97
2021-01-18,0.0,13.94,40.99
2021-01-19,0.0,12.55,50.17
2021-01-20,0.0,11.28,56.64
2021-01-21,0.0,10.9,46.61
2021-01-22,0.0,11.1,41.93
2021-01-23,0.0,11.91,42.06
2021-01-24,0.0,11.93,42.12
2021-01-25,0.0,11.57,38.33
2021-01-26,0.0,11.57,36.68
2021-01-27,0.0,11.72,32.9
2021-01-28,0.0,11.81,30.84
2021-01-29,0.0,10.92,32.37
2021-01-30,0.0,10.0,34.91
2021-01-31,0.0,10.13,33.7
2021-02-01,0.0,9.83,35.83
2021-02-02,0.0,11.11,35.23
2021-02-03,0.0,12.52,36.36
2021-02-04,0.0,13.47,34.47
2021-02-05,0.21,12.61,46.25
2021-02-06,0.06,11.1,54.02
2021-02-07,0.0,12.13,39.94
2021-02-08,0.0,14.31,29.6
2021-02-09,0.0,14.59,33.21
2021-02-10,0.0,13.72,40.25
2021-02-11,0.0,14.77,38.66
2021-02-12,0.0,14.58,39.86
2021-02-13,0.0,14.45,40.45
2021-02-14,0.55,13.94,44.91
2021-02-15,3.16,13.78,46.35
2021-02-16,1.78,13.75,47.62
2021-02-17,0.88,13.72,44.62
2021-02-18,0.25,14.01,44.91
2021-02-19,0.02,14.8,44.53
2021-02-20,0.0,15.58,37.14
2021-02-21,0.0,16.2,35.43
2021-02-22,0.0,16.47,38.19
2021-02-23,0.0,16.63,39.87
2021-02-24,0.0,16.79,36.02
2021-02-25,0.0,17.09,30.41
2021-02-26,0.01,18.31,29.17
2021-02-27,0.27,17.68,36.48
2021-02-28,0.0,18.11,36.35
2021-03-01,0.56,17.81,30.22
2021-03-02,0.0,15.83,22.29
2021-03-03,0.0,15.85,25.39
2021-03-04,0.0,16.43,27.96
2021-03-05,0.44,17.18,26.44
2021-03-06,0.62,17.66,27.12
2021-03-07,0.17,17.51,29.08
2021-03-08,0.2,17.27,31.21
2021-03-09,8.92,18.57,33.01
2021-03-10,9.03,17.97,41.46
2021-03-11,0.59,18.27,39.6
2021-03-12,0.08,19.08,31.62
2021-03-13,2.61,18.19,37.83
2021-03-14,0.0,17.78,43.98
2021-03-15,0.16,18.51,33.72
2021-03-16,1.42,18.85,32.93
2021-03-17,0.08,18.78,34.8
2021-03-18,1.55,19.05,37.4
2021-03-19,0.84,20.39,33.65
2021-03-20,0.25,20.58,32.41
2021-03-21,0.0,20.09,35.33
2021-03-22,0.0,20.48,34.22
2021-03-23,0.0,21.54,30.51
2021-03-24,0.02,20.69,30.37
2021-03-25,0.0,19.44,27.82
2021-03-26,0.0,20.24,25.24
2021-03-27,0.0,20.68,25.77
2021-03-28,0.0,21.13,30.91
2021-03-29,0.22,21.46,35.46
2021-03-30,0.15,21.96,31.63
2021-03-31,9.11,22.76,28.36
2021-04-01,2.36,19.56,29.2
2021-04-02,0.01,19.3,20.07
2021-04-03,0.0,18.28,19.34
2021-04-04,0.0,19.05,17.87
2021-04-05,0.0,20.63,16.34
2021-04-06,0.0,21.35,20.04
2021-04-07,0.0,22.84,23.81
2021-04-08,0.0,22.98,22.95
2021-04-09,0.06,22.47,19.08
2021-04-10,0.09,22.42,15.34
2021-04-11,0.0,22.85,12.7
2021-04-12,0.0,22.62,15.69
2021-04-13,0.26,22.78,23.63
2021-04-14,0.77,24.13,23.75
2021-04-15,0.48,23.89,26.26
2021-04-16,10.08,22.27,40.68
2021-04-17,3.84,21.79,42.04
2021-04-18,5.01,21.61,38.72
2021-04-19,0.87,21.76,35.16
2021-04-20,0.0,23.14,29.7
2021-04-21,2.98,21.92,38.42
2021-04-22,6.54,20.25,50.97
2021-04-23,0.05,21.61,40.21
2021-04-24,0.0,22.55,34.63
2021-04-25,0.0,23.75,25.02
2021-04-26,0.0,23.96,20.42
2021-04-27,0.0,24.33,25.74
2021-04-28,0.09,24.34,31.28
2021-04-29,1.55,24.34,36.34
2021-04-30,2.97,23.54,44.01
2021-05-01,3.43,22.57,50.48
2021-05-02,3.47,23.07,48.16
2021-05-03,0.93,23.25,41.34
2021-05-04,3.46,21.25,53.69
2021-05-05,12.56,19.84,66.44
2021-05-06,12.93,20.74,64.95
2021-05-07,6.03,22.49,57.39
2021-05-08,0.14,22.29,52.08
2021-05-09,2.06,21.64,52.77
2021-05-10,3.72,21.97,53.66
2021-05-11,6.47,22.05,54.96
2021-05-12,11.49,19.24,68.6
2021-05-13,6.61,19.78,62.64
2021-05-14,0.22,20.97,57.96
2021-05-15,0.91,23.01,50.75
2021-05-16,1.38,24.62,43.34
2021-05-17,0.27,25.31,40.87
