,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.34,43.02
2021-01-02,0.0,15.95,41.05
2021-01-03,0.0,16.93,43.18
2021-01-04,0.0,18.3,47.29
2021-01-05,0.0,19.17,50.2
2021-01-06,0.0,19.12,46.1
2021-01-07,0.0,19.13,43.85
2021-01-08,0.0,17.65,49.17
2021-01-09,0.0,18.14,45.42
2021-01-10,0.0,17.24,54.23
2021-01-11,0.0,15.7,56.77
2021-01-12,0.0,14.18,51.73
2021-01-13,0.0,12.63,43.57
2021-01-14,0.0,12.31,46.96
2021-01-15,0.0,13.34,46.03
2021-01-16,0.0,13.79,42.22
2021-01-17,0.0,13.74,39.36
2021-01-18,0.0,15.63,41.37
2021-01-19,0.0,15.08,50.63
2021-01-20,0.0,13.96,54.93
2021-01-21,0.0,12.74,47.99
2021-01-22,0.0,12.69,44.35
2021-01-23,0.0,14.22,42.97
2021-01-24,0.0,14.76,39.35
2021-01-25,0.0,14.5,38.08
2021-01-26,0.0,13.57,41.37
2021-01-27,0.0,13.27,37.66
2021-01-28,0.0,12.97,37.22
2021-01-29,0.0,13.31,36.31
2021-01-30,0.0,12.39,35.94
2021-01-31,0.0,12.35,35.02
2021-02-01,0.0,12.61,35.12
2021-02-02,0.0,13.72,35.24
2021-02-03,0.0,15.34,35.05
2021-02-04,0.0,16.32,34.05
2021-02-05,0.13,16.46,39.09
2021-02-06,0.31,14.84,51.76
2021-02-07,0.0,14.51,43.28
2021-02-08,0.01,15.56,37.15
2021-02-09,0.0,16.78,34.33
2021-02-10,0.0,16.29,40.51
2021-02-11,0.0,16.69,41.26
2021-02-12,0.0,17.13,40.42
2021-02-13,0.0,16.87,41.46
2021-02-14,0.1,16.94,41.94
2021-02-15,0.86,16.91,41.06
2021-02-16,0.59,17.32,38.87
2021-02-17,0.26,17.46,39.64
2021-02-18,0.55,17.29,46.09
2021-02-19,0.33,17.27,46.71
2021-02-20,0.0,17.95,39.01
2021-02-21,0.0,18.63,34.28
2021-02-22,0.0,18.92,35.53
2021-02-23,0.0,19.31,38.4
2021-02-24,0.0,19.53,35.81
2021-02-25,0.0,19.58,30.97
2021-02-26,0.0,21.26,28.35
2021-02-27,0.07,20.73,33.35
2021-02-28,0.0,21.37,35.95
2021-03-01,0.14,21.58,27.22
2021-03-02,0.0,18.97,21.64
2021-03-03,0.0,19.05,25.53
2021-03-04,0.0,19.56,28.02
2021-03-05,0.16,20.41,25.26
2021-03-06,1.65,20.25,27.93
2021-03-07,0.03,21.15,25.67
2021-03-08,0.01,20.35,29.7
2021-03-09,1.55,21.46,30.78
2021-03-10,3.16,21.94,34.23
2021-03-11,0.55,22.54,33.97
2021-03-12,0.06,22.95,28.06
2021-03-13,0.99,22.02,32.77
2021-03-14,0.08,20.91,42.77
2021-03-15,0.0,21.68,32.76
2021-03-16,0.42,22.44,28.74
2021-03-17,0.01,23.04,27.3
2021-03-18,0.42,22.9,30.52
2021-03-19,0.26,24.45,27.73
2021-03-20,0.07,24.1,29.65
2021-03-21,0.0,23.19,29.46
2021-03-22,0.0,23.92,25.85
2021-03-23,0.0,25.18,25.06
2021-03-24,0.0,24.65,25.6
2021-03-25,0.0,22.55,22.92
2021-03-26,0.0,22.73,22.09
2021-03-27,0.0,24.05,21.67
2021-03-28,0.0,24.72,25.18
2021-03-29,0.15,25.09,29.39
