,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,16.59,54.27
2021-01-02,0.0,16.37,52.25
2021-01-03,0.0,17.91,53.01
2021-01-04,0.0,18.44,58.86
2021-01-05,0.01,19.06,64.43
2021-01-06,0.0,19.5,66.54
2021-01-07,0.0,19.37,66.11
2021-01-08,0.0,18.93,66.7
2021-01-09,0.0,18.93,64.18
2021-01-10,0.0,18.21,72.49
2021-01-11,0.0,18.5,69.51
2021-01-12,0.0,16.43,59.79
2021-01-13,0.0,14.74,52.07
2021-01-14,0.0,14.63,50.74
2021-01-15,0.0,14.94,54.41
2021-01-16,0.01,14.95,49.38
2021-01-17,0.0,16.09,48.19
2021-01-18,0.0,17.48,56.94
2021-01-19,0.04,16.6,69.09
2021-01-20,0.47,15.76,67.25
2021-01-21,0.03,14.99,58.24
2021-01-22,0.0,14.88,51.51
2021-01-23,0.0,15.85,51.69
2021-01-24,0.0,15.81,54.86
2021-01-25,0.0,15.07,56.3
2021-01-26,0.0,15.58,52.31
2021-01-27,0.0,14.84,47.32
2021-01-28,0.0,14.78,43.42
2021-01-29,0.0,15.48,44.18
2021-01-30,0.0,13.76,44.74
2021-01-31,0.0,14.13,42.73
2021-02-01,0.0,14.58,40.64
2021-02-02,0.0,15.56,40.35
2021-02-03,0.0,16.77,44.22
2021-02-04,0.0,18.45,41.43
2021-02-05,0.0,18.76,41.75
2021-02-06,0.31,15.98,63.06
2021-02-07,0.03,15.87,61.1
2021-02-08,0.0,17.12,45.21
2021-02-09,0.0,18.02,42.84
2021-02-10,0.0,18.29,42.16
2021-02-11,0.0,19.13,43.66
2021-02-12,0.0,19.21,47.0
2021-02-13,0.0,19.25,48.08
2021-02-14,0.0,19.39,48.59
2021-02-15,0.0,19.65,41.8
2021-02-16,0.03,19.35,41.66
2021-02-17,0.14,19.37,41.84
2021-02-18,1.01,20.24,50.18
2021-02-19,0.36,20.61,47.74
2021-02-20,0.0,20.83,40.69
2021-02-21,0.0,20.62,38.54
2021-02-22,0.0,20.96,36.43
2021-02-23,0.0,21.44,37.05
2021-02-24,0.01,21.61,40.65
2021-02-25,0.13,21.79,35.72
2021-02-26,0.19,21.96,36.17
2021-02-27,0.58,22.78,35.77
2021-02-28,0.34,23.92,37.01
2021-03-01,0.06,24.23,33.0
2021-03-02,0.0,21.93,26.53
2021-03-03,0.0,21.94,23.81
2021-03-04,0.01,22.15,27.76
2021-03-05,0.16,22.66,29.54
2021-03-06,0.01,23.34,25.3
2021-03-07,0.1,23.53,26.13
2021-03-08,0.06,23.32,30.97
2021-03-09,0.1,23.81,33.8
2021-03-10,1.51,24.27,33.72
2021-03-11,1.31,25.11,33.06
2021-03-12,0.11,25.74,28.51
2021-03-13,0.6,25.0,30.33
2021-03-14,1.43,24.45,38.89
2021-03-15,0.01,24.42,35.53
2021-03-16,0.0,25.1,28.21
2021-03-17,0.0,25.67,27.04
2021-03-18,0.0,26.24,27.89
2021-03-19,0.0,27.12,27.07
2021-03-20,0.0,27.18,27.62
2021-03-21,0.0,26.86,24.16
2021-03-22,0.0,27.37,20.95
2021-03-23,0.0,28.47,20.84
2021-03-24,0.02,29.86,21.29
2021-03-25,0.0,27.6,17.35
2021-03-26,0.0,26.36,16.39
2021-03-27,0.0,27.37,17.1
2021-03-28,0.01,28.47,18.42
2021-03-29,0.08,29.31,17.34
2021-03-30,0.38,27.92,26.13
2021-03-31,1.59,28.27,25.73
2021-04-01,0.85,28.22,14.44
2021-04-02,0.01,27.63,11.82
2021-04-03,0.0,27.61,11.4
2021-04-04,0.0,27.11,10.56
2021-04-05,0.0,27.28,14.21
2021-04-06,0.0,28.13,20.57
2021-04-07,0.0,28.5,27.18
2021-04-08,1.88,29.4,31.82
2021-04-09,0.32,28.98,27.86
2021-04-10,0.04,29.48,18.11
2021-04-11,0.01,30.1,11.37
2021-04-12,0.0,30.19,11.17
2021-04-13,0.0,30.86,13.55
2021-04-14,0.0,32.01,15.57
2021-04-15,0.2,30.52,21.63
2021-04-16,7.67,29.03,35.02
2021-04-17,5.4,27.4,52.57
2021-04-18,0.57,27.15,46.08
2021-04-19,0.24,28.52,28.82
2021-04-20,0.0,29.22,24.54
2021-04-21,2.29,27.64,42.74
2021-04-22,15.84,25.65,60.3
2021-04-23,1.94,27.75,42.93
2021-04-24,0.04,29.57,32.59
2021-04-25,0.0,30.14,28.04
2021-04-26,0.0,29.61,26.82
2021-04-27,0.0,30.56,25.39
2021-04-28,0.3,30.49,30.47
2021-04-29,2.67,30.2,42.65
2021-04-30,0.66,31.03,41.59
2021-05-01,5.15,29.36,51.98
2021-05-02,1.03,29.5,51.2
2021-05-03,22.74,28.83,52.06
2021-05-04,24.9,26.15,64.0
2021-05-05,3.35,25.36,67.84
2021-05-06,5.85,26.2,65.11
2021-05-07,13.96,26.56,67.7
2021-05-08,5.55,27.75,58.73
2021-05-09,15.53,26.46,65.44
2021-05-10,10.51,26.87,58.15
2021-05-11,12.99,27.52,55.13
2021-05-12,14.05,25.71,68.47
2021-05-13,2.97,26.11,63.7
2021-05-14,0.9,27.42,55.24
2021-05-15,0.06,29.05,49.31
2021-05-16,1.17,30.13,46.08
2021-05-17,1.07,30.88,47.97
2021-05-18,1.04,30.61,39.59
2021-05-19,0.15,28.73,47.41
2021-05-20,14.37,27.0,70.06
2021-05-21,3.48,27.26,80.05
2021-05-22,0.39,29.47,60.61
2021-05-23,0.11,30.62,57.43
2021-05-24,1.98,31.93,50.12
2021-05-25,2.72,28.61,67.15
2021-05-26,12.02,28.29,74.27
2021-05-27,50.24,25.19,83.95
2021-05-28,31.09,26.54,81.95
2021-05-29,22.8,28.16,76.17
2021-05-30,11.54,28.73,77.88
2021-05-31,3.65,28.34,81.15
2021-06-01,1.83,28.67,74.92
2021-06-02,1.42,27.99,73.74
2021-06-03,0.05,28.83,69.37
2021-06-04,0.74,29.47,71.1
2021-06-05,1.93,29.6,70.79
2021-06-06,2.48,29.26,70.68
2021-06-07,6.75,29.73,72.27
2021-06-08,21.43,29.6,73.01
2021-06-09,9.91,28.56,79.82
2021-06-10,1.56,28.26,79.32
2021-06-11,6.4,27.37,81.98
