,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,2.94,42.09
2021-01-02,0.0,3.26,37.86
2021-01-03,1.46,4.82,50.31
2021-01-04,2.48,3.75,68.1
2021-01-05,0.13,3.71,64.98
2021-01-06,0.0,2.61,80.49
2021-01-07,0.0,2.59,46.08
2021-01-08,0.0,2.66,41.75
2021-01-09,0.0,3.92,44.96
2021-01-10,0.0,4.26,36.35
2021-01-11,0.0,3.1,39.91
2021-01-12,0.0,2.61,40.56
2021-01-13,0.0,4.05,34.38
2021-01-14,0.0,4.68,35.19
2021-01-15,0.0,5.63,38.65
2021-01-16,0.0,4.74,34.85
2021-01-17,0.0,4.34,34.78
2021-01-18,0.0,3.33,49.61
2021-01-19,0.0,1.1,59.61
2021-01-20,0.0,0.78,57.53
2021-01-21,0.0,1.98,37.38
2021-01-22,0.0,3.39,34.23
2021-01-23,0.0,3.53,36.01
2021-01-24,0.0,0.34,48.42
2021-01-25,0.0,-0.49,45.23
2021-01-26,0.0,-0.1,36.39
2021-01-27,0.0,0.62,32.92
2021-01-28,0.0,0.4,34.35
2021-01-29,0.0,-1.84,45.02
2021-01-30,0.0,-1.72,45.73
2021-01-31,0.0,0.58,36.58
2021-02-01,0.0,1.01,38.52
2021-02-02,0.0,1.78,38.2
2021-02-03,0.0,0.77,43.27
2021-02-04,0.01,-0.24,51.97
2021-02-05,0.18,-2.29,81.78
2021-02-06,0.35,-2.36,72.35
2021-02-07,0.0,1.7,35.48
2021-02-08,0.0,3.66,30.68
2021-02-09,0.0,4.65,37.39
2021-02-10,0.0,3.33,51.08
2021-02-11,0.0,2.81,47.78
2021-02-12,0.0,3.73,45.46
2021-02-13,0.0,4.14,46.78
2021-02-14,0.15,2.62,57.68
2021-02-15,4.33,1.3,60.75
2021-02-16,1.76,0.28,64.48
2021-02-17,1.04,0.32,58.04
2021-02-18,0.05,-0.68,71.34
2021-02-19,0.0,0.76,69.94
2021-02-20,0.0,3.15,49.03
2021-02-21,0.0,4.83,49.94
2021-02-22,0.0,5.64,52.06
2021-02-23,0.0,5.05,54.26
2021-02-24,0.0,5.06,44.56
2021-02-25,0.0,4.25,43.82
2021-02-26,0.01,5.05,45.04
2021-02-27,0.31,5.08,54.81
2021-02-28,0.0,4.7,45.39
2021-03-01,0.62,4.51,37.4
2021-03-02,0.04,3.77,31.84
2021-03-03,0.0,4.33,37.19
2021-03-04,0.0,3.83,42.63
2021-03-05,0.14,3.16,45.96
2021-03-06,0.06,3.62,48.1
2021-03-07,0.32,4.2,53.6
2021-03-08,1.59,4.35,58.95
2021-03-09,5.68,4.6,52.33
2021-03-10,14.51,3.6,55.88
2021-03-11,1.03,2.37,60.63
2021-03-12,0.25,4.23,47.03
2021-03-13,2.99,4.2,57.75
2021-03-14,0.0,4.18,52.8
2021-03-15,0.81,5.27,43.95
2021-03-16,0.95,4.82,48.36
2021-03-17,0.28,4.78,55.14
2021-03-18,1.18,5.71,52.35
2021-03-19,1.25,5.77,48.13
2021-03-20,0.29,5.4,56.04
2021-03-21,0.0,6.2,60.37
2021-03-22,0.0,6.89,56.4
2021-03-23,0.05,7.02,49.35
2021-03-24,0.35,6.02,50.12
2021-03-25,0.03,5.5,45.42
2021-03-26,0.0,7.37,38.15
2021-03-27,0.0,8.09,41.09
2021-03-28,0.02,7.05,54.58
2021-03-29,0.2,6.85,67.71
2021-03-30,0.17,8.4,46.49
2021-03-31,7.21,7.88,46.68
2021-04-01,2.96,4.69,42.01
2021-04-02,0.0,4.16,32.31
2021-04-03,0.0,3.38,29.65
2021-04-04,0.0,4.98,28.68
2021-04-05,0.0,7.3,26.88
2021-04-06,0.0,7.54,43.1
2021-04-07,0.08,8.26,46.46
2021-04-08,0.0,8.36,39.31
2021-04-09,0.0,7.71,32.96
2021-04-10,0.01,7.64,27.17
2021-04-11,0.0,8.26,26.0
2021-04-12,0.0,8.46,32.4
2021-04-13,0.03,7.52,49.67
2021-04-14,1.06,9.61,38.96
2021-04-15,0.91,9.48,49.06
2021-04-16,4.25,8.62,56.53
2021-04-17,6.89,7.89,55.93
2021-04-18,4.4,6.9,58.25
2021-04-19,0.15,7.34,48.61
2021-04-20,0.03,9.19,39.2
2021-04-21,4.33,6.93,67.82
2021-04-22,6.27,5.77,75.69
2021-04-23,0.06,7.03,60.48
2021-04-24,0.0,7.56,53.0
2021-04-25,0.0,8.58,38.2
2021-04-26,0.0,9.88,34.76
2021-04-27,0.0,10.91,43.54
2021-04-28,0.01,10.33,52.6
2021-04-29,0.99,10.02,60.74
2021-04-30,2.77,9.48,66.84
2021-05-01,2.35,9.35,72.98
2021-05-02,1.1,9.87,63.67
2021-05-03,2.26,9.38,66.82
2021-05-04,5.31,7.98,82.01
2021-05-05,11.12,7.74,86.44
2021-05-06,10.71,8.32,84.58
2021-05-07,2.67,9.31,77.38
2021-05-08,0.18,8.79,73.85
2021-05-09,2.06,8.35,80.94
2021-05-10,3.79,9.05,79.2
2021-05-11,4.83,8.59,84.89
2021-05-12,9.66,7.35,88.62
2021-05-13,6.43,7.19,81.48
2021-05-14,0.39,8.27,79.8
2021-05-15,0.88,10.03,67.12
2021-05-16,0.96,10.94,63.91
2021-05-17,0.76,12.11,55.13
2021-05-18,1.24,10.89,64.01
2021-05-19,5.56,11.07,77.33
2021-05-20,20.31,10.79,86.4
2021-05-21,3.04,12.05,82.38
2021-05-22,0.3,12.16,75.34
2021-05-23,0.07,12.3,74.88
2021-05-24,0.17,11.83,64.89
2021-05-25,0.2,12.02,58.25
2021-05-26,3.57,12.99,64.35
2021-05-27,57.2,13.1,84.24
2021-05-28,37.09,12.1,92.07
2021-05-29,53.61,11.6,88.07
2021-05-30,2.46,12.59,89.14
2021-05-31,7.14,13.08,84.32
2021-06-01,4.02,12.2,85.32
2021-06-02,0.05,11.38,78.14
2021-06-03,0.0,11.92,77.63
2021-06-04,6.06,12.68,79.22
2021-06-05,16.46,12.86,83.13
2021-06-06,14.3,13.07,85.23
2021-06-07,8.68,13.4,84.91
2021-06-08,1.8,13.66,80.83
2021-06-09,10.86,14.76,78.42
2021-06-10,17.18,13.6,89.37
2021-06-11,5.95,13.06,91.14
2021-06-12,35.16,12.83,86.72
2021-06-13,24.25,12.79,86.08
2021-06-14,28.83,13.04,88.15
2021-06-15,108.12,12.22,94.17
2021-06-16,20.97,13.11,94.91
2021-06-17,7.35,13.6,92.8
2021-06-18,10.08,13.46,88.02
2021-06-19,17.81,13.23,91.56
2021-06-20,14.86,12.99,91.93
2021-06-21,2.03,13.76,90.61
2021-06-22,10.86,14.38,91.2
2021-06-23,23.54,13.07,90.0
2021-06-24,22.03,13.15,89.92
2021-06-25,31.5,13.46,89.3
2021-06-26,6.58,13.62,87.86
2021-06-27,9.33,13.39,90.44
2021-06-28,39.41,14.62,89.56
2021-06-29,6.01,15.8,92.3
2021-06-30,34.13,15.11,92.12
2021-07-01,23.05,14.68,91.9
2021-07-02,23.12,14.5,89.89
2021-07-03,66.64,14.71,86.86
2021-07-04,65.18,14.52,90.29
2021-07-05,21.76,14.88,91.14
2021-07-06,3.59,15.71,91.24
2021-07-07,4.57,14.83,94.66
2021-07-08,34.08,14.03,94.56
2021-07-09,2.54,13.91,90.85
2021-07-10,4.3,14.12,91.12
2021-07-11,2.64,12.96,91.93
2021-07-12,17.59,13.42,95.15
2021-07-13,4.45,14.16,90.2
2021-07-14,4.09,14.1,94.94
2021-07-15,2.1,14.12,89.84
2021-07-16,24.24,14.27,95.22
2021-07-17,42.03,14.56,95.61
2021-07-18,12.15,14.93,95.3
2021-07-19,23.98,14.3,96.03
2021-07-20,20.94,14.04,96.47
2021-07-21,30.5,13.31,94.28
2021-07-22,36.02,14.21,93.99
2021-07-23,11.75,14.76,92.07
2021-07-24,4.75,15.32,86.32
2021-07-25,13.39,15.68,94.23
2021-07-26,13.19,15.02,94.24
2021-07-27,6.36,14.74,93.24
2021-07-28,26.59,15.06,90.8
2021-07-29,13.36,14.17,89.49
2021-07-30,14.77,14.84,87.29
2021-07-31,3.02,14.36,90.33
2021-08-01,0.94,14.45,93.78
2021-08-02,4.27,14.83,88.82
2021-08-03,6.57,14.99,91.39
2021-08-04,6.47,14.17,93.59
2021-08-05,5.34,13.63,90.56
2021-08-06,1.24,14.12,83.93
2021-08-07,8.91,13.87,88.77
2021-08-08,20.45,13.81,86.83
2021-08-09,18.21,14.49,90.43
2021-08-10,1.32,15.04,88.61
2021-08-11,3.85,14.89,93.62
2021-08-12,17.76,14.5,84.71
2021-08-13,36.61,14.88,91.42
2021-08-14,21.49,14.93,93.95
2021-08-15,51.95,14.58,97.16
2021-08-16,14.9,14.69,93.17
2021-08-17,31.54,15.28,92.71
2021-08-18,20.89,14.28,95.21
2021-08-19,21.49,13.86,90.19
2021-08-20,5.72,13.39,94.91
2021-08-21,12.49,13.68,93.54
2021-08-22,39.4,14.25,92.52
2021-08-23,88.58,12.75,98.42
2021-08-24,94.55,13.17,92.94
2021-08-25,8.62,14.07,91.8
2021-08-26,34.91,14.78,96.3
2021-08-27,56.24,13.73,98.28
2021-08-28,8.92,12.71,94.36
2021-08-29,46.15,12.78,95.1
2021-08-30,26.63,11.8,94.37
2021-08-31,14.13,12.82,92.04
2021-09-01,14.96,13.54,94.17
2021-09-02,99.99,13.95,92.11
2021-09-03,12.06,13.89,93.45
2021-09-04,11.36,14.32,93.17
2021-09-05,7.79,14.8,93.85
2021-09-06,17.24,13.84,95.26
2021-09-07,8.38,12.72,93.98
2021-09-08,4.71,12.24,94.53
2021-09-09,0.97,12.6,93.3
2021-09-10,0.9,12.78,88.13
2021-09-11,2.9,12.74,87.65
2021-09-12,2.65,12.97,89.26
2021-09-13,4.51,12.69,85.47
2021-09-14,0.99,12.81,82.45
2021-09-15,5.59,11.97,88.97
2021-09-16,14.31,11.4,86.7
2021-09-17,9.62,12.21,88.33
2021-09-18,0.03,13.73,85.92
2021-09-19,11.64,14.41,88.24
2021-09-20,39.32,14.16,92.72
2021-09-21,10.9,12.79,94.94
2021-09-22,20.63,11.92,97.2
2021-09-23,1.0,11.97,87.85
2021-09-24,1.21,12.68,91.22
2021-09-25,2.57,12.26,91.95
2021-09-26,2.42,12.27,89.21
2021-09-27,3.54,12.23,88.16
2021-09-28,5.9,11.62,86.42
2021-09-29,7.14,12.78,79.44
2021-09-30,2.64,12.4,93.63
2021-10-01,4.91,11.88,91.38
2021-10-02,0.49,11.86,95.62
2021-10-03,7.81,12.46,91.06
2021-10-04,19.37,12.78,89.62
2021-10-05,16.06,12.39,86.05
2021-10-06,5.59,12.06,84.77
2021-10-07,16.58,12.72,82.41
2021-10-08,20.6,12.56,85.45
2021-10-09,6.85,12.27,87.27
2021-10-10,0.31,11.7,84.45
2021-10-11,0.05,11.95,76.41
2021-10-12,0.0,11.89,79.46
2021-10-13,0.0,11.66,64.48
2021-10-14,0.0,11.91,63.98
2021-10-15,0.0,12.13,73.1
2021-10-16,2.05,12.03,78.53
2021-10-17,5.89,10.89,93.93
2021-10-18,53.42,9.76,92.74
2021-10-19,38.69,10.22,91.92
2021-10-20,11.5,10.58,88.14
2021-10-21,20.29,8.63,81.09
2021-10-22,6.28,9.87,89.2
2021-10-23,4.62,9.12,90.14
2021-10-24,10.55,8.66,86.8
2021-10-25,0.02,6.72,81.57
2021-10-26,0.01,6.95,86.52
2021-10-27,0.0,5.93,86.56
2021-10-28,0.0,5.88,76.09
