,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,8.36,47.01
2021-01-02,0.0,8.35,43.85
2021-01-03,0.0,9.69,48.04
2021-01-04,0.0,10.63,55.91
2021-01-05,0.0,10.14,62.08
2021-01-06,0.0,9.99,64.49
2021-01-07,0.0,9.41,55.7
2021-01-08,0.0,8.96,49.04
2021-01-09,0.0,9.09,52.02
2021-01-10,0.0,9.17,54.61
2021-01-11,0.0,8.42,54.73
2021-01-12,0.0,7.26,58.33
2021-01-13,0.0,6.9,54.71
2021-01-14,0.0,7.47,51.82
2021-01-15,0.0,8.54,49.83
2021-01-16,0.0,7.61,51.83
2021-01-17,0.0,7.81,45.43
2021-01-18,0.0,8.28,51.38
2021-01-19,0.06,6.13,70.91
2021-01-20,0.0,5.51,72.27
2021-01-21,0.0,6.46,53.87
2021-01-22,0.0,7.28,44.42
2021-01-23,0.0,7.41,50.53
2021-01-24,0.0,6.06,49.75
2021-01-25,0.0,5.09,43.48
2021-01-26,0.0,5.2,41.58
2021-01-27,0.0,5.83,35.22
2021-01-28,0.0,6.08,32.63
2021-01-29,0.0,4.91,36.29
2021-01-30,0.0,3.44,42.36
2021-01-31,0.0,5.02,41.65
2021-02-01,0.0,5.02,44.67
2021-02-02,0.0,6.28,41.93
2021-02-03,0.0,6.46,42.53
2021-02-04,0.0,6.82,37.89
2021-02-05,0.01,6.49,49.44
2021-02-06,0.62,4.99,71.25
2021-02-07,0.11,5.81,54.48
2021-02-08,0.03,8.6,35.23
2021-02-09,0.0,9.55,39.82
2021-02-10,0.0,8.51,49.04
2021-02-11,0.0,7.96,54.3
2021-02-12,0.0,8.82,54.55
2021-02-13,0.0,8.92,54.37
2021-02-14,0.0,8.41,54.5
2021-02-15,0.03,7.91,55.37
2021-02-16,0.24,7.82,47.72
2021-02-17,0.08,7.79,48.58
2021-02-18,1.22,7.1,59.02
2021-02-19,1.3,7.24,68.31
2021-02-20,0.0,8.95,53.26
2021-02-21,0.0,10.35,44.07
2021-02-22,0.0,10.59,46.79
2021-02-23,0.0,10.41,51.99
2021-02-24,0.0,10.07,50.46
2021-02-25,0.0,10.17,43.55
2021-02-26,0.17,11.07,43.36
2021-02-27,0.75,10.34,48.57
2021-02-28,0.25,10.83,51.32
2021-03-01,0.08,10.97,42.6
2021-03-02,0.0,9.43,29.23
2021-03-03,0.0,10.22,32.91
2021-03-04,0.06,9.34,43.12
2021-03-05,0.44,9.54,43.3
2021-03-06,0.37,10.05,41.02
2021-03-07,0.01,10.22,44.56
2021-03-08,0.12,10.39,45.85
2021-03-09,0.8,11.22,44.45
2021-03-10,1.84,11.52,45.34
2021-03-11,2.18,11.08,47.64
2021-03-12,0.09,12.05,39.86
2021-03-13,0.11,11.89,41.31
2021-03-14,0.58,11.42,56.13
2021-03-15,0.03,12.21,46.08
2021-03-16,0.0,12.25,39.55
2021-03-17,0.0,12.46,41.06
2021-03-18,0.0,12.47,43.83
2021-03-19,0.0,13.34,43.05
2021-03-20,0.0,13.52,43.27
2021-03-21,0.0,13.04,46.18
2021-03-22,0.0,13.41,42.76
2021-03-23,0.01,14.08,40.44
2021-03-24,0.03,13.66,44.47
2021-03-25,0.0,12.29,36.43
2021-03-26,0.0,13.79,31.42
2021-03-27,0.0,14.63,31.84
2021-03-28,0.0,13.9,39.39
2021-03-29,0.11,13.64,47.33
2021-03-30,2.34,13.91,49.61
2021-03-31,5.3,14.03,42.09
2021-04-01,1.6,12.62,33.94
2021-04-02,0.06,12.54,25.15
2021-04-03,0.0,12.0,24.56
2021-04-04,0.0,12.51,22.14
2021-04-05,0.0,14.11,21.06
2021-04-06,0.0,14.53,26.77
2021-04-07,0.1,15.47,32.46
2021-04-08,0.12,15.49,33.37
2021-04-09,0.05,14.72,30.16
2021-04-10,0.06,14.84,26.4
2021-04-11,0.02,15.43,21.2
2021-04-12,0.0,15.57,23.66
2021-04-13,0.0,15.47,32.92
2021-04-14,0.09,16.43,35.68
2021-04-15,0.06,15.75,37.7
2021-04-16,9.98,15.42,46.75
2021-04-17,2.14,14.5,49.99
2021-04-18,1.11,13.99,46.33
2021-04-19,0.58,14.53,45.73
2021-04-20,0.01,15.66,37.87
