,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.11,35.98
2021-01-02,0.0,15.82,29.76
2021-01-03,0.43,16.87,37.48
2021-01-04,3.97,17.57,49.84
2021-01-05,0.0,17.95,41.12
2021-01-06,0.0,17.25,46.88
2021-01-07,0.0,16.18,35.03
2021-01-08,0.0,16.76,27.46
2021-01-09,0.0,16.87,31.85
2021-01-10,0.0,16.57,31.69
2021-01-11,0.0,15.26,31.52
2021-01-12,0.0,12.94,38.89
2021-01-13,0.0,11.3,40.18
2021-01-14,0.0,10.91,43.62
2021-01-15,0.0,12.65,40.79
2021-01-16,0.0,13.21,37.91
2021-01-17,0.0,12.62,34.76
2021-01-18,0.0,14.51,36.58
2021-01-19,0.0,13.72,41.91
2021-01-20,0.0,12.56,46.28
2021-01-21,0.0,12.28,38.78
2021-01-22,0.0,11.93,38.83
2021-01-23,0.0,12.85,35.39
2021-01-24,0.0,12.83,35.36
2021-01-25,0.0,12.02,33.73
2021-01-26,0.0,12.33,30.37
2021-01-27,0.0,12.64,28.67
2021-01-28,0.0,12.47,29.39
2021-01-29,0.0,11.1,37.23
2021-01-30,0.0,11.55,32.38
2021-01-31,0.0,10.96,33.08
2021-02-01,0.0,11.52,32.9
2021-02-02,0.0,12.54,32.23
2021-02-03,0.0,13.72,31.39
2021-02-04,0.35,14.39,32.45
2021-02-05,0.17,11.26,56.63
2021-02-06,0.27,11.25,50.54
2021-02-07,0.0,13.49,36.27
2021-02-08,0.0,15.48,28.89
2021-02-09,0.0,15.49,33.42
2021-02-10,0.0,14.89,39.93
2021-02-11,0.0,15.32,36.03
2021-02-12,0.0,15.26,36.85
2021-02-13,0.0,15.28,38.48
2021-02-14,0.01,14.83,41.97
2021-02-15,1.19,15.06,39.75
2021-02-16,0.75,15.4,37.86
2021-02-17,0.35,14.98,34.27
2021-02-18,0.01,14.15,41.04
2021-02-19,0.0,15.38,41.52
2021-02-20,0.0,16.16,35.56
2021-02-21,0.0,16.38,36.76
2021-02-22,0.0,17.52,38.08
2021-02-23,0.0,17.92,35.54
2021-02-24,0.0,17.7,33.04
2021-02-25,0.0,18.17,28.95
2021-02-26,0.0,18.54,31.64
2021-02-27,0.1,19.14,33.72
2021-02-28,0.0,19.01,33.43
2021-03-01,0.21,17.56,26.9
2021-03-02,0.0,16.46,22.64
2021-03-03,0.0,17.08,25.02
2021-03-04,0.0,17.31,27.12
2021-03-05,0.0,17.53,25.82
2021-03-06,0.01,17.91,27.33
2021-03-07,0.03,19.15,27.38
2021-03-08,1.08,18.87,31.68
2021-03-09,0.06,19.49,30.42
2021-03-10,6.44,19.25,35.73
2021-03-11,0.06,19.41,33.82
2021-03-12,0.11,19.86,29.5
2021-03-13,4.72,18.81,44.01
2021-03-14,0.0,18.31,41.47
2021-03-15,0.03,19.29,30.07
2021-03-16,0.5,19.44,29.77
2021-03-17,0.01,20.38,29.29
2021-03-18,0.39,20.36,31.65
2021-03-19,0.39,21.28,29.21
2021-03-20,0.09,20.66,31.34
2021-03-21,0.0,20.49,30.98
2021-03-22,0.0,21.05,29.36
2021-03-23,0.03,21.7,28.54
2021-03-24,0.2,20.47,30.16
2021-03-25,0.04,19.26,28.1
2021-03-26,0.0,20.59,24.03
2021-03-27,0.0,21.86,24.79
2021-03-28,0.0,22.02,28.79
2021-03-29,0.06,22.38,30.13
2021-03-30,0.02,23.85,24.34
2021-03-31,0.6,22.79,20.96
2021-04-01,1.73,20.74,14.61
2021-04-02,0.0,20.39,13.19
2021-04-03,0.0,19.04,11.98
2021-04-04,0.0,20.28,11.51
2021-04-05,0.0,21.92,12.36
2021-04-06,0.0,23.65,15.78
2021-04-07,0.05,25.16,18.86
2021-04-08,0.0,24.11,18.47
2021-04-09,0.0,23.06,15.88
2021-04-10,0.0,22.71,10.86
2021-04-11,0.0,23.04,11.72
2021-04-12,0.0,23.33,15.85
2021-04-13,0.0,24.34,21.69
2021-04-14,0.25,25.31,20.54
2021-04-15,0.57,25.96,22.57
2021-04-16,0.38,25.22,25.53
2021-04-17,3.12,24.63,26.11
2021-04-18,1.85,23.08,31.14
2021-04-19,0.01,22.93,27.35
2021-04-20,0.01,24.77,20.36
2021-04-21,6.12,22.42,40.58
2021-04-22,6.39,20.46,52.91
2021-04-23,0.01,22.32,36.24
2021-04-24,0.0,23.75,30.6
2021-04-25,0.0,24.45,21.39
2021-04-26,0.0,24.9,20.25
2021-04-27,0.0,25.86,22.13
2021-04-28,0.0,26.48,24.32
2021-04-29,0.27,26.11,29.07
2021-04-30,1.2,25.74,33.95
2021-05-01,1.19,25.44,36.07
2021-05-02,0.41,24.9,33.88
2021-05-03,4.58,23.87,38.22
2021-05-04,3.46,21.78,55.11
2021-05-05,18.02,20.23,65.54
2021-05-06,10.32,22.5,57.52
2021-05-07,3.16,24.35,46.03
2021-05-08,0.34,23.26,47.34
2021-05-09,6.03,22.63,50.87
2021-05-10,1.98,23.28,50.45
2021-05-11,8.66,22.47,55.92
2021-05-12,22.39,20.97,63.51
2021-05-13,3.26,20.35,63.13
2021-05-14,0.2,21.95,53.81
2021-05-15,0.08,24.32,42.84
2021-05-16,0.29,25.13,39.28
2021-05-17,0.52,26.26,34.74
2021-05-18,1.42,25.48,38.26
2021-05-19,20.62,22.57,64.68
2021-05-20,41.74,20.68,83.2
2021-05-21,6.98,22.74,75.46
2021-05-22,0.07,24.25,59.71
2021-05-23,0.02,24.87,51.58
2021-05-24,0.01,25.54,49.96
2021-05-25,0.07,26.26,47.45
2021-05-26,5.01,24.63,63.36
2021-05-27,42.8,22.88,77.7
2021-05-28,65.82,21.61,86.51
2021-05-29,56.63,21.68,84.76
2021-05-30,2.98,23.1,80.78
2021-05-31,15.9,23.71,78.19
2021-06-01,5.33,23.62,70.54
2021-06-02,0.05,22.69,66.67
2021-06-03,0.0,24.16,63.96
2021-06-04,1.74,24.77,65.29
2021-06-05,3.85,25.02,69.02
2021-06-06,6.19,24.61,72.95
2021-06-07,2.85,25.24,68.43
2021-06-08,2.48,25.01,68.55
2021-06-09,10.77,24.41,79.99
2021-06-10,11.4,23.21,85.77
2021-06-11,3.36,23.12,88.23
2021-06-12,19.29,22.57,88.33
2021-06-13,38.09,22.7,88.74
2021-06-14,55.82,23.06,87.13
2021-06-15,86.95,22.11,93.96
2021-06-16,20.16,23.27,89.66
2021-06-17,13.12,22.62,92.85
2021-06-18,11.32,23.04,86.47
2021-06-19,14.67,22.25,89.94
2021-06-20,11.07,21.96,91.91
2021-06-21,1.59,22.91,91.79
2021-06-22,3.19,23.82,88.33
2021-06-23,22.41,23.24,95.19
2021-06-24,23.54,23.12,90.03
2021-06-25,28.76,23.27,87.57
2021-06-26,6.55,23.0,88.66
2021-06-27,9.32,22.15,87.28
2021-06-28,23.69,23.5,86.51
2021-06-29,1.84,23.34,92.28
2021-06-30,32.15,24.47,82.17
2021-07-01,19.54,24.91,80.04
2021-07-02,19.85,24.04,84.24
2021-07-03,44.64,23.79,85.96
2021-07-04,17.51,23.45,84.57
2021-07-05,20.38,23.6,88.94
2021-07-06,1.15,23.73,91.17
2021-07-07,4.42,23.91,90.58
2021-07-08,21.82,23.64,92.48
2021-07-09,3.34,22.92,92.15
2021-07-10,6.6,23.19,91.93
2021-07-11,1.22,22.37,90.82
2021-07-12,22.77,22.68,93.27
2021-07-13,1.89,23.67,85.98
2021-07-14,2.12,23.16,92.24
2021-07-15,1.05,23.15,90.63
2021-07-16,31.18,22.76,93.4
2021-07-17,38.1,22.24,95.87
2021-07-18,35.09,22.98,94.42
2021-07-19,26.81,22.91,93.43
2021-07-20,60.35,22.7,94.71
2021-07-21,30.93,22.59,92.13
2021-07-22,19.44,22.81,93.12
2021-07-23,7.24,24.67,86.87
2021-07-24,6.65,24.66,83.67
2021-07-25,12.41,24.05,91.65
2021-07-26,12.48,23.35,89.7
2021-07-27,13.36,23.93,88.12
2021-07-28,19.61,24.24,86.48
2021-07-29,11.03,23.03,91.83
2021-07-30,10.74,23.63,87.06
2021-07-31,3.72,23.34,86.42
2021-08-01,2.44,23.27,91.2
2021-08-02,1.9,22.92,92.61
