,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,16.61,43.71
2021-01-02,0.0,17.47,43.91
2021-01-03,0.0,17.2,54.04
2021-01-04,0.0,19.28,54.35
2021-01-05,0.0,20.87,56.28
2021-01-06,0.0,21.01,52.94
2021-01-07,0.0,20.61,54.98
2021-01-08,0.0,19.76,56.62
2021-01-09,0.0,20.26,52.33
2021-01-10,0.0,19.43,62.66
2021-01-11,0.0,17.68,61.68
2021-01-12,0.0,15.18,54.46
2021-01-13,0.0,13.94,46.07
2021-01-14,0.0,14.36,47.17
2021-01-15,0.0,14.91,48.51
2021-01-16,0.0,15.34,44.41
2021-01-17,0.0,15.27,42.23
2021-01-18,0.0,17.18,45.14
2021-01-19,0.0,17.39,51.59
2021-01-20,0.0,16.23,53.94
2021-01-21,0.0,14.37,48.93
2021-01-22,0.0,15.31,44.43
2021-01-23,0.0,15.9,46.21
2021-01-24,0.0,16.14,46.01
2021-01-25,0.0,16.57,44.42
2021-01-26,0.0,15.37,48.94
2021-01-27,0.0,14.3,44.09
2021-01-28,0.0,14.44,43.04
2021-01-29,0.0,15.05,40.82
2021-01-30,0.0,13.52,42.49
2021-01-31,0.0,14.21,38.58
2021-02-01,0.0,14.7,36.89
2021-02-02,0.0,15.75,36.91
2021-02-03,0.0,17.82,36.01
2021-02-04,0.0,18.9,35.92
2021-02-05,0.08,19.21,39.2
2021-02-06,0.21,18.19,48.34
2021-02-07,0.01,16.78,45.98
2021-02-08,0.0,17.04,43.37
2021-02-09,0.0,17.89,40.07
2021-02-10,0.0,18.51,40.82
2021-02-11,0.0,19.28,41.47
2021-02-12,0.0,19.17,42.6
2021-02-13,0.0,19.37,41.22
2021-02-14,0.0,19.35,39.42
2021-02-15,0.2,19.49,38.54
2021-02-16,0.2,19.89,37.25
2021-02-17,0.1,20.86,38.99
2021-02-18,0.49,20.62,43.71
2021-02-19,0.41,21.12,42.35
2021-02-20,0.0,21.01,36.99
2021-02-21,0.0,20.32,36.04
2021-02-22,0.0,20.85,35.78
2021-02-23,0.0,22.33,35.6
2021-02-24,0.0,22.68,34.42
2021-02-25,0.0,22.15,31.65
2021-02-26,0.0,23.61,29.01
2021-02-27,0.02,23.75,30.9
2021-02-28,0.0,24.51,34.14
2021-03-01,0.03,25.1,25.71
2021-03-02,0.01,21.79,22.49
2021-03-03,0.0,22.44,23.41
2021-03-04,0.0,22.9,25.43
2021-03-05,0.0,23.58,24.0
2021-03-06,0.81,23.01,26.16
2021-03-07,0.06,24.55,22.01
2021-03-08,0.0,24.0,25.68
2021-03-09,0.0,24.77,27.45
2021-03-10,1.02,25.9,28.05
2021-03-11,0.62,26.34,30.29
2021-03-12,0.03,26.66,25.03
2021-03-13,0.46,25.41,30.17
2021-03-14,0.37,24.67,38.87
2021-03-15,0.0,24.74,29.55
2021-03-16,0.09,25.33,25.92
2021-03-17,0.03,26.02,24.57
2021-03-18,0.07,26.67,24.82
2021-03-19,0.1,27.79,24.61
2021-03-20,0.04,27.93,27.36
2021-03-21,0.0,26.96,23.18
2021-03-22,0.0,27.82,19.5
2021-03-23,0.0,29.61,19.1
2021-03-24,0.0,29.78,20.34
2021-03-25,0.0,27.47,16.84
2021-03-26,0.0,26.51,16.93
2021-03-27,0.0,27.29,17.96
2021-03-28,0.0,28.73,19.08
2021-03-29,0.04,29.71,21.67
2021-03-30,0.25,29.78,24.08
2021-03-31,0.91,29.45,18.02
2021-04-01,1.71,27.0,12.39
2021-04-02,0.18,27.12,11.92
2021-04-03,0.0,27.24,9.74
2021-04-04,0.0,27.34,8.87
2021-04-05,0.0,27.76,10.21
2021-04-06,0.0,28.91,13.01
2021-04-07,0.0,30.91,16.32
2021-04-08,0.0,31.25,15.61
2021-04-09,0.0,31.06,13.71
2021-04-10,0.12,30.61,11.47
2021-04-11,0.0,30.72,8.71
2021-04-12,0.0,30.2,10.48
2021-04-13,0.0,31.4,15.51
2021-04-14,0.04,32.76,15.0
2021-04-15,0.03,32.51,15.89
2021-04-16,4.99,32.4,20.96
2021-04-17,4.03,30.72,30.68
2021-04-18,2.24,29.65,30.84
2021-04-19,0.75,29.65,25.43
2021-04-20,0.04,30.96,19.12
2021-04-21,10.95,29.05,37.04
2021-04-22,10.35,27.67,49.85
2021-04-23,1.71,28.87,36.76
2021-04-24,0.0,31.35,27.42
2021-04-25,0.0,31.16,23.17
2021-04-26,0.0,30.66,20.06
2021-04-27,0.0,31.55,21.48
2021-04-28,0.0,31.87,22.56
2021-04-29,0.69,31.1,32.34
2021-04-30,0.35,31.75,33.68
2021-05-01,1.1,31.39,35.66
2021-05-02,6.58,31.02,41.57
2021-05-03,1.59,30.28,38.85
2021-05-04,1.31,29.64,40.74
2021-05-05,12.58,27.39,55.1
2021-05-06,1.96,29.01,49.54
2021-05-07,13.48,29.43,52.28
2021-05-08,4.94,29.79,47.0
2021-05-09,2.85,29.45,45.16
2021-05-10,3.84,29.58,44.98
2021-05-11,3.12,30.7,38.31
2021-05-12,19.27,27.39,51.43
