,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,9.77,31.62
2021-01-02,0.01,9.84,33.13
2021-01-03,10.31,11.4,54.57
2021-01-04,0.66,11.38,52.5
2021-01-05,0.15,11.47,50.41
2021-01-06,0.14,10.23,62.31
2021-01-07,0.0,9.27,38.42
2021-01-08,0.0,10.18,25.44
2021-01-09,0.0,11.14,31.95
2021-01-10,0.0,11.6,29.32
2021-01-11,0.0,10.73,27.6
2021-01-12,0.0,8.86,36.14
2021-01-13,0.0,8.24,40.18
2021-01-14,0.0,8.2,42.07
2021-01-15,0.0,9.4,42.28
2021-01-16,0.0,9.57,40.71
2021-01-17,0.0,8.92,35.31
2021-01-18,0.0,8.88,37.04
2021-01-19,0.0,7.98,52.81
2021-01-20,0.0,6.97,56.53
2021-01-21,0.0,8.64,35.02
2021-01-22,0.0,8.53,34.49
2021-01-23,0.0,8.56,35.61
2021-01-24,0.0,6.92,41.62
2021-01-25,0.0,6.27,32.98
2021-01-26,0.0,7.13,28.65
2021-01-27,0.0,7.43,27.31
2021-01-28,0.0,7.92,26.39
2021-01-29,0.0,6.14,38.93
2021-01-30,0.0,5.56,39.16
2021-01-31,0.0,5.86,37.73
2021-02-01,0.0,6.22,39.6
2021-02-02,0.0,7.49,38.31
2021-02-03,0.0,7.61,37.19
2021-02-04,0.39,8.36,43.88
2021-02-05,0.6,4.79,74.89
2021-02-06,0.39,5.41,56.19
2021-02-07,0.0,8.27,37.59
2021-02-08,0.0,10.66,30.68
2021-02-09,0.0,11.22,36.85
2021-02-10,0.0,9.66,46.84
2021-02-11,0.0,9.81,41.13
2021-02-12,0.0,10.3,41.07
2021-02-13,0.0,9.83,47.61
2021-02-14,0.0,9.64,50.68
2021-02-15,0.22,9.06,52.44
2021-02-16,0.18,9.68,42.44
2021-02-17,0.06,8.78,38.85
2021-02-18,0.0,7.27,55.11
2021-02-19,0.0,9.26,48.23
2021-02-20,0.0,10.31,43.07
2021-02-21,0.0,11.42,43.02
2021-02-22,0.0,12.08,48.39
2021-02-23,0.0,12.28,46.41
2021-02-24,0.0,12.0,40.74
2021-02-25,0.0,11.9,37.36
2021-02-26,0.0,12.86,38.2
2021-02-27,0.02,12.46,47.75
2021-02-28,0.0,12.49,44.44
2021-03-01,0.04,11.42,30.66
2021-03-02,0.0,11.11,26.11
2021-03-03,0.0,11.47,32.74
2021-03-04,0.0,11.42,33.88
2021-03-05,0.0,11.55,32.55
2021-03-06,0.0,12.31,34.46
2021-03-07,0.01,12.85,39.19
2021-03-08,2.98,13.15,46.4
2021-03-09,0.0,13.03,42.0
2021-03-10,1.06,13.16,40.26
2021-03-11,0.03,12.95,40.59
2021-03-12,0.02,14.02,33.24
2021-03-13,1.3,13.3,46.66
2021-03-14,0.0,12.36,48.32
2021-03-15,0.0,13.47,36.28
2021-03-16,0.08,13.47,35.29
2021-03-17,0.0,14.3,36.64
2021-03-18,0.06,14.33,37.25
2021-03-19,0.06,14.6,33.46
2021-03-20,0.03,14.39,37.57
2021-03-21,0.0,14.46,42.72
2021-03-22,0.0,14.93,41.39
2021-03-23,0.15,15.16,38.95
2021-03-24,0.48,13.54,42.85
2021-03-25,0.13,12.95,38.65
2021-03-26,0.0,15.22,32.47
2021-03-27,0.0,15.85,34.63
2021-03-28,0.0,15.61,40.78
2021-03-29,0.01,15.6,45.26
2021-03-30,0.0,17.09,34.59
2021-03-31,0.03,16.5,29.76
2021-04-01,0.25,15.2,17.25
2021-04-02,0.0,14.12,18.03
2021-04-03,0.0,12.55,19.1
2021-04-04,0.0,14.26,19.97
2021-04-05,0.0,16.3,21.28
2021-04-06,0.0,17.54,30.18
2021-04-07,0.16,18.24,32.19
2021-04-08,0.0,17.5,28.6
2021-04-09,0.0,16.48,22.68
2021-04-10,0.0,16.44,17.23
2021-04-11,0.0,16.62,20.92
2021-04-12,0.0,17.25,26.68
2021-04-13,0.0,18.05,32.52
2021-04-14,0.03,18.63,30.13
2021-04-15,0.1,19.3,32.25
2021-04-16,0.01,19.28,31.41
2021-04-17,3.4,17.46,38.16
2021-04-18,2.05,16.0,42.63
2021-04-19,0.0,16.49,36.48
2021-04-20,0.19,18.44,27.85
2021-04-21,7.09,14.45,60.39
2021-04-22,13.56,14.17,61.14
2021-04-23,0.06,15.86,39.34
2021-04-24,0.12,17.39,39.96
2021-04-25,0.0,17.84,26.91
2021-04-26,0.0,18.79,26.24
2021-04-27,0.0,19.58,30.44
2021-04-28,0.0,20.31,33.87
2021-04-29,0.2,19.95,36.07
2021-04-30,0.19,19.04,45.13
2021-05-01,0.92,19.44,44.17
2021-05-02,1.85,18.45,43.64
2021-05-03,12.86,17.36,54.31
2021-05-04,6.41,16.24,64.36
2021-05-05,19.01,14.92,75.14
2021-05-06,9.52,16.88,62.71
2021-05-07,0.53,18.12,53.71
2021-05-08,0.33,17.14,55.04
2021-05-09,5.63,16.4,61.86
2021-05-10,2.84,16.64,65.43
2021-05-11,10.26,15.52,74.68
2021-05-12,22.07,15.11,72.58
2021-05-13,4.12,14.59,75.51
2021-05-14,0.33,15.93,66.62
2021-05-15,0.02,17.93,55.32
2021-05-16,0.02,18.88,48.15
2021-05-17,0.27,20.27,41.45
2021-05-18,1.41,18.96,48.27
2021-05-19,8.25,17.64,67.17
2021-05-20,43.56,17.38,80.1
2021-05-21,18.8,18.2,80.32
2021-05-22,0.02,18.59,62.92
2021-05-23,0.09,19.0,59.04
2021-05-24,0.0,19.57,56.98
2021-05-25,0.06,20.3,54.06
2021-05-26,4.9,19.97,63.71
2021-05-27,4.56,19.84,60.93
2021-05-28,47.9,18.57,78.54
2021-05-29,21.55,18.82,81.79
2021-05-30,2.48,19.14,80.48
2021-05-31,10.67,19.28,77.38
2021-06-01,5.02,18.41,73.14
2021-06-02,0.01,17.9,67.64
2021-06-03,0.02,18.65,66.64
2021-06-04,0.41,19.71,66.53
2021-06-05,0.71,20.34,69.3
2021-06-06,3.51,19.96,75.84
2021-06-07,1.11,20.64,71.38
2021-06-08,1.55,20.31,74.57
2021-06-09,4.18,20.9,80.28
2021-06-10,9.72,19.04,87.63
2021-06-11,8.13,19.11,87.98
2021-06-12,20.87,19.16,88.51
2021-06-13,35.0,19.82,81.55
2021-06-14,25.74,19.49,85.72
2021-06-15,41.48,18.78,90.69
2021-06-16,24.39,19.45,86.98
2021-06-17,27.91,18.86,90.44
2021-06-18,18.47,19.39,85.49
2021-06-19,21.43,19.26,85.83
2021-06-20,19.63,19.25,83.95
2021-06-21,2.73,20.18,88.08
2021-06-22,2.42,20.43,90.18
2021-06-23,22.89,20.03,87.31
2021-06-24,7.46,19.61,84.9
2021-06-25,26.67,19.96,85.11
2021-06-26,13.74,20.17,84.49
2021-06-27,11.28,19.44,86.7
2021-06-28,4.88,20.32,89.52
2021-06-29,0.3,20.25,89.68
2021-06-30,6.12,20.5,81.11
2021-07-01,4.32,20.22,83.74
2021-07-02,11.03,19.9,84.35
2021-07-03,10.12,20.04,84.92
2021-07-04,5.0,19.85,83.04
2021-07-05,5.64,20.34,87.65
2021-07-06,0.13,20.61,88.86
2021-07-07,0.4,20.66,87.32
2021-07-08,9.61,20.04,88.05
2021-07-09,2.26,19.9,88.86
2021-07-10,10.26,19.77,94.18
2021-07-11,0.49,19.55,86.46
2021-07-12,6.51,19.37,90.72
2021-07-13,2.75,20.28,82.86
2021-07-14,2.9,19.51,90.65
2021-07-15,1.85,20.16,88.4
2021-07-16,18.77,19.58,92.74
2021-07-17,15.47,19.26,94.73
2021-07-18,30.11,18.96,94.68
2021-07-19,17.67,19.28,92.3
2021-07-20,56.6,19.61,91.66
2021-07-21,12.54,19.35,92.34
2021-07-22,11.06,19.98,90.31
2021-07-23,19.2,20.76,88.15
2021-07-24,9.01,20.78,88.82
2021-07-25,18.49,20.89,88.19
2021-07-26,20.44,19.96,89.52
2021-07-27,7.71,19.74,89.96
2021-07-28,11.88,20.1,90.82
2021-07-29,18.04,19.58,92.53
2021-07-30,7.17,19.89,83.52
2021-07-31,3.89,19.75,87.05
2021-08-01,2.75,20.04,87.91
2021-08-02,0.25,20.18,89.36
2021-08-03,0.36,20.43,87.47
2021-08-04,1.45,19.72,90.78
2021-08-05,5.27,19.87,85.65
2021-08-06,1.36,20.36,82.42
2021-08-07,5.67,20.28,84.6
2021-08-08,25.62,19.87,90.45
2021-08-09,8.83,20.26,85.9
2021-08-10,8.11,20.18,88.16
2021-08-11,6.9,20.25,92.44
2021-08-12,7.21,20.54,87.89
2021-08-13,29.08,20.21,91.88
2021-08-14,11.62,19.84,91.55
2021-08-15,27.58,20.14,92.77
2021-08-16,5.47,20.21,89.79
2021-08-17,2.99,20.12,89.88
2021-08-18,8.79,19.59,91.95
2021-08-19,7.7,19.76,88.06
2021-08-20,8.82,19.47,89.85
2021-08-21,6.7,19.21,91.03
2021-08-22,4.53,19.04,93.22
2021-08-23,27.51,17.42,93.86
2021-08-24,43.48,18.54,92.12
2021-08-25,14.7,18.91,89.36
2021-08-26,9.78,19.0,92.22
2021-08-27,63.82,18.91,94.96
2021-08-28,5.09,18.13,92.58
2021-08-29,19.18,17.77,94.79
2021-08-30,22.8,18.3,88.06
2021-08-31,24.16,18.75,88.85
2021-09-01,1.49,18.76,90.28
2021-09-02,10.25,19.02,89.47
2021-09-03,4.39,18.32,92.35
2021-09-04,1.85,19.16,90.15
2021-09-05,0.88,19.96,90.16
2021-09-06,13.73,19.08,92.69
2021-09-07,7.75,18.66,88.37
2021-09-08,7.28,18.02,91.65
2021-09-09,1.49,18.51,89.12
2021-09-10,4.24,19.09,82.53
2021-09-11,16.31,19.03,86.77
2021-09-12,6.13,19.01,86.37
2021-09-13,10.71,19.29,84.72
2021-09-14,5.29,19.07,82.86
2021-09-15,9.73,18.73,86.96
2021-09-16,21.06,17.91,84.81
2021-09-17,2.05,17.96,86.28
2021-09-18,0.25,18.64,89.67
2021-09-19,5.31,19.33,91.0
2021-09-20,14.0,19.65,87.02
2021-09-21,17.58,18.35,93.64
2021-09-22,2.59,17.26,92.78
2021-09-23,2.24,18.2,85.91
2021-09-24,4.57,18.39,86.84
2021-09-25,3.41,17.56,90.57
2021-09-26,1.4,18.38,88.16
2021-09-27,0.8,18.49,82.83
2021-09-28,2.65,17.96,84.06
2021-09-29,0.84,18.6,81.85
2021-09-30,0.99,18.38,91.92
2021-10-01,3.37,17.22,92.24
2021-10-02,0.06,18.0,89.13
2021-10-03,8.92,17.51,89.97
2021-10-04,2.64,18.27,88.89
2021-10-05,3.13,17.98,81.86
2021-10-06,0.52,17.75,81.67
2021-10-07,0.31,18.14,83.35
2021-10-08,1.07,18.19,83.9
2021-10-09,0.22,18.24,83.49
2021-10-10,0.01,17.74,81.69
2021-10-11,0.0,18.05,77.64
2021-10-12,0.0,18.33,76.58
2021-10-13,0.0,18.43,71.52
2021-10-14,0.0,18.67,69.89
2021-10-15,0.0,18.4,62.32
2021-10-16,11.85,18.03,71.88
2021-10-17,19.09,17.87,80.84
2021-10-18,44.98,16.29,90.71
2021-10-19,34.93,16.54,88.72
2021-10-20,7.55,17.24,83.42
2021-10-21,1.12,16.3,84.59
2021-10-22,0.18,16.09,84.13
2021-10-23,0.14,15.06,85.82
2021-10-24,0.49,14.55,81.47
2021-10-25,0.0,14.31,71.26
2021-10-26,0.0,13.95,77.35
2021-10-27,0.0,13.23,78.06
2021-10-28,0.0,13.39,66.89
2021-10-29,0.0,13.12,70.27
2021-10-30,0.0,13.06,71.67
2021-10-31,0.0,12.11,77.35
2021-11-01,0.0,11.99,76.47
2021-11-02,0.0,11.06,79.3
2021-11-03,0.0,10.64,58.68
2021-11-04,0.0,10.16,53.17
2021-11-05,0.0,10.71,56.9
2021-11-06,0.0,11.47,58.98
2021-11-07,0.0,11.57,55.89
2021-11-08,0.0,11.36,52.16
2021-11-09,0.0,11.8,53.56
2021-11-10,0.0,11.38,65.39
2021-11-11,0.0,11.3,65.6
2021-11-12,0.0,11.36,62.35
2021-11-13,0.0,11.74,59.5
2021-11-14,0.0,12.01,52.17
2021-11-15,0.0,10.9,59.69
2021-11-16,0.0,9.95,51.7
2021-11-17,0.0,11.49,52.99
2021-11-18,0.0,12.55,54.66
2021-11-19,0.0,12.51,64.64
2021-11-20,0.03,12.93,56.14
2021-11-21,0.0,12.3,62.95
2021-11-22,0.0,10.63,55.43
2021-11-23,0.0,10.38,55.83
2021-11-24,0.0,9.73,73.09
2021-11-25,0.0,8.94,79.12
2021-11-26,0.0,9.22,81.74
2021-11-27,0.0,8.68,81.87
2021-11-28,0.0,9.18,66.19
2021-11-29,0.0,9.41,63.08
2021-11-30,0.0,10.78,51.33
2021-12-01,0.0,11.55,50.41
2021-12-02,8.07,12.74,64.9
2021-12-03,0.93,10.99,77.34
2021-12-04,0.0,12.45,58.63
2021-12-05,0.0,11.52,70.7
2021-12-06,1.08,9.39,78.5
2021-12-07,0.0,8.57,55.36
2021-12-08,0.0,10.23,51.23
2021-12-09,0.0,9.31,62.94
2021-12-10,0.0,8.0,61.07
2021-12-11,0.0,7.75,55.68
2021-12-12,0.0,7.46,65.91
2021-12-13,0.0,8.73,43.46
2021-12-14,0.0,8.9,48.13
2021-12-15,0.0,7.32,50.72
2021-12-16,0.0,7.32,36.1
2021-12-17,0.0,6.72,44.76
2021-12-18,0.0,5.51,61.71
2021-12-19,0.0,4.59,53.92
2021-12-20,0.0,6.66,42.08
2021-12-21,0.0,7.08,50.98
2021-12-22,0.0,6.13,51.74
2021-12-23,0.0,6.41,52.93
2021-12-24,0.0,5.93,68.11
2021-12-25,0.0,5.7,78.91
2021-12-26,0.0,5.17,75.79
2021-12-27,0.01,5.34,72.96
2021-12-28,2.4,4.54,75.97
2021-12-29,15.15,3.18,89.74
2021-12-30,2.43,4.6,82.35
2021-12-31,0.0,5.11,56.04
2022-01-01,0.0,6.2,52.32
2022-01-02,0.0,6.69,49.23
2022-01-03,0.0,8.31,49.93
2022-01-04,0.0,8.31,54.16
2022-01-05,3.01,7.7,69.27
2022-01-06,6.15,6.65,86.1
2022-01-07,0.22,7.74,73.31
2022-01-08,1.54,6.79,75.07
2022-01-09,0.65,7.17,65.16
2022-01-10,0.62,7.56,65.79
2022-01-11,0.05,6.15,69.08
2022-01-12,1.15,5.72,77.05
2022-01-13,0.0,5.31,67.75
2022-01-14,0.0,5.8,53.45
2022-01-15,0.0,5.37,53.67
2022-01-16,0.0,5.85,45.69
2022-01-17,0.0,8.29,48.96
2022-01-18,0.0,7.16,67.27
2022-01-19,0.0,6.2,76.3
2022-01-20,0.08,5.64,84.47
2022-01-21,0.16,4.92,82.72
2022-01-22,0.25,4.0,75.53
2022-01-23,8.81,5.24,78.92
2022-01-24,6.27,4.54,85.23
2022-01-25,1.01,5.21,73.61
2022-01-26,2.42,4.07,84.07
2022-01-27,0.0,3.44,80.37
2022-01-28,0.0,4.23,68.46
2022-01-29,0.0,6.55,60.44
2022-01-30,0.0,7.15,64.18
2022-01-31,0.0,5.91,71.22
2022-02-01,0.0,4.3,75.59
2022-02-02,0.04,5.93,64.65
2022-02-03,23.29,5.89,72.89
2022-02-04,25.95,3.62,87.2
2022-02-05,0.02,2.11,65.82
2022-02-06,0.0,4.65,58.59
2022-02-07,6.02,6.4,71.87
2022-02-08,0.27,5.99,80.17
2022-02-09,4.17,4.82,83.11
2022-02-10,0.43,5.67,83.44
2022-02-11,0.0,5.61,69.68
2022-02-12,0.0,7.04,55.91
2022-02-13,0.0,7.31,75.56
2022-02-14,0.0,7.5,70.67
2022-02-15,0.0,6.95,82.66
2022-02-16,0.0,6.4,77.82
2022-02-17,0.0,6.63,74.72
2022-02-18,0.0,7.09,61.64
2022-02-19,0.17,6.27,65.86
2022-02-20,0.53,4.85,74.87
2022-02-21,0.0,5.64,75.23
2022-02-22,0.0,7.83,70.97
2022-02-23,1.22,9.01,69.0
2022-02-24,0.12,8.17,63.59
2022-02-25,0.39,7.21,67.92
