,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,17.44,43.84
2021-01-02,0.0,17.78,40.59
2021-01-03,0.0,17.56,46.87
2021-01-04,0.27,19.77,51.57
2021-01-05,0.0,20.95,50.35
2021-01-06,0.0,21.96,44.26
2021-01-07,0.0,21.3,44.0
2021-01-08,0.0,19.87,42.31
2021-01-09,0.0,20.35,46.47
2021-01-10,0.0,19.18,53.62
2021-01-11,0.0,17.19,52.85
2021-01-12,0.0,15.05,48.95
2021-01-13,0.0,13.54,46.4
2021-01-14,0.0,13.84,47.85
2021-01-15,0.0,14.81,46.59
2021-01-16,0.0,15.16,44.06
2021-01-17,0.0,14.91,39.87
2021-01-18,0.0,16.87,41.75
2021-01-19,0.0,17.09,47.79
2021-01-20,0.0,16.0,48.81
2021-01-21,0.0,14.02,48.73
2021-01-22,0.0,15.03,43.15
2021-01-23,0.0,15.5,41.66
2021-01-24,0.0,16.04,41.55
2021-01-25,0.0,16.3,39.64
2021-01-26,0.0,15.74,38.01
2021-01-27,0.0,15.07,37.31
2021-01-28,0.0,15.17,36.99
2021-01-29,0.0,15.26,36.68
2021-01-30,0.0,14.26,36.72
2021-01-31,0.0,13.87,36.72
2021-02-01,0.0,14.25,36.02
2021-02-02,0.0,15.38,35.84
2021-02-03,0.0,17.48,34.41
2021-02-04,0.08,18.47,34.19
2021-02-05,0.22,18.56,40.88
2021-02-06,0.01,17.32,46.09
2021-02-07,0.0,16.61,40.73
2021-02-08,0.0,17.33,36.95
2021-02-09,0.0,18.26,35.45
2021-02-10,0.0,18.57,38.36
2021-02-11,0.0,18.9,38.88
2021-02-12,0.0,18.63,39.9
2021-02-13,0.0,19.05,36.84
2021-02-14,0.04,19.38,37.01
2021-02-15,1.24,19.4,38.05
2021-02-16,0.9,20.09,36.96
2021-02-17,0.41,20.28,36.16
2021-02-18,0.13,20.54,35.44
2021-02-19,0.04,21.22,34.92
2021-02-20,0.0,21.26,31.66
2021-02-21,0.0,21.05,30.83
2021-02-22,0.0,21.47,33.2
2021-02-23,0.0,22.24,32.51
2021-02-24,0.0,22.36,30.35
2021-02-25,0.0,23.26,25.24
2021-02-26,0.0,24.3,24.03
2021-02-27,0.11,24.73,26.32
2021-02-28,0.0,25.61,28.03
2021-03-01,0.23,25.59,20.63
2021-03-02,0.01,21.93,17.57
2021-03-03,0.0,22.5,19.14
2021-03-04,0.0,22.78,21.21
2021-03-05,0.01,24.86,16.71
2021-03-06,0.1,24.05,18.85
2021-03-07,0.05,24.79,18.36
2021-03-08,0.08,24.04,22.76
2021-03-09,0.27,25.39,22.52
2021-03-10,7.14,25.0,32.9
2021-03-11,0.39,26.13,30.88
2021-03-12,0.12,26.34,25.47
2021-03-13,5.28,24.97,37.14
2021-03-14,0.5,23.57,41.11
2021-03-15,0.0,24.38,29.39
2021-03-16,0.62,25.28,26.53
2021-03-17,0.03,25.94,26.31
2021-03-18,0.49,26.18,27.76
2021-03-19,0.48,28.34,23.91
2021-03-20,0.12,27.79,24.37
2021-03-21,0.0,27.19,21.93
2021-03-22,0.0,28.01,19.64
2021-03-23,0.0,29.46,19.63
2021-03-24,0.01,29.03,19.59
2021-03-25,0.0,27.21,17.66
2021-03-26,0.0,26.24,18.22
2021-03-27,0.0,26.92,19.02
2021-03-28,0.0,28.26,21.47
2021-03-29,0.07,29.45,22.26
2021-03-30,0.01,30.44,20.29
2021-03-31,0.85,29.33,15.99
2021-04-01,2.3,26.56,12.91
2021-04-02,0.1,26.87,11.55
2021-04-03,0.0,26.45,9.56
2021-04-04,0.0,26.82,8.85
2021-04-05,0.0,27.64,9.66
2021-04-06,0.0,28.97,12.06
2021-04-07,0.0,31.22,13.73
2021-04-08,0.0,31.11,14.57
2021-04-09,0.0,30.29,12.83
2021-04-10,0.01,30.14,8.83
2021-04-11,0.0,29.63,8.7
2021-04-12,0.0,30.14,11.38
2021-04-13,0.01,31.42,15.83
2021-04-14,0.3,31.95,16.92
2021-04-15,0.22,32.41,17.47
2021-04-16,2.04,31.56,22.54
2021-04-17,2.31,30.76,25.9
2021-04-18,2.19,30.37,24.51
2021-04-19,0.17,30.16,21.61
2021-04-20,0.01,31.85,16.22
2021-04-21,5.93,30.44,26.45
2021-04-22,3.07,28.03,40.93
2021-04-23,0.64,29.05,32.24
2021-04-24,0.0,30.97,24.59
2021-04-25,0.0,30.77,18.36
2021-04-26,0.0,31.01,15.87
2021-04-27,0.0,31.72,16.94
2021-04-28,0.02,32.59,18.14
2021-04-29,0.13,32.4,24.0
2021-04-30,1.68,32.48,27.99
2021-05-01,1.33,31.78,31.78
2021-05-02,0.7,31.6,30.62
2021-05-03,1.09,30.91,28.95
2021-05-04,2.0,29.95,35.85
2021-05-05,17.69,26.99,53.6
2021-05-06,9.0,28.8,48.83
2021-05-07,7.75,29.43,49.48
2021-05-08,1.94,29.85,42.45
2021-05-09,4.58,29.3,42.74
2021-05-10,2.77,29.26,44.05
2021-05-11,8.79,30.09,43.03
2021-05-12,14.72,27.26,53.94
2021-05-13,7.06,27.35,50.95
2021-05-14,0.18,28.74,44.7
2021-05-15,0.1,30.11,41.02
2021-05-16,0.42,31.53,36.37
2021-05-17,0.36,31.91,34.1
2021-05-18,0.79,31.63,32.48
2021-05-19,26.73,27.41,60.03
2021-05-20,41.87,25.18,80.35
2021-05-21,3.16,28.19,68.62
2021-05-22,0.1,30.19,55.33
2021-05-23,0.0,30.24,47.81
2021-05-24,0.0,31.26,44.67
2021-05-25,0.15,32.02,45.26
2021-05-26,1.89,29.97,61.89
2021-05-27,89.99,26.58,82.03
2021-05-28,60.85,26.6,85.72
2021-05-29,56.47,26.54,82.48
2021-05-30,3.37,28.25,79.94
2021-05-31,15.69,29.1,75.77
2021-06-01,6.43,29.87,66.49
2021-06-02,1.35,28.39,67.29
2021-06-03,0.0,29.75,64.48
2021-06-04,1.92,29.81,70.39
2021-06-05,4.62,29.94,69.54
2021-06-06,5.29,29.1,75.75
2021-06-07,3.33,30.17,69.74
2021-06-08,2.71,30.32,66.55
2021-06-09,11.77,29.49,72.93
2021-06-10,10.63,28.41,81.11
2021-06-11,1.57,28.76,80.42
2021-06-12,17.36,28.41,79.92
2021-06-13,19.01,27.0,87.58
2021-06-14,55.87,28.06,83.86
2021-06-15,102.8,26.42,93.58
2021-06-16,25.23,27.79,86.3
2021-06-17,4.31,27.77,87.2
2021-06-18,6.07,27.31,86.38
2021-06-19,13.44,27.05,87.87
2021-06-20,7.31,26.39,92.58
2021-06-21,2.29,27.12,90.37
2021-06-22,3.85,28.09,89.18
2021-06-23,24.32,28.22,90.08
2021-06-24,30.97,28.18,85.12
2021-06-25,23.36,28.57,80.4
2021-06-26,9.03,27.22,88.58
2021-06-27,6.55,26.89,88.78
2021-06-28,26.63,28.06,86.81
2021-06-29,7.35,27.57,91.29
2021-06-30,44.43,28.07,86.69
2021-07-01,27.22,28.41,85.89
2021-07-02,37.49,28.42,89.27
2021-07-03,49.59,28.37,87.37
2021-07-04,31.97,28.22,82.1
2021-07-05,24.78,28.56,83.41
2021-07-06,2.63,28.65,84.88
2021-07-07,11.95,28.27,88.04
2021-07-08,26.05,27.95,90.0
2021-07-09,4.55,27.89,89.3
2021-07-10,5.77,27.93,90.07
2021-07-11,2.03,27.58,88.18
2021-07-12,28.73,27.94,87.77
2021-07-13,2.12,28.98,84.16
2021-07-14,2.74,27.84,89.0
2021-07-15,1.4,28.1,86.8
2021-07-16,21.14,27.89,85.99
2021-07-17,45.31,26.66,91.96
2021-07-18,28.16,28.0,88.88
2021-07-19,44.49,28.1,87.6
2021-07-20,32.16,27.46,91.53
2021-07-21,40.5,27.62,87.67
2021-07-22,20.17,27.52,90.26
2021-07-23,4.12,29.43,84.14
2021-07-24,2.11,28.94,84.61
2021-07-25,5.8,29.17,85.7
2021-07-26,5.5,28.73,86.01
2021-07-27,7.77,29.0,85.45
2021-07-28,21.27,28.52,88.01
2021-07-29,11.17,28.34,87.47
2021-07-30,12.32,28.77,85.0
2021-07-31,5.88,27.72,88.38
2021-08-01,2.54,27.94,89.04
2021-08-02,4.67,27.85,89.33
2021-08-03,9.36,28.63,84.37
2021-08-04,6.96,26.66,92.22
2021-08-05,2.35,27.85,86.62
2021-08-06,4.45,29.26,82.11
2021-08-07,5.29,29.24,82.53
2021-08-08,29.99,28.05,89.72
2021-08-09,9.3,28.34,89.27
2021-08-10,4.05,28.49,87.67
2021-08-11,10.8,27.87,92.28
2021-08-12,25.6,27.14,93.51
2021-08-13,89.55,27.78,91.48
2021-08-14,17.39,27.36,93.67
2021-08-15,35.11,28.04,90.57
2021-08-16,5.93,28.64,85.98
2021-08-17,12.0,28.45,86.21
2021-08-18,12.0,27.57,86.92
2021-08-19,13.26,27.44,89.3
2021-08-20,10.57,27.0,90.19
2021-08-21,5.33,27.28,89.89
2021-08-22,19.46,27.33,89.12
2021-08-23,51.76,26.92,94.47
2021-08-24,71.91,27.32,93.64
2021-08-25,30.22,27.5,92.92
2021-08-26,52.47,27.29,93.87
2021-08-27,81.03,26.47,95.88
2021-08-28,6.34,27.57,86.24
2021-08-29,46.69,26.26,92.66
2021-08-30,18.11,25.74,92.58
2021-08-31,6.07,26.6,90.98
2021-09-01,11.85,27.76,86.35
2021-09-02,43.45,27.8,87.8
2021-09-03,24.22,26.86,91.7
2021-09-04,4.97,27.15,91.3
2021-09-05,4.59,27.82,89.58
2021-09-06,9.92,27.86,85.05
2021-09-07,3.17,27.07,90.21
2021-09-08,1.09,26.86,88.92
2021-09-09,0.59,26.91,90.36
2021-09-10,0.18,27.17,88.31
2021-09-11,0.42,27.62,87.44
2021-09-12,0.41,28.45,82.69
2021-09-13,1.54,27.84,87.45
2021-09-14,1.31,26.6,90.99
2021-09-15,17.94,25.18,91.79
2021-09-16,35.28,25.02,89.96
2021-09-17,17.73,25.63,88.53
2021-09-18,0.55,27.09,86.86
2021-09-19,9.16,27.39,88.13
2021-09-20,46.21,26.96,90.51
2021-09-21,7.96,27.11,87.02
2021-09-22,7.7,27.09,85.38
2021-09-23,3.1,26.23,89.95
2021-09-24,0.95,26.99,88.13
2021-09-25,0.96,27.95,83.12
2021-09-26,1.09,28.22,83.28
2021-09-27,2.08,27.93,85.77
2021-09-28,2.3,27.19,84.92
2021-09-29,4.74,25.87,90.81
2021-09-30,4.59,26.78,87.71
2021-10-01,36.82,26.59,87.09
2021-10-02,5.63,26.13,89.9
2021-10-03,11.1,26.54,90.07
2021-10-04,19.82,26.6,91.03
2021-10-05,15.08,26.48,90.37
2021-10-06,3.04,26.03,89.9
2021-10-07,6.12,25.65,90.79
2021-10-08,8.04,24.9,91.92
2021-10-09,3.92,25.62,89.18
2021-10-10,0.27,26.03,86.68
2021-10-11,0.0,26.85,83.15
2021-10-12,0.0,27.71,80.77
2021-10-13,0.0,27.51,83.65
2021-10-14,0.0,27.91,82.56
2021-10-15,0.02,28.26,80.52
2021-10-16,0.81,27.26,86.55
2021-10-17,12.2,25.68,93.36
2021-10-18,54.13,24.67,92.37
2021-10-19,20.04,24.57,86.89
2021-10-20,7.65,24.93,89.18
2021-10-21,5.64,23.26,91.39
2021-10-22,5.62,22.99,90.41
2021-10-23,1.63,22.87,89.1
2021-10-24,3.99,22.96,90.31
2021-10-25,0.0,23.04,86.4
2021-10-26,0.05,21.88,87.06
2021-10-27,0.01,21.83,84.8
2021-10-28,0.0,21.59,85.4
2021-10-29,0.0,21.12,86.31
2021-10-30,0.0,21.15,88.7
2021-10-31,0.0,20.5,87.51
2021-11-01,0.0,20.34,84.89
2021-11-02,0.0,21.11,79.73
2021-11-03,0.0,21.13,79.31
2021-11-04,0.0,20.27,73.14
2021-11-05,0.0,19.82,72.23
2021-11-06,0.0,18.84,79.92
2021-11-07,0.0,19.1,86.41
2021-11-08,0.0,20.07,86.08
2021-11-09,0.0,21.15,82.47
2021-11-10,0.0,20.95,83.09
2021-11-11,0.0,20.23,82.68
2021-11-12,0.0,19.62,80.38
2021-11-13,0.01,18.68,86.06
2021-11-14,0.03,18.8,86.26
2021-11-15,0.0,19.01,82.48
2021-11-16,0.0,18.7,81.57
2021-11-17,0.0,18.15,83.42
2021-11-18,0.0,19.29,81.01
2021-11-19,0.0,18.75,81.64
