,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,14.62,31.01
2021-01-02,0.01,15.01,33.54
2021-01-03,6.45,15.93,52.88
2021-01-04,4.52,15.83,54.74
2021-01-05,0.09,16.95,46.6
2021-01-06,0.06,16.28,54.61
2021-01-07,0.0,15.71,45.11
2021-01-08,0.0,14.94,34.67
2021-01-09,0.0,15.84,39.13
2021-01-10,0.0,15.61,38.08
2021-01-11,0.0,14.15,37.15
2021-01-12,0.0,13.2,37.03
2021-01-13,0.0,12.34,39.38
2021-01-14,0.0,11.84,42.23
2021-01-15,0.0,13.31,40.42
2021-01-16,0.0,13.65,38.0
2021-01-17,0.0,13.16,34.21
2021-01-18,0.0,14.07,34.22
2021-01-19,0.0,14.11,44.57
2021-01-20,0.0,12.8,48.39
2021-01-21,0.0,12.72,35.49
2021-01-22,0.0,12.85,33.45
2021-01-23,0.0,13.74,31.59
2021-01-24,0.0,12.8,37.37
2021-01-25,0.0,11.82,37.5
2021-01-26,0.0,11.45,35.95
2021-01-27,0.0,12.02,32.49
2021-01-28,0.0,12.09,30.9
2021-01-29,0.0,10.5,36.22
2021-01-30,0.0,10.81,34.83
2021-01-31,0.0,10.96,33.81
2021-02-01,0.0,11.36,34.58
2021-02-02,0.0,12.71,34.27
2021-02-03,0.0,13.43,34.31
2021-02-04,0.32,14.05,39.92
2021-02-05,0.38,11.47,60.98
2021-02-06,0.74,11.26,54.45
2021-02-07,0.0,12.88,40.11
2021-02-08,0.0,14.37,34.21
2021-02-09,0.0,15.85,34.86
2021-02-10,0.0,15.12,39.87
2021-02-11,0.0,14.77,37.25
2021-02-12,0.0,15.74,36.15
2021-02-13,0.0,15.06,41.0
2021-02-14,0.01,14.97,42.76
2021-02-15,1.02,14.64,43.55
2021-02-16,0.49,15.39,38.15
2021-02-17,0.26,14.68,33.67
2021-02-18,0.0,14.19,39.07
2021-02-19,0.0,14.54,41.1
2021-02-20,0.0,15.74,35.84
2021-02-21,0.0,16.64,37.02
2021-02-22,0.0,17.08,40.87
2021-02-23,0.0,17.62,37.67
2021-02-24,0.0,18.14,32.4
2021-02-25,0.0,18.23,30.46
2021-02-26,0.0,18.96,31.82
2021-02-27,0.07,18.64,38.3
2021-02-28,0.0,18.7,37.18
2021-03-01,0.15,17.56,28.18
2021-03-02,0.0,16.77,23.31
2021-03-03,0.0,17.52,26.64
2021-03-04,0.0,17.82,26.65
2021-03-05,0.0,18.31,24.72
2021-03-06,0.0,18.65,25.77
2021-03-07,0.04,18.61,31.57
2021-03-08,3.41,19.39,38.26
2021-03-09,0.0,19.84,33.63
2021-03-10,4.34,19.62,37.16
2021-03-11,0.11,19.87,34.21
2021-03-12,0.08,19.96,31.5
2021-03-13,2.13,19.87,39.08
2021-03-14,0.0,18.27,41.66
2021-03-15,0.01,19.21,32.44
2021-03-16,0.33,19.51,32.99
2021-03-17,0.0,20.22,30.85
2021-03-18,0.26,20.59,31.15
2021-03-19,0.25,20.95,31.21
2021-03-20,0.09,20.39,32.61
2021-03-21,0.0,20.75,31.5
2021-03-22,0.0,21.38,29.97
2021-03-23,0.23,21.88,31.4
2021-03-24,0.6,20.29,34.46
2021-03-25,0.04,19.27,31.85
2021-03-26,0.0,20.39,26.55
2021-03-27,0.0,21.19,28.83
2021-03-28,0.0,21.7,31.32
2021-03-29,0.03,22.38,32.41
2021-03-30,0.05,24.41,25.27
2021-03-31,0.14,22.99,20.67
2021-04-01,1.0,21.17,13.66
2021-04-02,0.0,20.46,13.18
2021-04-03,0.0,19.38,13.24
2021-04-04,0.0,20.7,13.16
2021-04-05,0.0,22.44,15.74
2021-04-06,0.0,23.96,20.55
2021-04-07,0.19,24.94,22.67
2021-04-08,0.0,24.52,19.43
2021-04-09,0.0,23.39,15.52
2021-04-10,0.0,23.62,11.38
2021-04-11,0.0,23.5,13.96
2021-04-12,0.0,24.32,18.31
2021-04-13,0.0,25.17,21.48
2021-04-14,0.13,26.09,19.15
2021-04-15,0.42,26.6,22.74
2021-04-16,0.04,26.23,22.46
2021-04-17,4.61,23.01,32.45
2021-04-18,1.92,22.13,38.95
2021-04-19,0.01,23.03,29.88
2021-04-20,0.23,25.19,22.56
2021-04-21,8.61,20.19,54.05
2021-04-22,12.27,20.16,56.46
2021-04-23,0.03,21.77,38.5
2021-04-24,0.05,23.81,32.09
2021-04-25,0.0,23.98,24.14
2021-04-26,0.0,24.88,23.4
2021-04-27,0.0,25.98,24.65
2021-04-28,0.0,27.06,26.5
2021-04-29,0.48,26.61,27.39
2021-04-30,0.32,25.95,34.82
2021-05-01,0.96,25.82,35.87
2021-05-02,1.75,25.68,32.88
2021-05-03,9.11,24.27,43.26
2021-05-04,5.64,23.26,51.98
2021-05-05,17.03,21.48,61.48
2021-05-06,7.07,23.36,50.86
2021-05-07,2.34,23.99,48.91
2021-05-08,0.42,23.58,46.91
2021-05-09,4.82,23.02,51.43
2021-05-10,2.28,23.1,52.73
2021-05-11,8.91,22.25,59.59
2021-05-12,21.15,21.36,63.5
2021-05-13,3.75,20.65,64.29
2021-05-14,0.55,22.13,55.95
2021-05-15,0.15,24.98,43.96
2021-05-16,0.03,25.67,38.26
2021-05-17,0.38,26.31,36.24
2021-05-18,1.51,23.53,45.06
2021-05-19,8.67,22.84,61.71
2021-05-20,36.0,21.46,78.7
2021-05-21,14.86,22.83,73.05
2021-05-22,0.35,24.6,53.61
2021-05-23,0.07,24.34,51.8
2021-05-24,0.0,24.88,46.44
2021-05-25,0.02,26.48,46.36
2021-05-26,6.56,26.42,53.21
2021-05-27,8.05,24.9,53.71
2021-05-28,62.94,22.66,73.25
2021-05-29,22.92,22.69,83.05
2021-05-30,2.97,24.05,73.85
2021-05-31,11.52,24.77,70.37
2021-06-01,3.2,25.17,59.27
2021-06-02,0.14,23.4,63.73
2021-06-03,0.01,24.81,59.63
2021-06-04,1.78,25.65,59.7
2021-06-05,1.88,26.35,60.01
2021-06-06,4.86,25.46,68.78
2021-06-07,2.45,26.34,61.51
2021-06-08,1.58,26.35,63.91
2021-06-09,5.38,26.03,72.69
2021-06-10,10.38,23.68,82.55
2021-06-11,6.86,23.47,85.66
2021-06-12,21.14,23.49,85.08
2021-06-13,40.26,24.1,82.69
2021-06-14,26.14,23.14,87.61
2021-06-15,60.23,22.62,86.9
2021-06-16,19.72,23.63,85.24
2021-06-17,27.53,22.83,85.71
2021-06-18,18.75,22.94,88.0
2021-06-19,15.25,22.44,89.59
2021-06-20,19.52,22.91,87.6
2021-06-21,3.59,24.12,84.77
2021-06-22,1.35,24.74,82.1
2021-06-23,21.86,24.85,82.56
2021-06-24,12.42,23.84,81.19
2021-06-25,26.7,23.97,81.8
2021-06-26,15.45,24.25,81.41
2021-06-27,10.83,23.77,85.41
2021-06-28,11.07,24.33,88.2
2021-06-29,2.47,24.44,84.59
2021-06-30,10.23,26.16,70.45
2021-07-01,9.88,26.0,73.42
2021-07-02,12.12,25.26,74.74
2021-07-03,23.35,25.12,77.96
2021-07-04,5.62,24.57,76.68
2021-07-05,8.77,24.37,84.54
2021-07-06,0.59,24.77,83.87
2021-07-07,0.15,25.75,78.43
2021-07-08,14.28,24.91,85.84
2021-07-09,2.72,23.73,88.41
2021-07-10,7.69,23.68,91.83
2021-07-11,1.4,22.98,87.93
2021-07-12,9.04,22.88,90.08
2021-07-13,3.04,24.22,82.82
2021-07-14,2.39,23.43,89.91
2021-07-15,1.52,23.91,87.64
2021-07-16,23.19,24.1,88.76
2021-07-17,20.08,22.94,94.71
2021-07-18,29.67,22.79,93.7
2021-07-19,25.3,22.95,92.7
2021-07-20,46.69,23.68,89.14
2021-07-21,18.63,22.9,92.66
2021-07-22,14.39,23.23,91.52
2021-07-23,17.15,24.83,83.37
2021-07-24,8.72,25.18,85.15
2021-07-25,19.58,25.15,86.98
2021-07-26,20.51,24.07,86.38
2021-07-27,11.92,24.26,87.58
2021-07-28,11.13,24.71,86.78
2021-07-29,19.57,23.63,90.77
2021-07-30,9.38,24.02,85.58
2021-07-31,3.42,24.47,83.31
2021-08-01,2.19,24.18,86.87
2021-08-02,0.39,24.03,88.72
2021-08-03,0.61,24.2,86.52
2021-08-04,1.85,23.35,90.65
