,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,16.84,46.6
2021-01-02,0.0,16.94,46.91
2021-01-03,0.0,17.39,51.25
2021-01-04,0.0,19.2,52.51
2021-01-05,0.0,20.23,56.78
2021-01-06,0.0,20.8,53.28
2021-01-07,0.0,20.87,50.93
2021-01-08,0.0,19.33,54.42
2021-01-09,0.0,19.81,51.14
2021-01-10,0.0,18.94,59.69
2021-01-11,0.0,17.74,61.61
2021-01-12,0.0,15.27,56.45
2021-01-13,0.0,13.77,48.51
2021-01-14,0.0,13.53,49.99
2021-01-15,0.0,14.26,51.72
2021-01-16,0.0,14.67,48.13
2021-01-17,0.0,14.96,45.19
2021-01-18,0.0,16.89,46.78
2021-01-19,0.0,16.64,55.8
2021-01-20,0.0,15.73,58.99
2021-01-21,0.0,14.11,52.96
2021-01-22,0.0,14.31,47.1
2021-01-23,0.0,15.28,48.15
2021-01-24,0.0,15.52,48.78
2021-01-25,0.0,15.76,45.6
2021-01-26,0.0,15.29,47.0
2021-01-27,0.0,14.62,42.26
2021-01-28,0.0,14.43,42.36
2021-01-29,0.0,15.17,39.89
2021-01-30,0.0,13.59,41.56
2021-01-31,0.0,13.71,40.02
2021-02-01,0.0,13.96,38.72
2021-02-02,0.0,14.97,39.52
2021-02-03,0.0,16.88,39.06
2021-02-04,0.0,17.97,38.13
2021-02-05,0.05,18.59,39.67
2021-02-06,0.39,17.36,52.32
2021-02-07,0.01,16.09,51.47
2021-02-08,0.0,16.98,42.77
2021-02-09,0.0,17.62,40.39
2021-02-10,0.0,17.8,42.08
2021-02-11,0.0,18.29,44.34
2021-02-12,0.0,18.62,44.91
2021-02-13,0.0,18.68,44.82
2021-02-14,0.0,18.74,42.64
2021-02-15,0.05,18.87,41.52
2021-02-16,0.04,19.08,39.42
2021-02-17,0.03,20.05,38.52
2021-02-18,0.51,19.65,46.2
2021-02-19,0.98,20.07,45.62
2021-02-20,0.0,20.3,39.48
2021-02-21,0.0,20.18,36.14
2021-02-22,0.0,20.58,35.63
2021-02-23,0.0,21.28,38.06
2021-02-24,0.0,21.63,36.93
2021-02-25,0.0,21.46,32.66
2021-02-26,0.01,22.85,30.15
2021-02-27,0.05,22.73,33.92
2021-02-28,0.0,24.02,34.67
2021-03-01,0.01,24.25,26.27
2021-03-02,0.0,21.23,21.8
2021-03-03,0.0,21.52,23.6
2021-03-04,0.0,21.99,26.44
2021-03-05,0.07,23.04,23.89
2021-03-06,0.72,22.85,24.52
2021-03-07,0.01,23.7,23.06
2021-03-08,0.01,23.38,25.96
2021-03-09,0.05,23.79,27.79
2021-03-10,0.31,25.01,27.09
2021-03-11,0.91,25.51,29.37
2021-03-12,0.04,26.04,23.58
2021-03-13,0.15,25.13,26.78
2021-03-14,0.11,24.41,35.99
2021-03-15,0.0,24.46,28.39
2021-03-16,0.02,25.11,23.49
2021-03-17,0.0,25.76,21.85
2021-03-18,0.02,26.07,23.57
2021-03-19,0.02,27.46,21.59
2021-03-20,0.0,27.44,25.36
2021-03-21,0.0,26.62,22.87
2021-03-22,0.0,27.33,19.38
2021-03-23,0.0,28.94,18.93
2021-03-24,0.0,29.06,21.1
2021-03-25,0.0,26.7,17.31
2021-03-26,0.0,25.92,16.89
2021-03-27,0.0,26.88,17.74
2021-03-28,0.0,28.0,19.43
2021-03-29,0.05,28.47,23.06
2021-03-30,1.07,28.44,25.82
2021-03-31,3.17,29.11,20.65
2021-04-01,1.83,26.67,17.5
2021-04-02,0.0,26.72,13.64
2021-04-03,0.0,26.32,11.92
2021-04-04,0.0,26.68,10.46
2021-04-05,0.0,27.1,11.58
2021-04-06,0.0,28.01,15.02
2021-04-07,0.01,29.74,18.24
2021-04-08,0.05,29.97,17.89
2021-04-09,0.04,29.72,15.58
2021-04-10,0.11,29.74,13.29
2021-04-11,0.0,29.99,9.75
2021-04-12,0.0,29.45,11.18
2021-04-13,0.0,30.49,15.92
2021-04-14,0.01,31.83,15.97
2021-04-15,0.01,31.17,17.4
2021-04-16,8.09,30.88,25.91
2021-04-17,2.86,29.27,34.86
2021-04-18,0.89,28.42,31.84
2021-04-19,0.59,28.44,27.32
2021-04-20,0.0,30.2,19.32
2021-04-21,10.55,28.4,37.91
2021-04-22,8.3,26.65,51.89
2021-04-23,0.16,28.24,36.19
2021-04-24,0.0,30.11,28.99
2021-04-25,0.0,30.39,23.68
2021-04-26,0.0,30.03,19.78
2021-04-27,0.0,30.51,21.93
2021-04-28,0.05,30.83,23.52
2021-04-29,0.96,30.5,31.79
2021-04-30,0.27,30.85,33.83
2021-05-01,2.51,30.26,38.13
2021-05-02,5.67,29.39,46.6
2021-05-03,0.93,29.32,39.9
2021-05-04,6.96,27.19,49.63
2021-05-05,6.09,26.06,57.6
2021-05-06,2.89,27.51,53.1
2021-05-07,10.46,28.11,54.71
2021-05-08,2.82,28.79,47.54
2021-05-09,6.33,27.79,50.16
2021-05-10,6.24,27.97,49.44
2021-05-11,5.06,28.53,45.42
2021-05-12,22.44,25.85,56.58
2021-05-13,2.28,26.21,52.05
2021-05-14,0.08,28.1,46.82
2021-05-15,0.0,30.1,39.3
2021-05-16,0.02,30.88,37.05
2021-05-17,0.04,31.65,35.26
2021-05-18,0.08,31.12,31.48
2021-05-19,7.54,28.07,47.99
2021-05-20,24.19,26.61,69.35
2021-05-21,1.13,28.4,68.24
2021-05-22,0.03,30.07,54.88
2021-05-23,0.03,30.57,46.99
2021-05-24,0.24,31.52,43.21
2021-05-25,1.71,30.64,49.32
2021-05-26,20.23,28.72,68.62
2021-05-27,58.37,26.3,80.71
2021-05-28,66.23,26.74,80.82
2021-05-29,12.91,27.93,76.45
2021-05-30,6.07,28.51,76.69
2021-05-31,4.56,28.6,76.89
2021-06-01,4.36,28.9,69.77
2021-06-02,0.23,27.86,68.6
2021-06-03,0.0,29.15,64.36
2021-06-04,0.31,30.23,64.12
2021-06-05,0.7,30.52,63.82
2021-06-06,0.28,29.97,66.27
2021-06-07,2.49,30.44,66.06
2021-06-08,9.91,30.44,65.5
