,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,4.32,37.84
2021-01-02,0.0,4.51,33.34
2021-01-03,0.0,5.82,40.05
2021-01-04,0.0,6.56,50.66
2021-01-05,0.0,5.94,53.09
2021-01-06,0.0,4.85,55.2
2021-01-07,0.0,4.4,39.72
2021-01-08,0.0,4.53,37.48
2021-01-09,0.0,4.96,41.82
2021-01-10,0.0,5.33,43.46
2021-01-11,0.0,4.71,41.04
2021-01-12,0.0,3.89,47.94
2021-01-13,0.0,4.34,39.29
2021-01-14,0.0,5.21,37.42
2021-01-15,0.0,5.77,40.61
2021-01-16,0.0,4.44,42.09
2021-01-17,0.0,3.81,37.43
2021-01-18,0.0,4.03,48.49
2021-01-19,0.0,1.52,70.5
2021-01-20,0.0,1.06,74.98
2021-01-21,0.0,2.3,45.36
2021-01-22,0.0,3.57,35.09
2021-01-23,0.0,3.42,42.61
2021-01-24,0.0,1.43,43.28
2021-01-25,0.0,0.89,35.4
2021-01-26,0.0,1.31,33.15
2021-01-27,0.0,1.78,28.25
2021-01-28,0.0,2.25,23.96
2021-01-29,0.0,-0.59,36.64
2021-01-30,0.0,-1.4,39.0
2021-01-31,0.0,0.88,36.89
2021-02-01,0.0,1.15,39.34
2021-02-02,0.0,2.01,35.99
2021-02-03,0.0,1.93,39.85
2021-02-04,0.0,1.61,35.21
2021-02-05,0.05,1.25,51.61
2021-02-06,0.43,-0.52,72.07
2021-02-07,0.0,1.92,42.0
2021-02-08,0.18,4.1,27.83
2021-02-09,0.0,5.11,34.21
2021-02-10,0.0,4.16,46.17
2021-02-11,0.0,3.53,49.54
2021-02-12,0.0,4.4,51.55
2021-02-13,0.0,4.52,53.04
2021-02-14,0.05,3.77,56.15
2021-02-15,0.41,2.85,56.45
2021-02-16,0.31,2.11,58.64
2021-02-17,0.15,2.43,55.4
2021-02-18,0.36,1.33,63.7
2021-02-19,0.78,2.13,65.36
2021-02-20,0.0,4.21,51.46
2021-02-21,0.0,5.76,42.87
2021-02-22,0.0,6.37,46.62
2021-02-23,0.0,5.83,53.51
2021-02-24,0.0,5.46,48.93
2021-02-25,0.0,5.34,42.38
2021-02-26,0.0,6.3,43.65
2021-02-27,0.09,6.06,48.59
2021-02-28,0.07,6.2,49.34
2021-03-01,0.08,5.88,40.86
2021-03-02,0.0,4.51,26.12
2021-03-03,0.0,5.09,34.01
2021-03-04,0.0,4.44,43.96
2021-03-05,0.2,4.39,42.32
2021-03-06,1.78,4.85,42.6
2021-03-07,0.01,5.12,46.75
2021-03-08,0.01,5.53,45.03
2021-03-09,0.65,6.17,44.74
2021-03-10,1.81,6.38,47.19
2021-03-11,1.15,5.79,50.19
2021-03-12,0.08,6.8,41.37
2021-03-13,0.22,6.53,45.69
2021-03-14,0.07,6.49,58.4
2021-03-15,0.01,7.36,44.91
2021-03-16,0.2,7.1,41.65
2021-03-17,0.0,6.68,45.05
2021-03-18,0.2,7.17,47.04
2021-03-19,0.13,7.99,46.62
2021-03-20,0.04,8.31,45.55
2021-03-21,0.0,7.88,51.82
2021-03-22,0.0,8.14,47.76
2021-03-23,0.0,9.19,40.37
2021-03-24,0.0,8.72,44.66
2021-03-25,0.0,7.41,37.28
2021-03-26,0.0,8.79,31.76
2021-03-27,0.0,9.29,32.62
2021-03-28,0.0,8.68,43.71
2021-03-29,0.09,8.33,56.91
2021-03-30,0.95,8.97,54.13
2021-03-31,3.49,9.19,44.95
2021-04-01,3.76,7.11,36.22
2021-04-02,0.6,5.68,32.86
2021-04-03,0.0,5.59,26.7
2021-04-04,0.0,6.12,25.97
2021-04-05,0.0,8.28,21.69
2021-04-06,0.0,8.86,28.62
2021-04-07,0.01,9.84,35.25
2021-04-08,0.02,9.76,35.77
2021-04-09,0.06,9.0,30.83
2021-04-10,0.12,8.96,25.89
2021-04-11,0.17,9.76,20.37
2021-04-12,0.0,9.6,24.36
2021-04-13,0.02,9.74,36.49
2021-04-14,0.09,10.71,38.31
2021-04-15,0.05,10.49,38.58
2021-04-16,8.28,10.0,52.63
2021-04-17,2.43,8.78,57.32
2021-04-18,1.55,8.66,52.73
2021-04-19,1.82,8.88,53.03
2021-04-20,0.04,9.93,46.68
2021-04-21,1.16,9.86,51.87
2021-04-22,6.25,8.43,72.37
2021-04-23,0.04,8.62,55.21
2021-04-24,0.0,9.51,48.46
2021-04-25,0.0,10.64,36.17
2021-04-26,0.0,10.89,31.2
2021-04-27,0.0,11.77,37.12
2021-04-28,0.09,11.93,41.11
2021-04-29,1.82,11.21,51.49
2021-04-30,0.79,11.09,64.46
2021-05-01,2.29,9.78,72.56
2021-05-02,5.48,10.2,73.83
2021-05-03,0.3,10.23,69.85
2021-05-04,4.17,9.17,80.18
2021-05-05,3.59,9.04,82.12
2021-05-06,3.16,9.27,82.25
2021-05-07,4.67,10.12,81.98
2021-05-08,0.12,10.2,72.18
2021-05-09,0.54,9.73,73.85
2021-05-10,1.89,10.13,71.37
2021-05-11,3.34,9.62,79.96
2021-05-12,10.31,8.54,83.14
2021-05-13,2.54,8.81,77.46
2021-05-14,0.1,9.58,76.16
2021-05-15,0.05,11.55,67.67
2021-05-16,0.14,12.76,57.67
2021-05-17,0.09,13.71,51.82
2021-05-18,0.15,13.6,52.38
2021-05-19,1.62,13.21,63.5
2021-05-20,9.14,12.8,80.09
2021-05-21,1.54,14.05,69.21
2021-05-22,0.01,14.23,61.87
2021-05-23,0.06,14.52,63.69
2021-05-24,0.14,14.64,58.76
2021-05-25,1.02,14.34,65.76
2021-05-26,3.61,14.45,77.28
2021-05-27,26.66,14.02,87.59
2021-05-28,16.74,13.58,88.88
2021-05-29,19.99,13.08,81.72
2021-05-30,3.09,13.44,80.86
2021-05-31,3.82,13.65,82.08
2021-06-01,2.67,13.35,85.92
2021-06-02,0.15,12.71,74.13
2021-06-03,0.0,13.65,65.74
2021-06-04,0.43,14.03,75.15
2021-06-05,1.3,14.36,83.51
2021-06-06,1.57,14.82,82.64
2021-06-07,0.91,14.96,83.76
2021-06-08,2.01,14.48,83.63
2021-06-09,8.73,15.11,82.48
