,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.54,50.73
2021-01-02,0.0,16.18,50.9
2021-01-03,0.0,17.19,59.89
2021-01-04,0.0,18.49,61.96
2021-01-05,0.0,19.43,64.17
2021-01-06,0.0,19.99,64.37
2021-01-07,0.0,20.29,60.33
2021-01-08,0.0,19.48,63.89
2021-01-09,0.0,19.7,61.28
2021-01-10,0.0,19.44,68.42
2021-01-11,0.0,18.61,66.0
2021-01-12,0.0,15.74,58.14
2021-01-13,0.0,14.1,52.96
2021-01-14,0.0,14.66,47.46
2021-01-15,0.0,14.75,51.3
2021-01-16,0.0,14.83,49.02
2021-01-17,0.0,15.55,48.54
2021-01-18,0.0,16.96,53.45
2021-01-19,0.0,17.03,60.91
2021-01-20,0.01,16.11,62.79
2021-01-21,0.0,14.9,55.79
2021-01-22,0.0,15.38,47.52
2021-01-23,0.0,15.93,48.66
2021-01-24,0.0,16.13,51.86
2021-01-25,0.0,15.83,52.96
2021-01-26,0.0,15.62,52.45
2021-01-27,0.0,14.18,48.3
2021-01-28,0.0,14.19,45.86
2021-01-29,0.0,14.98,43.92
2021-01-30,0.0,13.32,46.8
2021-01-31,0.0,13.72,44.92
2021-02-01,0.0,14.39,41.88
2021-02-02,0.0,15.72,40.38
2021-02-03,0.0,17.56,40.46
2021-02-04,0.0,18.64,40.69
2021-02-05,0.01,19.08,42.19
2021-02-06,0.37,16.98,59.24
2021-02-07,0.02,16.41,58.31
2021-02-08,0.0,17.12,46.96
2021-02-09,0.0,17.74,44.63
2021-02-10,0.0,18.74,42.06
2021-02-11,0.0,19.43,43.59
2021-02-12,0.0,19.47,46.9
2021-02-13,0.0,19.51,47.23
2021-02-14,0.0,19.3,45.28
2021-02-15,0.0,19.6,41.68
2021-02-16,0.0,19.23,43.2
2021-02-17,0.07,20.49,42.12
2021-02-18,0.61,20.6,48.06
2021-02-19,0.56,21.31,45.92
2021-02-20,0.01,21.02,40.32
2021-02-21,0.0,20.25,40.12
2021-02-22,0.0,20.75,38.6
2021-02-23,0.0,21.98,38.42
2021-02-24,0.0,22.45,38.68
2021-02-25,0.02,22.42,34.98
2021-02-26,0.0,23.41,32.87
2021-02-27,0.18,23.51,35.96
2021-02-28,0.11,24.17,37.83
2021-03-01,0.02,24.68,32.63
2021-03-02,0.0,21.87,27.19
2021-03-03,0.0,22.58,25.17
2021-03-04,0.0,23.3,27.9
2021-03-05,0.06,23.37,30.45
2021-03-06,0.04,23.33,29.59
2021-03-07,0.0,24.09,27.07
2021-03-08,0.02,23.92,31.7
2021-03-09,0.03,24.34,34.88
2021-03-10,0.41,25.25,33.08
2021-03-11,0.83,26.26,32.6
2021-03-12,0.07,26.56,29.79
2021-03-13,0.03,25.44,32.38
2021-03-14,0.47,25.24,39.44
2021-03-15,0.01,24.79,34.54
2021-03-16,0.0,25.62,28.31
2021-03-17,0.0,25.69,28.83
2021-03-18,0.0,26.94,27.32
2021-03-19,0.0,27.63,26.0
2021-03-20,0.0,27.83,29.16
2021-03-21,0.0,27.31,25.31
2021-03-22,0.0,27.71,23.61
2021-03-23,0.0,29.42,21.93
2021-03-24,0.0,30.53,21.33
2021-03-25,0.0,28.41,16.86
2021-03-26,0.0,26.9,17.09
2021-03-27,0.0,27.41,20.3
2021-03-28,0.0,29.42,19.4
2021-03-29,0.0,30.33,19.81
2021-03-30,0.33,29.11,26.37
2021-03-31,1.89,29.99,20.99
2021-04-01,0.98,28.27,15.94
2021-04-02,0.0,27.79,12.92
2021-04-03,0.0,28.18,11.22
2021-04-04,0.0,27.8,10.13
2021-04-05,0.0,28.18,11.05
2021-04-06,0.0,28.68,18.96
2021-04-07,0.0,30.22,22.96
2021-04-08,0.43,30.47,25.16
2021-04-09,0.13,30.27,18.28
2021-04-10,0.0,31.24,12.91
2021-04-11,0.0,31.41,9.24
2021-04-12,0.0,30.8,9.68
2021-04-13,0.0,31.54,13.92
2021-04-14,0.0,33.21,14.64
2021-04-15,0.04,31.91,17.61
2021-04-16,5.55,31.82,23.32
2021-04-17,3.16,29.92,38.8
2021-04-18,0.39,29.38,38.14
2021-04-19,0.09,30.34,23.08
2021-04-20,0.0,31.46,17.64
2021-04-21,4.7,29.3,35.01
2021-04-22,9.92,27.54,54.19
2021-04-23,1.0,29.66,36.16
2021-04-24,0.08,31.14,29.17
2021-04-25,0.0,32.04,22.73
2021-04-26,0.0,31.22,20.72
2021-04-27,0.0,32.02,20.91
2021-04-28,0.08,32.01,23.16
2021-04-29,1.45,31.56,35.6
2021-04-30,0.1,32.34,34.96
2021-05-01,3.28,32.04,39.44
2021-05-02,1.08,31.56,43.98
2021-05-03,6.92,30.77,42.99
