,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,3.73,49.79
2021-01-02,0.0,3.29,49.54
2021-01-03,0.0,4.85,53.07
2021-01-04,0.0,6.26,61.52
2021-01-05,0.0,5.74,65.2
2021-01-06,0.0,5.3,64.41
2021-01-07,0.0,3.96,60.11
2021-01-08,0.0,4.16,57.14
2021-01-09,0.0,3.89,59.48
2021-01-10,0.02,4.15,60.15
2021-01-11,0.01,3.59,63.95
2021-01-12,0.03,2.72,67.62
2021-01-13,0.0,3.0,61.51
2021-01-14,0.0,4.16,57.04
2021-01-15,0.0,5.24,55.41
2021-01-16,0.01,3.53,59.2
2021-01-17,0.0,3.97,51.16
2021-01-18,0.02,3.56,59.96
2021-01-19,0.6,0.93,88.44
2021-01-20,0.21,0.76,82.61
2021-01-21,0.0,2.01,61.86
2021-01-22,0.0,2.86,50.29
2021-01-23,0.0,2.82,57.14
2021-01-24,0.0,1.29,55.17
2021-01-25,0.0,0.24,50.81
2021-01-26,0.0,0.38,50.98
2021-01-27,0.0,1.13,43.91
2021-01-28,0.0,1.42,39.74
2021-01-29,0.0,-0.42,47.11
2021-01-30,0.0,-1.56,52.99
2021-01-31,0.0,0.21,50.46
2021-02-01,0.0,0.68,53.26
2021-02-02,0.0,1.88,49.63
2021-02-03,0.0,1.77,50.54
2021-02-04,0.0,1.79,48.06
2021-02-05,0.0,1.67,54.87
2021-02-06,0.67,-0.04,79.97
2021-02-07,0.32,1.35,56.85
2021-02-08,0.0,4.14,38.93
2021-02-09,0.0,4.82,46.87
2021-02-10,0.0,3.41,58.33
2021-02-11,0.0,3.48,57.65
2021-02-12,0.0,3.96,65.62
2021-02-13,0.0,4.41,65.81
2021-02-14,0.02,3.57,66.38
2021-02-15,0.11,2.72,66.88
2021-02-16,0.59,2.19,61.86
2021-02-17,0.31,2.25,59.95
2021-02-18,2.11,1.86,69.36
2021-02-19,0.66,2.26,77.11
2021-02-20,0.0,4.39,60.23
2021-02-21,0.0,5.83,50.21
2021-02-22,0.0,6.19,54.54
2021-02-23,0.0,5.91,60.79
2021-02-24,0.02,5.39,60.03
2021-02-25,0.05,5.41,54.57
2021-02-26,0.73,6.24,53.91
2021-02-27,3.04,5.38,58.12
2021-02-28,1.21,5.47,58.94
2021-03-01,0.22,5.4,52.15
2021-03-02,0.05,3.86,39.03
2021-03-03,0.01,4.76,43.81
2021-03-04,0.54,3.72,54.85
2021-03-05,1.22,3.48,56.1
2021-03-06,0.02,4.34,51.99
2021-03-07,0.03,4.65,55.31
2021-03-08,0.33,4.66,56.87
2021-03-09,1.69,5.74,55.94
2021-03-10,5.39,5.9,58.34
2021-03-11,3.97,5.19,59.16
2021-03-12,0.23,6.09,53.28
2021-03-13,0.81,5.98,53.88
2021-03-14,1.36,6.18,66.29
2021-03-15,0.09,6.7,58.11
2021-03-16,0.0,6.79,49.91
2021-03-17,0.02,6.72,52.83
2021-03-18,0.14,6.84,55.95
2021-03-19,0.0,7.91,53.29
2021-03-20,0.0,7.87,52.81
2021-03-21,0.0,7.85,53.54
2021-03-22,0.01,8.33,50.93
2021-03-23,0.18,8.68,48.95
2021-03-24,0.38,8.7,52.45
2021-03-25,0.0,7.47,42.89
2021-03-26,0.0,8.21,40.83
2021-03-27,0.0,9.39,41.27
2021-03-28,0.0,8.64,47.24
2021-03-29,0.33,8.51,53.23
2021-03-30,1.72,8.68,57.43
2021-03-31,4.86,8.69,49.06
2021-04-01,2.1,6.94,38.47
2021-04-02,0.0,6.08,33.56
2021-04-03,0.01,6.12,30.66
2021-04-04,0.0,5.92,31.15
2021-04-05,0.0,7.99,29.25
