,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,15.22,56.96
2021-01-02,0.0,15.79,53.81
2021-01-03,0.0,17.21,59.24
2021-01-04,0.0,17.87,64.89
2021-01-05,0.0,18.82,67.16
2021-01-06,0.0,19.11,69.96
2021-01-07,0.0,19.55,65.57
2021-01-08,0.0,18.68,69.45
2021-01-09,0.0,18.98,65.95
2021-01-10,0.0,18.3,73.95
2021-01-11,0.0,18.16,72.08
2021-01-12,0.0,15.74,61.71
2021-01-13,0.0,14.23,53.35
2021-01-14,0.0,14.67,49.97
2021-01-15,0.0,14.36,57.07
2021-01-16,0.02,14.55,52.01
2021-01-17,0.0,15.69,49.15
2021-01-18,0.0,17.14,57.0
2021-01-19,0.13,16.76,66.38
2021-01-20,0.45,15.57,68.64
2021-01-21,0.0,14.71,60.77
2021-01-22,0.0,15.05,50.04
2021-01-23,0.0,15.41,53.3
2021-01-24,0.0,15.6,56.88
2021-01-25,0.0,15.11,57.88
2021-01-26,0.0,15.2,55.61
2021-01-27,0.0,14.29,50.01
2021-01-28,0.0,13.94,48.65
2021-01-29,0.0,15.18,44.99
2021-01-30,0.0,13.51,46.68
2021-01-31,0.0,13.71,46.2
2021-02-01,0.0,14.27,43.17
2021-02-02,0.0,15.45,41.79
2021-02-03,0.0,16.89,43.84
2021-02-04,0.0,18.48,42.58
2021-02-05,0.0,18.85,42.99
2021-02-06,0.43,16.36,62.1
2021-02-07,0.08,16.06,61.32
2021-02-08,0.0,16.75,48.78
2021-02-09,0.0,17.67,45.77
2021-02-10,0.0,18.43,43.32
2021-02-11,0.0,19.26,44.94
2021-02-12,0.0,19.27,48.33
2021-02-13,0.0,19.35,49.14
2021-02-14,0.01,19.23,48.57
2021-02-15,0.01,19.62,43.16
2021-02-16,0.22,19.45,42.85
2021-02-17,0.07,20.01,42.25
2021-02-18,1.21,20.46,49.07
2021-02-19,0.15,20.96,47.44
2021-02-20,0.0,20.93,41.6
2021-02-21,0.0,20.39,40.33
2021-02-22,0.0,20.92,38.06
2021-02-23,0.0,21.69,38.47
2021-02-24,0.05,21.99,40.3
2021-02-25,0.12,22.13,35.85
2021-02-26,0.27,22.56,35.78
2021-02-27,1.24,23.21,36.65
2021-02-28,0.27,23.49,40.38
2021-03-01,0.07,24.15,34.92
2021-03-02,0.0,21.89,27.61
2021-03-03,0.0,22.13,26.28
2021-03-04,0.05,22.57,29.91
2021-03-05,0.31,22.91,32.39
2021-03-06,0.0,23.18,30.13
2021-03-07,0.12,23.82,28.75
2021-03-08,0.07,23.57,33.01
2021-03-09,0.44,23.84,37.43
2021-03-10,2.09,24.23,37.96
2021-03-11,1.6,25.54,35.53
2021-03-12,0.15,26.02,31.16
2021-03-13,1.02,25.07,33.75
2021-03-14,1.37,24.68,41.35
2021-03-15,0.04,24.28,37.96
2021-03-16,0.0,25.1,31.36
2021-03-17,0.0,25.51,30.65
2021-03-18,0.01,26.44,30.75
2021-03-19,0.0,27.03,29.27
2021-03-20,0.0,27.25,30.57
2021-03-21,0.0,26.7,27.98
2021-03-22,0.0,27.11,26.11
2021-03-23,0.01,28.64,24.38
2021-03-24,0.06,29.8,23.62
2021-03-25,0.0,27.61,19.52
2021-03-26,0.0,26.17,20.1
2021-03-27,0.0,27.01,22.45
