,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,4.81,58.61
2021-01-02,0.0,4.81,57.38
2021-01-03,0.0,6.28,55.7
2021-01-04,0.0,7.33,61.08
2021-01-05,0.0,6.82,68.76
2021-01-06,0.0,6.03,73.69
2021-01-07,0.0,5.26,74.89
2021-01-08,0.0,5.31,74.29
2021-01-09,0.0,5.17,74.34
2021-01-10,0.02,5.29,76.06
2021-01-11,0.02,5.15,80.9
2021-01-12,0.0,4.14,80.56
2021-01-13,0.0,4.15,68.64
2021-01-14,0.0,4.68,66.51
2021-01-15,0.0,5.58,64.11
2021-01-16,0.02,4.53,60.43
2021-01-17,0.01,4.51,57.28
2021-01-18,0.02,4.71,68.25
2021-01-19,0.58,2.76,90.19
2021-01-20,0.29,2.78,85.71
2021-01-21,0.0,3.62,62.7
2021-01-22,0.0,4.12,55.5
2021-01-23,0.0,3.96,64.23
2021-01-24,0.0,2.52,66.69
2021-01-25,0.0,1.61,68.65
2021-01-26,0.0,2.02,61.44
2021-01-27,0.0,2.31,53.74
2021-01-28,0.0,2.73,47.74
2021-01-29,0.0,1.14,57.86
2021-01-30,0.0,0.28,58.38
2021-01-31,0.0,1.37,53.11
2021-02-01,0.0,1.44,58.37
2021-02-02,0.0,2.85,52.7
2021-02-03,0.0,2.95,60.02
2021-02-04,0.0,3.15,57.67
2021-02-05,0.0,3.21,58.93
2021-02-06,0.63,1.79,79.14
2021-02-07,0.34,3.17,59.79
2021-02-08,0.0,5.86,38.97
2021-02-09,0.0,6.02,47.81
2021-02-10,0.0,4.96,59.97
2021-02-11,0.0,5.03,62.43
2021-02-12,0.0,4.85,69.94
2021-02-13,0.0,5.34,69.56
2021-02-14,0.03,4.61,74.56
2021-02-15,0.09,4.29,71.68
2021-02-16,0.74,3.8,67.34
2021-02-17,0.19,3.81,63.74
2021-02-18,2.18,3.62,68.31
2021-02-19,0.55,3.74,69.05
2021-02-20,0.0,5.34,61.33
2021-02-21,0.0,6.61,54.11
2021-02-22,0.0,7.02,56.88
2021-02-23,0.0,6.53,63.25
2021-02-24,0.07,6.32,63.86
2021-02-25,0.03,6.3,58.08
2021-02-26,0.74,6.89,56.26
2021-02-27,3.52,5.91,64.66
2021-02-28,1.03,5.91,67.86
2021-03-01,0.2,6.54,59.47
2021-03-02,0.04,4.85,49.51
2021-03-03,0.02,5.78,45.97
2021-03-04,0.51,4.98,55.51
2021-03-05,1.24,5.29,55.27
2021-03-06,0.04,5.77,50.92
2021-03-07,0.07,5.67,56.75
2021-03-08,0.33,5.99,57.9
2021-03-09,1.91,7.11,58.47
2021-03-10,5.4,7.02,60.63
2021-03-11,4.12,6.63,61.62
2021-03-12,0.25,7.88,53.93
2021-03-13,1.07,7.6,55.96
2021-03-14,1.64,7.46,66.61
2021-03-15,0.08,7.86,62.99
2021-03-16,0.01,7.91,53.99
2021-03-17,0.02,7.87,55.95
2021-03-18,0.12,8.04,59.49
2021-03-19,0.0,8.91,57.3
2021-03-20,0.0,8.93,57.13
2021-03-21,0.0,8.79,57.15
2021-03-22,0.01,8.91,55.36
2021-03-23,0.14,9.74,51.7
2021-03-24,0.34,10.19,53.04
2021-03-25,0.0,8.84,45.9
2021-03-26,0.0,9.51,43.04
2021-03-27,0.0,10.54,42.01
2021-03-28,0.0,9.39,49.16
2021-03-29,0.25,9.29,52.48
2021-03-30,2.03,8.93,62.59
2021-03-31,4.35,9.01,54.23
2021-04-01,2.03,8.0,41.14
2021-04-02,0.03,7.59,34.35
2021-04-03,0.01,7.96,33.54
2021-04-04,0.0,7.97,32.91
2021-04-05,0.0,9.49,31.95
2021-04-06,0.0,9.76,39.36
2021-04-07,0.1,10.8,47.29
2021-04-08,0.55,10.61,51.85
2021-04-09,0.25,10.03,45.58
2021-04-10,0.1,10.71,36.48
2021-04-11,0.02,11.08,31.0
2021-04-12,0.02,10.99,33.64
2021-04-13,0.02,10.88,40.72
2021-04-14,0.33,12.09,43.21
2021-04-15,0.55,11.75,46.25
2021-04-16,10.72,10.79,56.45
2021-04-17,3.62,9.84,68.8
2021-04-18,1.91,9.59,62.5
2021-04-19,1.48,9.85,55.38
2021-04-20,0.01,10.93,53.14
2021-04-21,1.68,11.62,56.88
2021-04-22,9.64,9.41,80.43
2021-04-23,0.03,10.33,61.19
2021-04-24,0.0,11.46,52.65
2021-04-25,0.02,11.99,45.4
2021-04-26,0.16,12.3,39.48
2021-04-27,0.05,12.47,46.27
2021-04-28,2.82,12.48,51.0
2021-04-29,5.07,12.64,59.2
2021-04-30,2.06,12.21,68.24
2021-05-01,3.94,11.15,80.97
2021-05-02,1.36,11.73,85.41
2021-05-03,6.77,12.07,77.28
2021-05-04,13.13,10.71,82.9
2021-05-05,3.85,10.75,88.18
2021-05-06,10.72,10.61,87.84
2021-05-07,3.16,11.41,86.7
2021-05-08,1.42,11.77,81.0
2021-05-09,4.07,10.93,80.71
2021-05-10,2.85,11.07,81.59
2021-05-11,5.19,10.54,82.46
2021-05-12,10.8,10.05,86.92
2021-05-13,1.2,10.48,82.46
2021-05-14,1.47,10.63,80.75
2021-05-15,0.38,12.65,71.57
2021-05-16,1.49,13.23,68.27
2021-05-17,1.91,14.28,66.54
2021-05-18,1.5,14.39,62.83
2021-05-19,0.3,14.84,62.84
2021-05-20,5.29,14.93,78.1
2021-05-21,0.99,15.28,82.54
2021-05-22,0.04,16.15,72.17
2021-05-23,0.04,16.3,71.69
2021-05-24,0.28,16.49,69.71
2021-05-25,1.77,15.47,72.12
2021-05-26,8.83,16.0,83.0
2021-05-27,19.77,15.7,85.36
2021-05-28,23.56,14.73,88.55
2021-05-29,9.42,15.09,81.93
2021-05-30,2.9,15.77,84.45
2021-05-31,2.6,16.47,80.32
2021-06-01,3.14,15.48,86.96
2021-06-02,2.33,15.09,80.65
2021-06-03,0.29,15.2,78.14
2021-06-04,1.7,15.68,81.34
2021-06-05,2.22,16.19,81.57
2021-06-06,3.57,15.82,83.52
2021-06-07,2.99,16.07,85.11
2021-06-08,11.24,15.41,83.44
2021-06-09,6.77,16.25,81.46
2021-06-10,2.11,15.6,85.14
2021-06-11,3.0,15.23,87.45
2021-06-12,4.98,16.03,85.23
2021-06-13,2.44,16.41,84.09
2021-06-14,6.19,17.02,84.62
2021-06-15,7.97,16.5,86.41
2021-06-16,6.59,16.61,88.21
2021-06-17,10.1,16.79,88.48
2021-06-18,3.93,16.41,86.04
2021-06-19,5.91,15.87,87.56
2021-06-20,3.69,15.19,90.21
2021-06-21,1.16,16.72,85.81
2021-06-22,3.22,17.17,86.38
2021-06-23,4.45,17.1,88.37
2021-06-24,4.42,16.68,84.48
2021-06-25,3.41,16.13,90.68
2021-06-26,4.43,15.91,91.12
2021-06-27,2.93,16.2,87.06
2021-06-28,4.64,16.85,90.15
2021-06-29,11.39,16.3,95.57
2021-06-30,20.08,16.4,92.58
2021-07-01,20.44,16.02,90.93
2021-07-02,28.83,15.44,91.63
2021-07-03,24.74,16.19,94.53
2021-07-04,2.22,16.22,90.69
2021-07-05,2.57,15.95,91.53
2021-07-06,10.98,16.38,93.88
2021-07-07,5.67,16.23,90.24
2021-07-08,31.38,16.06,91.28
2021-07-09,3.91,16.88,89.37
2021-07-10,8.46,16.12,91.66
2021-07-11,3.71,15.74,90.59
2021-07-12,8.85,16.12,88.77
2021-07-13,14.74,16.62,85.38
2021-07-14,11.65,16.05,91.17
2021-07-15,3.52,16.21,91.24
2021-07-16,5.71,16.05,93.57
2021-07-17,12.56,16.09,92.0
