,rainfall_mm,temp_c,humidity_pct
2021-01-01,0.0,14.04,53.76
2021-01-02,0.0,13.95,50.91
2021-01-03,0.0,14.97,54.36
2021-01-04,0.0,15.87,61.26
2021-01-05,0.0,16.76,61.15
2021-01-06,0.0,16.74,63.43
2021-01-07,0.0,16.42,59.58
2021-01-08,0.0,15.83,63.43
2021-01-09,0.0,15.56,62.29
2021-01-10,0.02,15.0,69.49
2021-01-11,0.01,15.0,68.64
2021-01-12,0.0,13.15,63.11
2021-01-13,0.0,11.75,57.41
2021-01-14,0.0,12.36,54.86
2021-01-15,0.0,12.39,58.03
2021-01-16,0.03,11.94,55.55
2021-01-17,0.0,12.97,49.84
2021-01-18,0.01,14.61,54.21
2021-01-19,0.43,12.97,71.25
2021-01-20,0.21,11.79,73.57
2021-01-21,0.0,12.2,60.74
2021-01-22,0.0,12.15,50.44
2021-01-23,0.0,12.23,55.71
2021-01-24,0.0,12.55,55.3
2021-01-25,0.0,12.06,51.97
2021-01-26,0.0,12.37,49.56
2021-01-27,0.0,12.5,43.37
2021-01-28,0.0,11.96,43.24
2021-01-29,0.0,12.78,41.04
2021-01-30,0.0,11.37,42.38
2021-01-31,0.0,11.41,43.33
2021-02-01,0.0,11.82,42.33
2021-02-02,0.0,13.03,40.52
2021-02-03,0.0,14.18,42.65
2021-02-04,0.0,14.89,41.56
2021-02-05,0.0,15.18,42.93
2021-02-06,0.58,13.02,64.01
2021-02-07,0.16,13.36,54.17
2021-02-08,0.0,15.22,41.2
2021-02-09,0.0,15.84,40.59
2021-02-10,0.0,15.16,45.71
2021-02-11,0.0,15.73,46.37
2021-02-12,0.0,15.71,51.26
2021-02-13,0.0,15.9,51.88
2021-02-14,0.04,15.73,52.08
2021-02-15,0.06,15.86,48.72
2021-02-16,0.65,15.67,45.73
2021-02-17,0.18,15.75,45.1
2021-02-18,2.06,16.35,49.95
2021-02-19,0.45,16.13,53.14
2021-02-20,0.0,16.81,45.72
2021-02-21,0.0,17.52,40.09
2021-02-22,0.0,17.98,38.97
2021-02-23,0.0,18.1,42.01
2021-02-24,0.09,17.99,42.8
2021-02-25,0.05,17.96,38.68
2021-02-26,0.54,18.43,39.28
2021-02-27,3.05,18.83,40.33
2021-02-28,0.39,19.18,43.54
2021-03-01,0.16,20.12,35.03
2021-03-02,0.02,17.82,27.65
2021-03-03,0.01,17.73,29.45
2021-03-04,0.32,18.07,33.23
2021-03-05,0.85,18.45,34.57
2021-03-06,0.01,18.83,32.28
2021-03-07,0.06,19.14,32.39
2021-03-08,0.24,18.8,36.75
2021-03-09,1.46,19.58,39.22
2021-03-10,4.18,19.93,40.73
2021-03-11,3.6,20.5,40.04
2021-03-12,0.26,21.32,32.81
2021-03-13,1.11,20.85,34.75
2021-03-14,1.71,19.72,46.43
2021-03-15,0.02,20.07,41.37
2021-03-16,0.0,20.89,34.15
2021-03-17,0.01,21.57,32.67
2021-03-18,0.06,21.47,36.8
2021-03-19,0.0,22.56,34.04
2021-03-20,0.0,22.65,33.82
2021-03-21,0.0,22.01,33.81
2021-03-22,0.01,22.62,30.64
2021-03-23,0.07,23.97,28.56
2021-03-24,0.22,24.05,29.78
2021-03-25,0.0,22.14,25.38
2021-03-26,0.0,21.82,25.3
2021-03-27,0.0,22.9,26.16
2021-03-28,0.0,23.64,26.34
2021-03-29,0.14,23.78,28.0
2021-03-30,1.57,23.38,33.68
2021-03-31,3.05,24.17,28.17
2021-04-01,1.97,23.3,21.3
2021-04-02,0.0,22.61,18.33
2021-04-03,0.0,22.49,17.75
2021-04-04,0.0,22.35,16.9
2021-04-05,0.0,23.05,17.2
2021-04-06,0.0,23.72,21.89
2021-04-07,0.04,24.32,27.78
2021-04-08,0.75,25.1,28.63
2021-04-09,0.22,24.59,24.11
2021-04-10,0.06,25.39,18.34
2021-04-11,0.0,25.29,15.44
2021-04-12,0.0,25.53,16.03
2021-04-13,0.01,26.0,19.86
2021-04-14,0.21,27.01,21.67
2021-04-15,0.59,26.31,24.0
2021-04-16,10.73,25.51,33.08
2021-04-17,4.81,23.97,44.91
2021-04-18,1.45,23.1,43.47
2021-04-19,0.87,24.03,33.78
2021-04-20,0.0,25.04,29.12
2021-04-21,2.87,24.48,38.81
2021-04-22,12.79,21.59,62.53
2021-04-23,0.66,24.15,39.11
2021-04-24,0.0,25.43,32.8
2021-04-25,0.0,26.06,26.25
2021-04-26,0.08,25.85,23.8
2021-04-27,0.02,26.17,27.06
2021-04-28,2.19,26.15,30.93
2021-04-29,5.48,25.62,42.06
2021-04-30,1.39,25.82,45.51
2021-05-01,5.54,24.52,56.09
2021-05-02,1.53,24.21,58.82
2021-05-03,10.82,24.49,53.3
2021-05-04,21.78,21.88,66.68
2021-05-05,4.06,21.09,72.07
2021-05-06,11.82,21.67,72.46
2021-05-07,6.74,22.58,70.15
2021-05-08,2.53,23.65,59.18
2021-05-09,9.61,22.58,62.31
2021-05-10,5.86,22.8,60.54
2021-05-11,6.75,22.73,59.94
2021-05-12,13.8,21.43,67.17
2021-05-13,2.02,21.74,63.77
2021-05-14,1.49,22.99,56.52
2021-05-15,0.23,25.04,48.73
2021-05-16,1.28,25.87,46.32
2021-05-17,1.7,26.82,44.31
2021-05-18,1.42,26.8,40.15
2021-05-19,0.22,25.69,47.21
2021-05-20,10.49,24.3,67.77
2021-05-21,2.05,24.79,75.19
2021-05-22,0.15,26.36,60.82
2021-05-23,0.1,27.13,55.96
2021-05-24,0.5,28.26,50.15
2021-05-25,2.32,25.61,62.18
2021-05-26,12.21,24.97,76.47
2021-05-27,34.75,23.41,82.15
2021-05-28,31.97,23.93,81.65
2021-05-29,14.55,25.08,77.22
2021-05-30,7.21,25.47,78.48
2021-05-31,3.12,25.48,80.41
2021-06-01,3.04,25.08,77.86
2021-06-02,2.07,24.72,71.27
2021-06-03,0.24,25.62,66.42
2021-06-04,1.56,26.17,69.19
2021-06-05,1.79,26.6,68.19
2021-06-06,3.21,26.07,69.16
2021-06-07,4.93,26.53,71.67
2021-06-08,14.6,26.05,72.02
2021-06-09,9.27,25.37,79.79
2021-06-10,1.77,24.52,81.94
2021-06-11,4.54,23.9,84.2
2021-06-12,5.75,24.54,80.79
2021-06-13,2.83,24.06,82.88
2021-06-14,13.92,25.23,82.35
2021-06-15,11.9,24.58,85.08
2021-06-16,7.78,24.54,86.02
2021-06-17,9.78,24.77,85.21
2021-06-18,4.71,24.24,84.51
2021-06-19,8.36,23.39,87.07
2021-06-20,6.29,22.97,89.39
2021-06-21,1.75,24.33,86.48
2021-06-22,3.9,25.2,84.97
2021-06-23,6.93,25.21,86.83
2021-06-24,4.9,25.21,83.39
2021-06-25,4.93,24.54,86.85
2021-06-26,10.95,24.23,88.88
2021-06-27,6.12,24.58,86.89
2021-06-28,11.43,25.0,88.0
2021-06-29,17.53,24.1,95.32
2021-06-30,24.87,24.45,88.63
2021-07-01,31.86,23.83,90.86
2021-07-02,36.02,24.04,93.18
2021-07-03,34.31,24.19,92.49
2021-07-04,1.67,24.3,89.34
2021-07-05,3.91,24.15,91.34
2021-07-06,19.25,24.56,92.91
2021-07-07,6.98,25.37,84.5
2021-07-08,36.68,24.42,89.11
2021-07-09,4.16,25.06,86.68
2021-07-10,12.3,24.27,90.26
2021-07-11,2.46,24.12,88.72
2021-07-12,6.92,24.93,84.01
2021-07-13,15.88,25.37,83.77
2021-07-14,12.36,24.34,89.98
2021-07-15,2.28,24.58,88.22
2021-07-16,5.56,24.16,91.21
2021-07-17,18.7,23.75,94.74
2021-07-18,9.61,24.4,93.68
2021-07-19,12.23,24.85,90.72
2021-07-20,38.49,24.37,93.94
2021-07-21,7.62,25.05,83.89
2021-07-22,3.0,25.23,84.3
2021-07-23,4.2,25.59,86.15
2021-07-24,1.12,25.45,85.41
2021-07-25,5.73,25.4,90.83
2021-07-26,27.64,25.39,90.61
2021-07-27,19.97,25.14,89.23
2021-07-28,7.93,25.51,87.43
2021-07-29,17.01,25.02,86.91
2021-07-30,10.54,24.89,85.71
2021-07-31,7.65,24.17,90.16
2021-08-01,5.74,24.66,90.05
2021-08-02,1.41,24.86,88.56
2021-08-03,9.07,24.89,83.06
2021-08-04,12.44,24.35,86.27
2021-08-05,2.37,25.72,78.05
2021-08-06,3.96,26.38,77.18
2021-08-07,12.87,24.97,87.35
2021-08-08,23.8,24.23,90.89
2021-08-09,1.55,24.94,86.51
2021-08-10,2.24,24.77,93.15
2021-08-11,6.57,24.8,92.19
2021-08-12,7.67,25.24,92.97
2021-08-13,6.34,24.36,93.05
2021-08-14,20.81,24.59,94.53
2021-08-15,14.47,24.62,91.81
2021-08-16,10.54,24.79,93.1
2021-08-17,5.85,23.99,95.35
2021-08-18,12.63,23.34,94.75
2021-08-19,35.15,23.53,89.79
2021-08-20,11.63,23.34,90.83
2021-08-21,12.38,23.35,92.07
2021-08-22,8.5,23.69,92.36
2021-08-23,21.61,24.15,93.74
2021-08-24,4.27,24.3,93.61
2021-08-25,18.69,24.63,93.99
2021-08-26,30.15,24.1,95.59
2021-08-27,11.2,23.48,95.28
2021-08-28,20.84,23.04,94.65
2021-08-29,6.36,23.41,90.86
2021-08-30,6.05,22.65,92.71
2021-08-31,2.7,22.87,95.15
2021-09-01,5.57,23.73,93.07
2021-09-02,20.85,23.68,96.78
2021-09-03,1.31,23.39,95.29
2021-09-04,4.67,24.35,89.43
2021-09-05,19.79,24.68,92.35
2021-09-06,10.07,23.83,89.48
2021-09-07,2.03,23.3,91.47
2021-09-08,2.21,23.53,87.66
2021-09-09,3.62,23.26,91.01
2021-09-10,2.04,24.06,86.42
2021-09-11,2.06,24.01,85.86
2021-09-12,0.17,25.08,83.57
2021-09-13,1.21,24.13,89.03
2021-09-14,5.35,22.85,90.11
2021-09-15,6.39,23.11,87.7
2021-09-16,4.55,23.55,84.31
2021-09-17,5.06,22.74,89.63
2021-09-18,2.38,23.69,89.26
2021-09-19,0.37,24.06,91.27
2021-09-20,4.54,23.99,91.31
2021-09-21,3.98,23.75,87.83
2021-09-22,4.25,23.21,89.55
2021-09-23,1.69,23.13,89.03
2021-09-24,0.39,23.87,87.14
2021-09-25,1.55,23.84,87.45
2021-09-26,0.51,23.89,83.54
2021-09-27,2.48,24.22,84.07
2021-09-28,3.57,23.66,87.79
2021-09-29,5.76,22.55,90.63
2021-09-30,1.08,22.62,90.2
2021-10-01,1.04,22.55,86.24
2021-10-02,6.84,22.13,91.56
2021-10-03,10.13,22.26,89.61
2021-10-04,1.45,23.4,84.9
2021-10-05,1.73,22.58,89.01
2021-10-06,1.54,22.41,90.86
2021-10-07,2.57,23.09,92.15
2021-10-08,3.41,22.95,92.5
2021-10-09,2.09,22.33,90.84
2021-10-10,0.0,22.93,89.04
2021-10-11,0.0,23.49,83.58
2021-10-12,0.0,24.36,78.64
2021-10-13,0.0,24.77,82.47
2021-10-14,0.0,24.6,84.4
2021-10-15,0.05,24.13,85.09
2021-10-16,7.16,24.17,84.11
2021-10-17,12.19,22.77,92.26
2021-10-18,45.88,21.88,93.16
2021-10-19,83.67,21.14,95.07
2021-10-20,15.2,21.94,95.1
2021-10-21,0.35,20.97,87.68
2021-10-22,1.34,19.55,92.4
2021-10-23,1.03,18.96,91.54
2021-10-24,0.13,19.88,84.44
2021-10-25,1.02,19.57,89.28
2021-10-26,0.65,19.79,87.82
2021-10-27,0.0,19.74,82.52
2021-10-28,0.0,19.86,82.04
2021-10-29,0.13,19.45,87.16
2021-10-30,0.27,18.9,86.59
2021-10-31,0.0,18.07,89.85
2021-11-01,0.0,17.58,86.43
2021-11-02,0.0,17.87,83.85
2021-11-03,0.0,17.91,83.7
2021-11-04,0.0,17.25,84.35
2021-11-05,0.0,17.05,83.5
2021-11-06,0.0,17.08,85.42
2021-11-07,0.0,16.85,86.66
2021-11-08,0.0,17.5,86.08
2021-11-09,0.0,18.07,84.92
2021-11-10,0.0,17.97,86.87
2021-11-11,0.0,17.82,90.61
2021-11-12,0.0,17.17,86.89
2021-11-13,0.0,16.66,86.8
2021-11-14,0.0,16.29,84.73
2021-11-15,0.0,15.95,84.62
2021-11-16,0.0,16.0,86.4
2021-11-17,0.0,16.76,86.19
2021-11-18,0.0,17.76,82.08
2021-11-19,0.02,17.06,89.75
2021-11-20,0.09,17.0,88.44
2021-11-21,0.06,16.47,86.86
2021-11-22,0.08,15.66,85.33
2021-11-23,0.34,14.82,84.51
2021-11-24,0.0,14.9,86.92
2021-11-25,0.01,15.44,83.86
2021-11-26,0.0,14.96,89.66
2021-11-27,0.0,15.19,88.21
2021-11-28,0.0,16.17,80.9
2021-11-29,0.0,15.72,86.23
2021-11-30,0.0,15.81,87.8
2021-12-01,0.0,17.14,78.16
2021-12-02,0.14,17.6,78.8
2021-12-03,0.21,16.87,89.29
2021-12-04,0.05,16.91,90.78
2021-12-05,0.0,17.24,88.3
2021-12-06,0.0,16.91,86.91
2021-12-07,0.0,16.36,85.19
2021-12-08,0.0,16.06,76.36
2021-12-09,0.0,15.31,67.62
2021-12-10,0.0,14.57,68.73
2021-12-11,0.0,13.37,75.56
2021-12-12,0.0,13.02,76.83
2021-12-13,0.0,13.15,72.46
2021-12-14,0.0,13.4,73.2
2021-12-15,0.0,13.19,73.95
2021-12-16,0.0,12.92,73.06
2021-12-17,0.0,13.24,65.03
2021-12-18,0.0,13.89,65.41
2021-12-19,0.0,12.11,72.12
2021-12-20,0.0,12.06,67.87
2021-12-21,0.0,12.35,73.43
2021-12-22,0.0,12.89,77.79
2021-12-23,0.02,12.93,79.14
2021-12-24,1.18,12.95,78.76
2021-12-25,0.11,11.73,82.99
2021-12-26,0.1,12.61,79.35
2021-12-27,0.53,12.51,83.29
2021-12-28,0.58,12.49,85.61
2021-12-29,11.12,10.38,89.29
2021-12-30,3.01,11.88,78.25
2021-12-31,0.0,12.48,72.48
2022-01-01,0.0,12.73,78.1
