year,week,date,target_year,target_week,target,age_now,age_target_week_last_year,age_roll4_mean,rain_mean_mm,rain_source_is_dhm,horizon,pred,champion,base_persistence,base_seasonal_naive,base_seasonal_plus_drift,base_4week_rolling_mean,pred_single
2024,1,2024-01-14,2024.0,2.0,203.0,211.0,161.0,193.5,0.0,0.0,1,168.62864002361445,Ensemble top-15,211.0,161.0,161.0,193.5,165.02351171122962
2024,2,2024-01-21,2024.0,3.0,191.0,203.0,184.0,202.75,0.0,0.0,1,182.95654516748405,Ensemble top-15,203.0,184.0,184.0,202.75,189.581964807408
2024,3,2024-01-28,2024.0,4.0,123.0,191.0,202.0,205.25,0.0,0.0,1,192.69676931316405,Ensemble top-15,191.0,202.0,202.0,205.25,192.02821212014177
2024,5,2024-02-11,2024.0,6.0,209.0,214.0,235.0,182.0,0.0,0.0,1,235.5284116264159,Ensemble top-15,214.0,235.0,226.26282051282053,182.0,264.0802785191611
2024,6,2024-02-18,2024.0,7.0,223.0,209.0,236.0,182.75,0.7733645660381174,0.0,1,228.52286393125533,Ensemble top-15,209.0,236.0,232.82917466410748,182.75,237.03834966908295
2024,7,2024-02-25,2024.0,8.0,282.0,223.0,289.0,184.25,0.9370120051532091,0.0,1,235.9238119943985,Ensemble top-15,223.0,289.0,278.6274752475248,184.25,239.08648539731183
2024,8,2024-03-03,2024.0,9.0,309.0,282.0,320.0,192.25,5.0274984632113915,0.0,1,298.19117460450184,Ensemble top-15,282.0,320.0,303.48139255702284,192.25,308.93524646321964
2024,22,2024-06-09,2024.0,23.0,731.0,658.0,592.0,699.75,40.13289951107746,0.0,1,544.4578534555293,Ensemble top-15,658.0,592.0,592.0,699.75,562.2161887848482
2024,23,2024-06-16,2024.0,24.0,697.0,731.0,511.0,701.5,22.617401806816886,0.0,1,644.4478661455089,Ensemble top-15,731.0,511.0,511.0,701.5,632.0236350476993
2024,24,2024-06-23,2024.0,25.0,677.0,697.0,446.0,710.25,70.44758232035466,0.0,1,640.5481731063293,Ensemble top-15,697.0,446.0,446.0,710.25,722.5867067607952
