year,week,date,target_year,target_week,target,age_now,age_target_week_last_year,age_roll4_mean,rain_mean_mm,rain_source_is_dhm,horizon,pred,champion,base_persistence,base_seasonal_naive,base_seasonal_plus_drift,base_4week_rolling_mean,pred_with_weather
2024,1,2024-01-14,2024.0,5.0,214.0,211.0,258.0,193.5,0.0,0.0,4,203.22142640297736,No-weather ensemble top-30,211.0,258.0,258.0,193.5,214.33182275413768
2024,2,2024-01-21,2024.0,6.0,209.0,203.0,235.0,202.75,0.0,0.0,4,209.7391725613223,No-weather ensemble top-30,203.0,235.0,235.0,202.75,211.22836885634985
2024,3,2024-01-28,2024.0,7.0,223.0,191.0,236.0,205.25,0.0,0.0,4,221.28767068239551,No-weather ensemble top-30,191.0,236.0,236.0,205.25,227.7846650614405
2024,5,2024-02-11,2024.0,9.0,309.0,214.0,320.0,182.0,0.0,0.0,4,317.3319724516875,No-weather ensemble top-30,214.0,320.0,308.1025641025641,182.0,316.42616717525306
2024,22,2024-06-09,2024.0,26.0,624.0,658.0,461.0,699.75,40.13289951107746,0.0,4,462.5298063930524,No-weather ensemble top-30,658.0,461.0,461.0,699.75,468.46360352453706
2024,23,2024-06-16,2024.0,27.0,554.0,731.0,414.0,701.5,22.617401806816886,0.0,4,519.4859334307062,No-weather ensemble top-30,731.0,414.0,414.0,701.5,515.0507317755612
2024,24,2024-06-23,2024.0,28.0,559.0,697.0,457.0,710.25,70.44758232035466,0.0,4,533.3719752121449,No-weather ensemble top-30,697.0,457.0,457.0,710.25,504.8006668873359
2024,25,2024-06-30,2024.0,29.0,603.0,677.0,430.0,694.0,280.0292712769297,0.0,4,517.2442324732485,No-weather ensemble top-30,677.0,430.0,430.0,694.0,511.4860691041691
2024,26,2024-07-07,2024.0,30.0,626.0,624.0,473.0,690.75,172.91418329198115,0.0,4,515.7008341596563,No-weather ensemble top-30,624.0,473.0,650.8723404255319,690.75,524.5885409677426
2024,27,2024-07-14,2024.0,31.0,667.0,554.0,438.0,682.25,90.13049184506546,0.0,4,487.75163066300945,No-weather ensemble top-30,554.0,438.0,592.0219780219779,682.25,484.224655702781
2024,28,2024-07-21,2024.0,32.0,622.0,559.0,360.0,638.0,66.77295222530377,0.0,4,443.25663752985656,No-weather ensemble top-30,559.0,360.0,484.28036916936895,638.0,437.3748429648534
2024,30,2024-08-04,2024.0,34.0,457.0,626.0,347.0,585.0,107.10424554878578,0.0,4,460.5029491307715,No-weather ensemble top-30,626.0,347.0,460.5308192457737,585.0,453.6121721559695
2024,31,2024-08-11,2024.0,35.0,547.0,667.0,421.0,585.5,158.58217265495406,0.0,4,484.3904463230696,No-weather ensemble top-30,667.0,421.0,564.188953488372,585.5,496.0271842134781
