horizon,model,framing,scheme,blend_w,params,cv_MAE,test_MAE,test_RMSE,test_MAPE,test2024_MAE,test2024_RMSE,test2024_MAPE,test2025_MAE,test2025_RMSE,test2025_MAPE,frozen_test_MAE
1,Baseline: persistence,-,-,-,-,,55.16923076923077,70.05272739433215,13.33130862650872,45.714285714285715,55.39932954725819,12.776153145415108,66.2,83.97658403785347,13.978990021117935,
1,Baseline: seasonal naive,-,-,-,-,,85.26153846153846,107.32094211003096,20.060147087558647,113.6,132.54131431368862,27.960999611152165,52.2,66.78422967537571,10.84248581003287,
1,Baseline: seasonal + drift,-,-,-,-,,70.98076795743029,91.96756913430625,16.65911697090404,78.56995393320099,101.88308448943758,19.737344096051366,62.12671765236448,78.838758136022,13.0678519915655,
1,Baseline: 4-week rolling mean,-,-,-,-,,80.8,100.12739001276938,20.29685954618564,63.2,79.50103323677175,18.198606471749144,101.33333333333333,119.78350262035252,22.744821466361554,
1,XGBoost,level,expand,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",51.986548055013024,57.53377450796274,75.38517104740862,13.924170371770739,49.7769291469029,67.03502350050499,13.409625879584475,66.58342742919922,84.08542437111096,14.524472279321376,112.82148672250601
1,XGBoost,level,expand,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",66.49221303304036,55.73753051757812,73.30818041535707,13.249335412832778,54.96284397670201,72.60907434944369,14.000232830711937,56.64133148193359,74.11547000048388,12.373288425307098,99.51707212007963
1,XGBoost,level,expand,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",90.97203338623046,60.52944148137019,79.01659057792092,14.205386418689436,69.33330405099052,87.80920591100663,17.092738344308408,50.25826848347982,67.32246297511357,10.836809172133972,90.56441626915564
1,XGBoost,level,decay,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",47.655929768880206,54.868475576547475,73.7781606546804,13.179576287718659,51.39207720075335,68.19301884031508,13.640124415994586,58.92427368164063,79.8016354623062,12.642270138063408,119.34916487473708
1,XGBoost,level,decay,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",64.31356699625651,53.846133422851565,72.09053446983347,12.726280259026304,55.38892953055245,72.41731676002543,14.034450148633004,52.04620463053386,71.70740630605299,11.200082054485154,103.32333855262169
1,XGBoost,level,decay,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",89.68305216471354,58.60506697434646,78.27781301866017,13.730336220133118,67.54675576346261,87.14975877066098,16.67116719270184,48.17309672037761,66.44652607712133,10.299366752136278,92.065273637038
1,XGBoost,level,window,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",53.352105712890626,56.4221933218149,71.67179258359079,13.102047599679162,55.8707528250558,70.55754189588656,14.491536510314113,57.06554056803385,72.95024451542282,11.480977203938386,107.31772108811599
1,XGBoost,level,window,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",68.35922302246094,54.16017033503606,71.16597136123029,12.399870909815503,58.70610482352121,74.68854918829813,14.618656991306414,48.856580098470054,66.82200932111496,9.81128714807611,95.97224391056942
1,XGBoost,level,window,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",92.42743713378906,58.27524061936599,78.128107731459,13.39145524752131,69.76087515694755,88.74976924503883,17.066328914497177,44.87533365885417,63.52999953138479,9.104102636049461,88.0119611299955
1,XGBoost,logratio,expand,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",60.61923262039821,64.03574777107973,81.42195933777651,15.348083192728451,49.87863186938422,63.59254599329874,14.048890256144245,80.55238298972448,98.2139481522051,16.86380828541002,74.55379480582017
1,XGBoost,logratio,expand,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",72.2133939264218,59.17187422674436,75.20796502728588,14.033619606010166,54.778377356273786,70.49518611618036,14.33206622073103,64.2976205756267,80.35763310269759,13.685431888835833,69.87568195920724
1,XGBoost,logratio,expand,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",92.78416227976481,62.16170329955908,77.91470348336043,14.821151017715323,71.28810185790061,86.18237587973813,18.07970180793916,51.51423831482728,66.99166597391599,11.019508429120851,70.47750809742854
1,XGBoost,logratio,decay,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",50.14812754869461,57.15979733558802,72.93721085927092,13.798161135088687,46.18922257423401,57.455682286684,12.864452668024335,69.95880122383436,87.60687708344985,14.887487679997108,57.17490217135503
1,XGBoost,logratio,decay,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",62.86562304635842,53.48798575424231,69.03322904384926,12.984392714028917,50.21845847112792,64.44654258637037,13.526562556339474,57.3024342512091,74.02604192614612,12.351861231333265,56.38949911915339
1,XGBoost,logratio,decay,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",85.96825207352639,57.99430186702655,74.92548312530234,13.948954249852715,67.38610200200762,82.55360736072215,17.167020024809116,47.03720170954863,64.90259068070344,10.194544179070244,61.517470584465904
1,XGBoost,logratio,window,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",58.11269197622935,58.275110636307645,72.79977246462498,13.60717133899533,46.26465527500425,55.812313518291226,12.568438558158046,72.28730855782827,88.59306682792862,14.819026249972152,52.73044246526865
1,XGBoost,logratio,window,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",72.13350457429885,53.31442500375784,68.33112220420375,12.658714834617635,48.16816845238209,61.868436764645374,12.933681235943823,59.31839098036289,75.17194193758876,12.337920699737088,53.016981607217055
1,XGBoost,logratio,window,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",94.99115284522374,57.65379701256752,74.12995581653404,13.727856819960579,65.57649938123566,80.46094779541119,16.775190435177738,48.41064424912135,65.98043359050415,10.172634268873889,61.15850896560229
1,XGBoost,ratio_ly,expand,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",250.02857175588608,73.74093542374098,90.15498547073993,17.398521326610766,52.09947265386582,66.59077862778213,14.414806976909238,98.989308655262,111.52178836457718,20.879521401262537,86.3284046805822
1,XGBoost,ratio_ly,expand,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",191.4432988291979,69.04172685352655,84.3414644100426,16.27006717990426,60.417396081771166,77.70387477209674,15.491182891934915,79.10344608724117,91.47862132998837,17.178765515868495,82.51949132749668
1,XGBoost,ratio_ly,expand,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",134.74219921946525,69.602698551233,85.6756298978308,16.55765345997322,74.75003186719758,93.60140832453563,18.61198538688212,63.59747634927432,75.38292332785095,14.1609328785795,80.30321493194653
1,XGBoost,ratio_ly,decay,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",291.8905020582676,72.46650307912093,90.4132827975351,16.959036501065093,49.8292135987963,66.90040531664478,13.703714752299556,98.87667413949967,111.75840949732617,20.75691187462488,76.84229019330098
1,XGBoost,ratio_ly,decay,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",222.5828765437007,67.05542778831261,83.82525458074008,15.659043890384611,57.15786163466317,76.68766509945358,14.45762474391733,78.60258830090363,91.45104986001604,17.0606995612631,75.69206301088516
1,XGBoost,ratio_ly,decay,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",154.63780857384205,67.24265993099947,84.86016531222656,15.82222174746699,71.39126819201879,92.36538956110992,17.430278565431472,62.40261695981026,75.16278247600374,13.946155459841766,76.46637382278075
